time Adot Adot_std
200 0.00012118718 3.250919e-05
400 0.00011022054 1.351243e-05
600 5.6997997e-05 4.9472156e-05
800 0.00011357486 2.6348551e-05
1000 0.00012137069 3.7995108e-05
1200 0.00011620318 4.9837196e-05
1400 8.2253187e-05 3.9902106e-05
1600 8.6535152e-05 9.1560614e-06
1800 9.2391402e-05 2.7322104e-05
2000 0.00012317843 1.3185276e-05
2200 0.000104277 1.902973e-05
2400 7.7309957e-05 1.8791498e-05
2600 9.6744355e-05 2.609506e-05
2800 8.6533674e-05 1.4232641e-05
3000 0.00011830005 4.4649776e-05
3200 7.5664165e-05 4.327763e-05
3400 0.00012222067 4.2738179e-05
3600 0.00012154539 3.2150213e-05
3800 8.4899694e-05 3.2732981e-05
4000 9.3077619e-05 3.0298057e-05
4200 0.00013148949 3.4724382e-05
4400 6.6861429e-05 1.8216962e-05
4600 2.9815394e-05 1.8552434e-05
4800 9.6094352e-05 5.5597498e-05
5000 7.0443218e-05 5.168211e-05
5200 8.9794421e-05 7.1900098e-05
5400 9.6962109e-05 5.8888918e-05
5600 9.7403863e-05 3.4467255e-05
5800 9.0028545e-05 4.854352e-05
6000 9.7698151e-05 1.8289333e-05
6200 9.0977703e-05 1.8453974e-05
6400 0.00011724069 4.2173669e-05
6600 8.2738691e-05 1.4260223e-05
6800 9.5731167e-05 4.2151355e-05
7000 0.00012417928 3.3162135e-05
7200 0.00011580079 2.0583126e-05
7400 4.7882089e-05 6.8507077e-05
7600 4.8443679e-05 4.9230012e-05
7800 7.4186615e-05 3.1039056e-05
8000 8.5946236e-05 1.3722992e-05
8200 5.3177726e-05 2.0212882e-05
8400 8.7453867e-05 5.464325e-05
8600 2.9517689e-05 3.5567862e-05
8800 8.1636209e-05 4.6190307e-05
9000 0.00010438176 3.789282e-05
9200 8.3671389e-05 2.2944297e-05
9400 0.00010527225 2.3554711e-05
9600 0.00011432215 4.4926793e-05
9800 8.162951e-05 3.9949931e-05
10000 7.5363567e-05 1.0843917e-05
10200 8.0301941e-05 6.912463e-05
10400 6.9401801e-05 3.8629902e-05
10600 9.5102958e-05 2.3368252e-05
10800 9.2577398e-05 2.2329997e-05
11000 8.6288237e-05 3.575421e-05
11200 9.6157653e-05 1.5482046e-05
11400 6.3583308e-05 3.9343414e-05
11600 0.00011592873 5.7623352e-06
11800 8.7566316e-05 2.307166e-05
12000 7.519092e-05 2.301257e-05
12200 0.00011219569 2.9777131e-05
12400 8.9746869e-05 1.977533e-05
12600 0.00010165661 2.3163882e-05
12800 0.00012598528 6.1493214e-05
13000 0.00014210187 3.8855017e-05
13200 0.00012239647 1.4283662e-05
13400 0.00012571243 9.0927307e-06
13600 0.0001533241 5.9683132e-06
13800 0.00010180218 1.9915082e-05
14000 0.00014150901 3.8194936e-05
14200 0.00012058491 4.6391107e-05
14400 0.00010174464 3.4636823e-05
14600 0.00013979695 2.2144625e-05
14800 0.00010634177 2.6658705e-05
15000 0.00012642727 4.4341588e-05
15200 0.00012820879 4.4125411e-05
15400 0.00013146256 4.0031091e-05
15600 0.00012021201 3.4114521e-05
15800 0.00012023069 1.2500912e-05
16000 0.00012834544 3.9205176e-05
16200 0.00013590413 3.5802846e-05
