time loss loss_std gain gain_std areagrowthrate
0 0 0 0 0 1.775597
100000 0 0 1.3333333e-05 9.4280904e-06 1.775597
200000 0 0 6.6666667e-06 9.4280904e-06 1.775597
300000 0 0 0 0 1.775597
400000 2e-05 0 2e-05 1.4142136e-05 1.775597
500000 0 0 3.3333333e-06 4.7140452e-06 1.775597
600000 6.6666667e-06 9.4280904e-06 3.3333333e-06 4.7140452e-06 1.775597
700000 1.3333333e-05 9.4280904e-06 6.6666667e-06 9.4280904e-06 1.775597
800000 2e-05 0 3.3333333e-05 9.4280904e-06 1.775597
900000 0 0 3.6666667e-05 2.3570226e-05 1.775597
1000000 1.3333333e-05 9.4280904e-06 8.6666667e-05 4.1096093e-05 1.775597
1100000 6.6666667e-06 9.4280904e-06 5.6666667e-05 2.8674418e-05 1.775597
1200000 0 0 0.00010333333 4.189935e-05 1.775597
1300000 1.3333333e-05 9.4280904e-06 9.6666667e-05 3.7712362e-05 1.775597
1400000 6.6666667e-06 9.4280904e-06 0.00013333333 2.6246693e-05 1.775597
1500000 2.6666667e-05 9.4280904e-06 0.00012 2.4494897e-05 1.775597
1600000 2.6666667e-05 1.8856181e-05 0.00011333333 8.1785628e-05 1.775597
1700000 3e-05 1.4142136e-05 0.00019666667 1.2472191e-05 1.775597
1800000 4e-05 0 0.00015666667 4.7842334e-05 1.775597
1900000 3.3333333e-05 1.8856181e-05 0.00019 8.2865353e-05 1.775597
2000000 2.6666667e-05 1.8856181e-05 0.00026666667 0.00011115555 1.775597
2100000 2.6666667e-05 9.4280904e-06 0.0002 7.4833148e-05 1.775597
2200000 5e-05 8.1649658e-06 0.00025333333 0.00010402991 1.775597
2300000 2.6666667e-05 9.4280904e-06 0.00022666667 0.00011953614 1.775597
2400000 5e-05 2.9439203e-05 0.00030666667 7.3181661e-05 1.775597
2500000 5.6666667e-05 2.3570226e-05 0.00033 3.7416574e-05 1.775597
2600000 1.3333333e-05 9.4280904e-06 0.00035666667 9.5335664e-05 1.775597
2700000 8.6666667e-05 3.681787e-05 0.00026666667 0.00010208929 1.775597
2800000 7.3333333e-05 2.0548047e-05 0.00037666667 0.00016519349 1.775597
2900000 3.6666667e-05 9.4280904e-06 0.00052333333 0.00016048537 1.775597
3000000 9.6666667e-05 3.681787e-05 0.00052666667 0.00020237479 1.775597
3100000 6.6666667e-05 9.4280904e-06 0.00057666667 0.00032221456 1.775597
3200000 9.3333333e-05 4.1096093e-05 0.00070666667 0.00034883935 1.775597
3300000 9.3333333e-05 6.1824123e-05 0.00070333333 0.00028288199 1.775597
3400000 7.6666667e-05 1.2472191e-05 0.00092666667 0.00041962947 1.775597
3500000 0.00011 2.1602469e-05 0.00123 0.00052959104 1.775597
3600000 0.0001 1.4142136e-05 0.0013933333 0.00086926533 1.775597
3700000 0.00016333333 7.5424723e-05 0.0016133333 0.00073140656 1.775597
3800000 0.00018333333 8.9566859e-05 0.0018533333 0.00095726462 1.775597
3900000 0.00012666667 6.5996633e-05 0.00208 0.0011249 1.775597
4000000 0.00022333333 8.6538367e-05 0.0025133333 0.0015326085 1.775597
4100000 0.00025333333 9.0308115e-05 0.0032266667 0.0020218363 1.775597
4200000 0.00025 0.00011518102 0.0036266667 0.0022403918 1.775597
