time loss_PerArea loss_std gain_PerArea gain_std areagrowthrate
0 0 0 0 0 1
100000 0 0 6.3439069e-08 1.7296237e-10 1
200000 0 0 0 0 1
300000 0 0 0 0 1
400000 5.3812505e-08 1.3902523e-10 0 0 1
500000 0 0 2.545557e-08 1.1134015e-10 1
600000 0 0 3.2165822e-08 2.2744679e-08 1
700000 4.5477082e-08 3.8697864e-10 1.5141872e-08 1.0708607e-08 1
800000 0 0 2.1212768e-08 2.9999385e-08 1
900000 2.7015012e-08 1.9107076e-08 4.8192266e-08 5.462239e-08 1
1000000 1.3203124e-08 1.8672037e-08 5.1776437e-08 2.4267468e-08 1
1100000 0 0 5.4912246e-08 3.838898e-08 1
1200000 3.5768491e-08 9.9355963e-10 8.9721431e-08 1.6313206e-08 1
1300000 0 0 5.6777686e-08 3.3401092e-08 1
1400000 0 0 1.176715e-07 4.2176023e-08 1
1500000 2.1611555e-08 6.7445703e-09 1.0686389e-07 7.0743708e-08 1
1600000 3.2229475e-08 1.2860263e-09 1.8841468e-07 4.0771547e-08 1
1700000 2.573601e-08 1.8937959e-08 9.8044151e-08 5.8328194e-08 1
1800000 1.6322913e-08 2.3084084e-08 6.6000997e-08 3.686224e-08 1
1900000 3.0085259e-08 2.5350626e-08 2.5237058e-07 1.9270841e-08 1
2000000 3.9460671e-08 2.815563e-08 1.7513286e-07 6.7545066e-08 1
2100000 3.7439308e-08 2.6606713e-08 1.5167407e-07 4.7710801e-08 1
2200000 4.8757151e-08 1.6442844e-08 2.1936275e-07 4.7199573e-08 1
2300000 2.8050414e-08 2.5399925e-09 1.4295188e-07 4.1529434e-08 1
2400000 2.7065362e-08 1.1285285e-08 1.9558658e-07 8.0628349e-08 1
2500000 4.8986049e-08 2.4201338e-08 2.0429173e-07 6.7067732e-08 1
2600000 3.3114944e-08 8.0619937e-09 2.1949801e-07 9.7547434e-08 1
2700000 3.7420582e-08 1.2807462e-08 2.338856e-07 2.0764937e-08 1
2800000 5.0701514e-08 2.9450055e-09 2.4925117e-07 7.2478489e-08 1
2900000 2.4957959e-08 1.1230578e-08 2.9782238e-07 1.2228208e-07 1
3000000 2.6068207e-08 3.6866011e-08 2.9741765e-07 9.4448805e-08 1
3100000 6.1553767e-08 2.0546436e-08 2.7241385e-07 2.3341175e-08 1
3200000 4.0436581e-08 3.0907353e-08 3.0239566e-07 9.9443029e-08 1
3300000 9.0759911e-08 3.14988e-08 2.8581327e-07 6.9109618e-08 1
3400000 3.5418426e-08 1.4297528e-08 2.6685777e-07 9.4760859e-08 1
3500000 3.3847893e-08 6.5966669e-09 3.4456174e-07 3.3970587e-08 1
3600000 5.9222693e-08 4.3595916e-08 3.315645e-07 6.430911e-08 1
3700000 4.6623538e-08 1.1224018e-08 3.3065863e-07 5.5418321e-08 1
3800000 5.9028165e-08 3.716051e-08 4.1291033e-07 1.6305613e-07 1
3900000 6.69251e-08 2.6329967e-08 3.7007887e-07 8.6317004e-08 1
4000000 3.9422795e-08 1.1934698e-08 4.683306e-07 8.5006536e-08 1
4100000 6.9790124e-08 4.5602428e-08 4.9213386e-07 1.2964929e-07 1
4200000 6.1446311e-08 3.2270232e-08 4.7125295e-07 8.4639835e-08 1
4300000 5.4815675e-08 1.0079188e-08 5.0093724e-07 1.6910194e-08 1
4400000 6.6323263e-08 1.6868504e-08 5.8588241e-07 3.7170028e-08 1
4500000 7.083344e-08 1.165969e-08 5.7898287e-07 5.3640634e-08 1
4600000 7.8244904e-08 1.2166156e-08 6.4257886e-07 6.9177836e-08 1
4700000 7.4399206e-08 4.045599e-08 6.595187e-07 6.818821e-08 1
4800000 4.9291064e-08 1.2364352e-08 6.7638766e-07 1.0046619e-07 1
4900000 7.4870554e-08 5.1214035e-09 7.3724123e-07 1.0800129e-07 1
5000000 5.2376703e-08 1.2051533e-08 7.1483861e-07 3.4629153e-08 1
5100000 5.855077e-08 1.0798563e-08 7.2759504e-07 5.3184803e-08 1
5200000 6.8547973e-08 1.9240751e-08 8.353893e-07 5.1420052e-08 1
5300000 5.2126496e-08 6.4587992e-09 8.8841711e-07 5.5141911e-08 1
5400000 6.5519247e-08 1.2542636e-08 8.9231131e-07 9.8843905e-08 1
5500000 5.0079869e-08 2.4902418e-09 9.1584341e-07 1.0419741e-07 1
