time Adot Adot_std
200 0.00014675932 6.620958e-06
400 0.00013860829 3.6090925e-05
600 0.00011974559 6.1919411e-05
800 0.00013826601 4.0941702e-05
1000 0.00012220298 3.2665038e-05
1200 0.00012858573 3.4551541e-05
1400 0.0001003451 8.4097173e-05
1600 0.00012692983 1.735218e-05
1800 0.00011240429 6.7466237e-05
2000 0.00013058614 3.8260343e-05
2200 0.0001202151 2.6572488e-05
2400 0.00015225333 1.4795382e-05
2600 0.00012356492 5.0056084e-05
2800 8.4026449e-05 2.5453783e-05
3000 0.00012303609 4.1906119e-05
3200 0.00012322555 5.9120004e-05
3400 0.00012221309 2.8271822e-05
3600 0.00013265091 5.2360493e-05
3800 9.5072254e-05 3.2766176e-05
4000 0.00010205793 3.5080645e-05
4200 9.9457459e-05 2.8666215e-05
4400 9.7079144e-05 1.0695354e-05
4600 7.9679418e-05 3.3862443e-05
4800 9.7580745e-05 2.36252e-05
5000 9.3030938e-05 2.9356542e-05
5200 9.988788e-05 2.2784212e-05
5400 0.00010993729 1.8558813e-05
5600 0.00014343876 4.3384871e-05
5800 0.00019603452 5.8311029e-05
6000 0.00012606221 3.8367143e-05
6200 0.000131757 3.4814679e-05
6400 0.00014402199 2.7466862e-05
6600 0.00014359175 1.9869804e-05
6800 0.00014952789 6.8581528e-06
7000 0.00015340269 3.3217393e-05
7200 0.00012181595 1.7622871e-05
7400 0.00014920421 2.9230213e-05
7600 0.00012332534 3.6962668e-05
7800 0.00013601325 4.7833366e-05
8000 0.00010301478 3.3034466e-05
8200 0.00011241255 0.00010182256
8400 0.00014454628 0.00013627516
8600 0.00011712729 9.8979927e-05
8800 0.00012033445 6.8597069e-05
9000 0.00010219865 0.00011335484
9200 9.9750555e-05 0.00013963351
9400 8.1118226e-05 9.9511863e-05
9600 7.3293365e-05 5.5109774e-05
9800 8.0538764e-05 2.6490433e-05
10000 8.3401844e-05 4.5255708e-05
10200 0.00011081543 8.6570916e-05
10400 8.0585771e-05 7.4181935e-05
10600 0.00012610371 1.4856511e-05
10800 0.00011206095 1.322737e-05
11000 0.00011399011 2.2687229e-05
11200 7.3462034e-05 2.4647391e-05
11400 0.0001122556 5.6979395e-05
