time loss_PerMon loss_std gain_PerMon gain_std areagrowthrate
0 0 0 0 0 1.1322073
100000 0 0 1.8239888e-08 1.2897585e-08 1.1322073
200000 0 0 8.8300221e-09 1.2487537e-08 1.1322073
300000 0 0 0 0 1.1322073
400000 2.4682216e-08 1.586633e-10 8.1900082e-09 5.7912103e-09 1.1322073
500000 0 0 1.5631106e-08 2.2105722e-08 1.1322073
600000 0 0 0 0 1.1322073
700000 2.0860579e-08 3.3996805e-10 1.0405827e-08 1.4716062e-08 1.1322073
800000 0 0 1.9477162e-08 1.6042975e-08 1.1322073
900000 1.8537263e-08 3.7004569e-10 2.503077e-08 1.6416566e-08 1.1322073
1000000 0 0 2.874606e-08 1.4253769e-08 1.1322073
1100000 0 0 4.4196788e-08 1.3670276e-08 1.1322073
1200000 1.6011347e-08 6.158883e-10 5.5621296e-08 8.9694352e-09 1.1322073
1300000 0 0 7.0682e-08 2.2954923e-08 1.1322073
1400000 2.2941042e-09 3.2443532e-09 6.7018319e-08 3.1343601e-08 1.1322073
1500000 1.9837411e-08 8.0052078e-09 8.1392741e-08 1.7386563e-08 1.1322073
1600000 1.1378803e-08 8.2418417e-09 6.0261791e-08 3.2580836e-08 1.1322073
1700000 7.4331931e-09 6.0842327e-09 8.1780419e-08 4.8693053e-08 1.1322073
1800000 2.5164515e-08 2.962363e-09 1.0230055e-07 5.5108944e-09 1.1322073
1900000 1.76152e-08 4.1828093e-09 6.8066652e-08 3.935016e-08 1.1322073
2000000 2.6757176e-08 1.1891004e-08 7.1473349e-08 3.3068411e-08 1.1322073
2100000 1.3143392e-08 1.4606698e-09 1.0396491e-07 2.853883e-08 1.1322073
2200000 2.0820765e-08 5.5096124e-09 1.218013e-07 3.2646524e-08 1.1322073
2300000 2.7374983e-08 1.1788547e-08 1.0217711e-07 3.6243939e-08 1.1322073
2400000 8.569674e-09 6.0604104e-09 9.8997729e-08 3.7433503e-08 1.1322073
2500000 2.0767022e-08 1.5433762e-08 8.5032434e-08 4.0744065e-08 1.1322073
2600000 2.0066668e-08 5.7344502e-09 9.7040368e-08 1.3880286e-08 1.1322073
2700000 1.4018374e-08 3.3230579e-09 9.773388e-08 1.2613887e-08 1.1322073
2800000 2.4553102e-08 6.6922209e-09 1.4127085e-07 2.3869892e-08 1.1322073
2900000 6.7305779e-09 4.8628272e-09 1.1424638e-07 2.4784331e-08 1.1322073
3000000 1.2265786e-08 8.7292308e-09 9.5080782e-08 2.1869668e-08 1.1322073
3100000 3.8522e-08 1.6245809e-08 9.1839396e-08 4.1890724e-08 1.1322073
3200000 1.98787e-08 2.5779303e-09 1.3022187e-07 4.5712706e-09 1.1322073
3300000 2.574971e-08 4.4489165e-09 1.3607616e-07 3.5920382e-08 1.1322073
3400000 2.0891418e-08 1.1368427e-08 1.5337919e-07 2.3580612e-08 1.1322073
3500000 1.1980311e-08 8.4811968e-09 1.6370292e-07 4.0453256e-08 1.1322073
3600000 3.6344469e-08 3.4697068e-09 1.8997646e-07 6.7522919e-08 1.1322073
3700000 2.485123e-08 5.8963117e-09 1.6003978e-07 4.8290808e-08 1.1322073
3800000 2.3349411e-08 1.5790925e-08 1.9412188e-07 6.0157377e-08 1.1322073
3900000 8.46615e-09 7.1915317e-09 1.9472979e-07 4.6494756e-08 1.1322073
4000000 2.2974916e-08 7.3313828e-09 2.0626659e-07 4.2565306e-08 1.1322073
4100000 3.1645876e-08 5.251817e-09 2.1014253e-07 8.2450151e-08 1.1322073
4200000 3.5732762e-08 1.1217044e-08 2.2573741e-07 4.7426251e-08 1.1322073
4300000 1.8297194e-08 7.8584184e-09 2.1858141e-07 5.6135504e-08 1.1322073
4400000 3.213709e-08 5.6113392e-09 2.6585373e-07 5.6746075e-08 1.1322073
4500000 2.3245903e-08 5.9119795e-09 2.6618681e-07 5.1053876e-08 1.1322073
4600000 2.0137424e-08 1.1032978e-08 2.7630744e-07 6.3376087e-08 1.1322073
4700000 2.4710136e-08 4.1682568e-09 2.7704695e-07 3.7837579e-08 1.1322073
4800000 2.4131489e-08 1.7400724e-09 3.0370192e-07 4.804659e-08 1.1322073
4900000 3.1498234e-08 1.1301013e-08 3.1664314e-07 8.4229685e-08 1.1322073
5000000 2.2039265e-08 3.1155775e-09 3.1103376e-07 4.251614e-08 1.1322073
5100000 2.322621e-08 2.519648e-09 3.3949412e-07 7.0285129e-08 1.1322073
