time loss_PerMon loss_std gain_PerMon gain_std areagrowthrate
0 0 0 0 0 2.6301684
100000 0 0 2.7064528e-08 1.5878389e-10 2.6301684
200000 0 0 0 0 2.6301684
300000 0 0 8.008034e-09 5.6625627e-09 2.6301684
400000 2.2338875e-08 1.3600091e-10 2.2230554e-08 1.812429e-08 2.6301684
500000 0 0 1.3612596e-08 4.8348887e-09 2.6301684
600000 1.8791708e-08 1.0661062e-10 4.6929211e-08 1.3076331e-08 2.6301684
700000 1.16201e-08 8.2173279e-09 4.0417589e-08 3.7500631e-09 2.6301684
800000 5.3981107e-09 7.6340813e-09 2.4200321e-08 1.7156217e-08 2.6301684
900000 1.5428034e-08 3.504261e-10 4.6405105e-08 1.1387487e-08 2.6301684
1000000 0 0 6.2966588e-08 1.9567728e-08 2.6301684
1100000 4.5506257e-09 6.4355566e-09 9.5087895e-08 1.9832828e-08 2.6301684
1200000 1.348218e-08 4.4120202e-10 6.2813741e-08 7.6768633e-09 2.6301684
1300000 8.7861191e-09 6.2247014e-09 7.3990529e-08 1.0670356e-08 2.6301684
1400000 2.7330311e-08 7.5579285e-09 1.068821e-07 2.2421913e-08 2.6301684
1500000 3.0065095e-08 1.2543955e-08 1.1006849e-07 8.3908756e-09 2.6301684
1600000 1.5473096e-08 6.0365533e-09 1.2435131e-07 3.5017876e-08 2.6301684
1700000 2.0964882e-08 1.3789116e-08 1.0125354e-07 1.9028009e-08 2.6301684
1800000 2.7250245e-08 4.2539793e-09 1.1957408e-07 3.8410879e-08 2.6301684
1900000 1.6459149e-08 9.9791052e-09 1.620287e-07 2.5842461e-08 2.6301684
2000000 6.2579233e-09 4.4292761e-09 1.5469889e-07 2.4325216e-08 2.6301684
2100000 1.4078498e-08 3.6636248e-09 1.7022763e-07 1.0161514e-08 2.6301684
2200000 2.2840236e-08 4.3477364e-09 1.4861378e-07 1.5408334e-08 2.6301684
2300000 2.4450979e-08 4.1900126e-09 1.7066513e-07 1.542958e-08 2.6301684
2400000 3.2344921e-08 6.0749643e-09 1.7993659e-07 5.0568194e-09 2.6301684
2500000 3.8430036e-08 1.1736274e-08 1.6752542e-07 1.8061325e-08 2.6301684
2600000 2.9807154e-08 1.7344401e-09 1.9633729e-07 2.0923677e-08 2.6301684
2700000 1.8650755e-08 8.9556989e-09 2.1560227e-07 3.3449109e-08 2.6301684
2800000 3.5327037e-08 5.7070893e-09 2.3039569e-07 5.2994764e-08 2.6301684
2900000 3.8694984e-08 4.0992254e-09 2.5836716e-07 2.9381779e-08 2.6301684
3000000 2.1336906e-08 1.0377143e-08 2.7726245e-07 1.2778867e-08 2.6301684
3100000 2.6723471e-08 7.1277346e-09 2.8868189e-07 1.7964231e-08 2.6301684
3200000 3.3912019e-08 8.1073243e-09 2.7245137e-07 7.104323e-09 2.6301684
3300000 2.9606896e-08 6.1542467e-09 2.9406327e-07 1.8681381e-08 2.6301684
3400000 2.2541583e-08 7.2852247e-09 3.2578998e-07 1.1163378e-08 2.6301684
3500000 2.7488382e-08 6.6395808e-09 3.5275605e-07 6.7083247e-09 2.6301684
3600000 2.362147e-08 2.8344838e-09 3.1623644e-07 9.3466148e-09 2.6301684
3700000 2.323487e-08 3.4546755e-09 3.4017129e-07 1.3782099e-08 2.6301684
3800000 2.070341e-08 1.6885629e-09 3.6486264e-07 2.2807806e-08 2.6301684
3900000 2.2515596e-08 3.6622802e-09 3.9551699e-07 1.5891581e-08 2.6301684
