time Adot Adot_std
200 0.00013105833 2.6983065e-05
400 0.00010891239 5.0272783e-05
600 0.00015934755 3.5602225e-05
800 0.00015125882 2.6807669e-05
1000 0.00012139938 2.6032887e-05
1200 0.00012527653 1.5854134e-05
1400 0.00012224136 3.8630109e-05
1600 0.00013378378 2.7203841e-05
1800 0.00020550986 2.457493e-05
2000 0.00017474109 9.5788634e-05
2200 0.00014146888 2.0799119e-05
2400 0.00013568227 2.1007681e-05
2600 0.00016480306 2.7531836e-05
2800 0.00014259891 2.6686569e-05
3000 0.00016573978 5.6265131e-05
3200 0.00019596773 9.5541679e-05
3400 0.00014634283 4.479827e-05
3600 0.00011842618 3.3344483e-05
3800 0.00014645399 5.0605322e-05
4000 0.00016210487 3.9158911e-05
4200 0.00011744012 5.3722047e-05
4400 0.00013940773 5.3653727e-05
4600 0.00015941869 6.2391131e-05
4800 0.00016342989 5.5295405e-05
5000 0.0001858087 8.5219057e-06
5200 0.00018674407 1.7208808e-05
5400 0.00014252065 4.3631114e-05
5600 0.00011412908 2.8143249e-05
5800 0.00012997499 4.4883169e-05
6000 0.00011545374 1.5915578e-05
6200 0.00011772818 1.449669e-05
6400 0.00010629008 2.565696e-05
6600 0.00016826626 3.8296737e-05
6800 0.00012388729 3.9706385e-05
7000 0.00012548321 4.0133301e-05
7200 0.00020627971 1.6299724e-05
7400 0.00024109057 1.0270893e-05
7600 0.00022853358 2.0904531e-05
7800 0.00022127285 3.5683752e-05
8000 0.00019299483 3.4873052e-05
8200 0.00012689501 1.6375537e-05
8400 0.00017198216 6.6417464e-06
8600 0.00014003501 4.7504301e-05
8800 0.00013752039 3.1789622e-05
9000 0.0001642683 3.2711636e-05
9200 0.00014427345 2.6454386e-05
9400 0.00014757969 5.154129e-05
9600 0.00016300267 1.9234412e-05
9800 0.00013578068 7.3336425e-05
10000 0.0001195585 4.3341274e-05
10200 0.00012385831 5.9160514e-05
10400 0.00014513968 2.5902285e-05
10600 0.00015336561 5.4298033e-05
10800 0.00017725905 5.0770623e-05
11000 0.00017374161 1.4899986e-05
11200 0.00014878583 8.2107631e-05
11400 0.00011638151 4.3746434e-05
11600 0.00013550156 2.5842576e-06
11800 0.00011219582 2.1946856e-05
12000 0.00012987682 4.2206924e-05
12200 8.4907677e-05 6.5442831e-05
12400 0.00010358177 5.6811641e-06
12600 0.00016739891 4.4493913e-05
12800 0.00013496123 7.2761539e-05
13000 0.00014960083 1.1657025e-05
13200 0.00012159675 1.4075323e-05
13400 0.00018532239 1.3414492e-05
13600 0.00015449046 5.1346669e-05
13800 0.00017321803 2.4664818e-05
14000 0.00016129726 5.6811474e-05
14200 0.00014195184 4.2979142e-05
14400 0.00014388618 5.928913e-05
14600 0.00011468512 5.4016852e-05
14800 0.00012326352 4.5017247e-05
15000 0.00015091975 4.9370186e-05
15200 0.00016767785 4.0614929e-05
15400 9.9443032e-05 1.1479107e-05
15600 0.00014228479 4.3359334e-06
15800 0.00012388416 1.0670528e-05
16000 0.000136492 6.3161209e-05
16200 0.00012715796 2.4868819e-05
16400 0.00012872794 4.8988782e-05
16600 9.0350714e-05 4.3627285e-05
16800 0.00015307982 4.8339834e-06
17000 0.0001772732 3.2916743e-05
17200 0.00015130335 4.5005397e-05
17400 0.00011311139 4.3569122e-05
17600 0.0001321625 3.8323917e-05
17800 0.00012648959 1.9467148e-05
18000 8.7965786e-05 3.7986418e-05
18200 0.00014233562 4.0618216e-06
18400 0.00011651459 2.9349839e-05
18600 0.00013845848 6.4474345e-05
18800 0.00010999874 1.568245e-05
19000 0.00011335757 3.8820552e-05
19200 0.00012859442 2.3470152e-05
19400 0.00014266453 2.8939521e-05
19600 0.00013100426 4.0045692e-05
19800 0.0001489364 1.7559444e-05
20000 0.00018690467 1.6632188e-05
20200 0.00017011076 4.0141237e-05
20400 0.00014936252 1.6732557e-05
20600 0.00014805697 5.2942716e-05
20800 0.00014472147 3.8357082e-05
21000 0.00014488757 1.5538776e-05
21200 0.00016802339 4.2999066e-05
21400 0.00017096988 5.7683514e-05
21600 0.00016748852 1.5862996e-05
21800 0.00016762473 6.1662612e-05
22000 0.00011614172 6.904833e-05
22200 0.00017025589 3.5592202e-05
22400 0.00012569834 3.0301327e-05
22600 0.00015166398 3.3411143e-05
22800 0.00011492917 6.645046e-05
23000 0.00015059706 4.7760557e-06
23200 0.00015194716 3.5736208e-05
23400 0.00010806023 6.4101917e-06
23600 0.00010343997 6.078457e-05
23800 0.00015071108 2.0620964e-05
24000 0.00014472573 1.9852711e-05
24200 0.00011697682 3.0496826e-05
24400 0.00011884225 8.4857418e-05
24600 0.00015876722 7.0336419e-05
24800 0.00017044369 1.9211495e-05
25000 0.00014343567 4.0321482e-05
25200 0.00015039523 5.1968513e-05
