time loss_PerArea loss_std gain_PerArea gain_std areagrowthrate
0 0 0 0 0 1.5574935
100000 0 0 2.0776516e-08 2.9382431e-08 1.5574935
200000 0 0 3.8988315e-08 2.757074e-08 1.5574935
300000 0 0 0 0 1.5574935
400000 5.1327127e-08 9.1243409e-11 2.5663563e-08 4.5621705e-11 1.5574935
500000 0 0 8.0790558e-09 1.142551e-08 1.5574935
600000 0 0 1.5245059e-08 2.1559769e-08 1.5574935
700000 4.2249731e-08 4.6851963e-10 4.8941563e-08 3.5699871e-08 1.5574935
800000 0 0 6.6126814e-08 1.01911e-08 1.5574935
900000 3.7217586e-08 4.3221762e-10 6.8139399e-08 8.1235784e-09 1.5574935
1000000 0 0 1.11297e-07 2.1027935e-08 1.5574935
1100000 3.3490242e-08 2.7337044e-10 7.8189548e-08 2.0950546e-08 1.5574935
1200000 0 0 9.6132329e-08 1.2084941e-08 1.5574935
1300000 2.0683113e-08 1.4628075e-08 2.1648959e-07 3.5957039e-08 1.5574935
1400000 3.5113556e-08 7.2731822e-09 1.4543964e-07 2.6242333e-08 1.5574935
1500000 9.783857e-09 1.3836463e-08 1.8157626e-07 1.8375751e-08 1.5574935
1600000 3.8309138e-08 1.3519499e-08 1.8677453e-07 1.1421104e-08 1.5574935
1700000 3.7307034e-08 1.337523e-08 2.421697e-07 5.1530915e-08 1.5574935
1800000 4.0789921e-08 1.0935014e-08 2.5409623e-07 7.6324278e-09 1.5574935
1900000 5.2346665e-08 3.548005e-10 1.479733e-07 4.9684307e-08 1.5574935
2000000 4.5953518e-08 6.2237681e-09 3.1735671e-07 4.3850566e-08 1.5574935
2100000 4.0039898e-08 1.1171336e-08 1.7225244e-07 2.1144354e-08 1.5574935
2200000 4.6267885e-08 1.8790337e-08 3.1644033e-07 4.867035e-08 1.5574935
2300000 4.8179867e-08 3.1791522e-08 3.3008321e-07 5.1902211e-08 1.5574935
2400000 1.7816564e-08 1.3342229e-08 3.1995552e-07 5.3410194e-08 1.5574935
2500000 2.0180357e-08 8.1200924e-09 3.8392913e-07 3.5045706e-08 1.5574935
2600000 5.419948e-08 4.2763858e-08 2.8574564e-07 3.6038679e-08 1.5574935
2700000 7.1331612e-08 1.7806038e-08 3.4965476e-07 6.4209177e-08 1.5574935
2800000 3.9066557e-08 2.1531424e-08 3.0093998e-07 2.0605003e-08 1.5574935
2900000 3.6603081e-08 2.7533518e-08 3.8821279e-07 7.5268248e-08 1.5574935
3000000 8.2588288e-08 6.9182596e-09 3.4310059e-07 5.0306075e-08 1.5574935
3100000 5.1670523e-08 2.0527623e-08 4.246607e-07 3.6731753e-08 1.5574935
3200000 5.1506886e-08 1.3269916e-08 4.8265026e-07 1.8569381e-07 1.5574935
3300000 4.7139098e-08 2.0402808e-08 4.7245666e-07 1.1353434e-07 1.5574935
3400000 7.9982684e-08 1.5830171e-08 5.802825e-07 1.0145531e-07 1.5574935
3500000 8.6919257e-08 1.7377191e-08 5.7088865e-07 2.1089923e-08 1.5574935
3600000 6.0073665e-08 1.4957134e-08 5.0455347e-07 1.6283861e-07 1.5574935
3700000 6.5234779e-08 1.2610576e-08 5.7626571e-07 6.7696589e-08 1.5574935
3800000 4.7232024e-08 2.3355695e-08 6.6001682e-07 7.8009176e-08 1.5574935
3900000 7.9037808e-08 1.6600298e-08 7.0138179e-07 1.0985265e-07 1.5574935
4000000 7.0397988e-08 1.5676128e-08 6.461588e-07 9.4538833e-08 1.5574935
4100000 8.3073249e-08 1.1214867e-08 7.0757035e-07 1.3250858e-07 1.5574935
4200000 6.3046765e-08 8.6285103e-09 7.6867219e-07 1.3057753e-07 1.5574935
4300000 5.3840089e-08 8.2803744e-10 7.6811204e-07 6.2446901e-08 1.5574935
4400000 6.9231451e-08 1.6035069e-08 8.0362359e-07 1.0989148e-07 1.5574935
4500000 6.9049121e-08 1.0233635e-08 8.915295e-07 6.7156783e-08 1.5574935
4600000 4.5820039e-08 1.0422373e-08 9.0480125e-07 1.0217392e-07 1.5574935
4700000 4.9980605e-08 8.2278635e-09 9.5205636e-07 1.3588937e-07 1.5574935
