time loss_PerArea loss_std gain_PerArea gain_std areagrowthrate
0 0 0 0 0 1.1322073
100000 0 0 4.1848751e-08 2.9591871e-08 1.1322073
200000 0 0 1.9713861e-08 2.787961e-08 1.1322073
300000 0 0 0 0 1.1322073
400000 5.2202567e-08 2.3358379e-10 1.7355741e-08 1.2272545e-08 1.1322073
500000 0 0 3.3032252e-08 4.6714659e-08 1.1322073
600000 0 0 0 0 1.1322073
700000 4.3683323e-08 5.7064314e-10 2.173882e-08 3.0743335e-08 1.1322073
800000 0 0 4.0806719e-08 3.3437378e-08 1.1322073
900000 3.9081467e-08 8.7714872e-10 5.2854047e-08 3.4775906e-08 1.1322073
1000000 0 0 6.0989496e-08 3.048373e-08 1.1322073
1100000 0 0 9.3690287e-08 2.9282587e-08 1.1322073
1200000 3.3695759e-08 1.1741828e-09 1.1716795e-07 1.9533021e-08 1.1322073
1300000 0 0 1.5078617e-07 4.9921364e-08 1.1322073
1400000 4.9051275e-09 6.9368979e-09 1.415542e-07 6.5344213e-08 1.1322073
1500000 4.179985e-08 1.6566722e-08 1.7241018e-07 3.8949746e-08 1.1322073
1600000 2.4342695e-08 1.7693497e-08 1.2856411e-07 6.9979545e-08 1.1322073
1700000 1.5732505e-08 1.2899758e-08 1.7542703e-07 1.0613177e-07 1.1322073
1800000 5.354448e-08 6.3148162e-09 2.1773374e-07 1.3253101e-08 1.1322073
1900000 3.7505587e-08 9.4169724e-09 1.4551349e-07 8.6027047e-08 1.1322073
2000000 5.7261629e-08 2.5460319e-08 1.5237139e-07 6.932132e-08 1.1322073
2100000 2.8144226e-08 2.7025399e-09 2.2300142e-07 6.0520724e-08 1.1322073
2200000 4.5042647e-08 1.1856899e-08 2.6400674e-07 7.2771818e-08 1.1322073
2300000 5.9277798e-08 2.6043878e-08 2.2098336e-07 8.060487e-08 1.1322073
2400000 1.8579765e-08 1.3138838e-08 2.1670339e-07 8.3545316e-08 1.1322073
2500000 4.5152788e-08 3.3584634e-08 1.864665e-07 9.0884174e-08 1.1322073
2600000 4.4012942e-08 1.2681701e-08 2.1277455e-07 3.1360409e-08 1.1322073
2700000 3.0768285e-08 7.5318363e-09 2.1426937e-07 2.8638272e-08 1.1322073
2800000 5.3751732e-08 1.4803979e-08 3.0916671e-07 5.3557373e-08 1.1322073
2900000 1.4792968e-08 1.0636908e-08 2.5327023e-07 5.7619407e-08 1.1322073
3000000 2.7424489e-08 1.9512352e-08 2.1108934e-07 5.0720665e-08 1.1322073
3100000 8.5356988e-08 3.6401944e-08 2.044155e-07 9.4346342e-08 1.1322073
3200000 4.4476865e-08 5.7214429e-09 2.9149389e-07 1.2188762e-08 1.1322073
3300000 5.7655444e-08 1.0245807e-08 3.049078e-07 8.2302401e-08 1.1322073
3400000 4.7318552e-08 2.6016086e-08 3.4794003e-07 5.7283075e-08 1.1322073
3500000 2.7512542e-08 1.9471547e-08 3.7303573e-07 9.6939418e-08 1.1322073
3600000 8.2436642e-08 7.9894941e-09 4.332962e-07 1.5972511e-07 1.1322073
3700000 5.6304538e-08 1.1959506e-08 3.6729496e-07 1.1740175e-07 1.1322073
3800000 5.4275979e-08 3.7427772e-08 4.4855527e-07 1.4429786e-07 1.1322073
3900000 1.9754679e-08 1.6676323e-08 4.5219613e-07 1.1598747e-07 1.1322073
4000000 5.3302002e-08 1.7112708e-08 4.8005818e-07 1.0706968e-07 1.1322073
4100000 7.4230476e-08 1.3867999e-08 4.953545e-07 2.0045744e-07 1.1322073
4200000 8.2847923e-08 2.2956098e-08 5.3241238e-07 1.258728e-07 1.1322073
4300000 4.4028696e-08 1.9602582e-08 5.2334818e-07 1.4596621e-07 1.1322073
4400000 7.7193497e-08 1.3320409e-08 6.4229882e-07 1.4965697e-07 1.1322073
4500000 5.5981736e-08 1.4356629e-08 6.4471293e-07 1.3725625e-07 1.1322073
4600000 4.9281418e-08 2.7186633e-08 6.7364995e-07 1.6862872e-07 1.1322073
4700000 6.0537355e-08 1.0662315e-08 6.8060918e-07 1.0937908e-07 1.1322073
4800000 5.9408864e-08 5.3006151e-09 7.5011301e-07 1.3623243e-07 1.1322073
4900000 7.6770785e-08 2.4671964e-08 7.8765587e-07 2.3022171e-07 1.1322073
5000000 5.4618477e-08 6.1622129e-09 7.7675149e-07 1.2632336e-07 1.1322073
5100000 5.7904208e-08 4.9686538e-09 8.5362368e-07 1.9632761e-07 1.1322073
