time loss_PerArea loss_std gain_PerArea gain_std areagrowthrate
0 0 0 0 0 1.775597
100000 0 0 4.1299142e-08 2.9203126e-08 1.775597
200000 0 0 1.9326352e-08 2.7331589e-08 1.775597
300000 0 0 0 0 1.775597
400000 5.0171808e-08 5.4290445e-10 4.9791626e-08 3.4670358e-08 1.775597
500000 0 0 7.6282956e-09 1.0788039e-08 1.775597
600000 1.4772928e-08 2.0892075e-08 7.2931565e-09 1.0314081e-08 1.775597
700000 2.681428e-08 1.8964443e-08 1.3563814e-08 1.9182129e-08 1.775597
800000 3.8304716e-08 9.4107624e-10 6.3942017e-08 1.8433542e-08 1.775597
900000 0 0 6.5839035e-08 4.0957187e-08 1.775597
1000000 2.3428314e-08 1.6603465e-08 1.5014743e-07 6.9179424e-08 1.775597
1100000 1.0621322e-08 1.5020817e-08 9.2283068e-08 4.420194e-08 1.775597
1200000 0 0 1.6318447e-07 5.8555713e-08 1.775597
1300000 2.1583106e-08 1.5294281e-08 1.4710643e-07 4.7921473e-08 1.775597
1400000 9.0929605e-09 1.2859388e-08 1.9926698e-07 2.5821733e-08 1.775597
1500000 3.9466382e-08 1.4594761e-08 1.7407892e-07 2.2074357e-08 1.775597
1600000 3.6590356e-08 2.6065723e-08 1.5328857e-07 1.0417418e-07 1.775597
1700000 4.1302715e-08 1.9655133e-08 2.7352241e-07 2.5205852e-08 1.775597
1800000 5.4027125e-08 5.3682686e-09 2.0638031e-07 5.2053331e-08 1.775597
1900000 4.5278665e-08 2.9129918e-08 2.388445e-07 8.250947e-08 1.775597
2000000 3.1575296e-08 2.2653282e-08 3.189602e-07 9.4922362e-08 1.775597
2100000 3.0917326e-08 6.9926395e-09 2.3260422e-07 6.3188742e-08 1.775597
2200000 5.9138946e-08 1.4920284e-08 2.8096023e-07 7.6766259e-08 1.775597
2300000 3.0882741e-08 1.3800005e-08 2.4033246e-07 1.0878567e-07 1.775597
2400000 5.066115e-08 2.3515459e-08 3.2366917e-07 3.2232045e-08 1.775597
2500000 5.6494048e-08 1.5726151e-08 3.41448e-07 1.4963709e-08 1.775597
2600000 1.2888074e-08 9.3332984e-09 3.5026334e-07 7.1101473e-08 1.775597
2700000 7.9945518e-08 2.7536084e-08 2.4445711e-07 5.9000306e-08 1.775597
2800000 6.7917506e-08 2.2313185e-08 3.2923556e-07 9.4854813e-08 1.775597
2900000 3.1227257e-08 3.0524409e-09 4.4263578e-07 6.4877317e-08 1.775597
3000000 7.717973e-08 2.2250099e-08 4.147951e-07 8.5392098e-08 1.775597
3100000 5.1839492e-08 2.4181892e-09 4.1609645e-07 1.5051158e-07 1.775597
3200000 6.5205292e-08 2.193504e-08 4.8301314e-07 1.3593553e-07 1.775597
3300000 5.7001279e-08 2.5715381e-08 4.5348993e-07 8.1660118e-08 1.775597
3400000 4.9674692e-08 1.411322e-08 5.4475365e-07 1.0929005e-07 1.775597
3500000 6.4491404e-08 1.6469044e-08 6.6294475e-07 9.6821238e-08 1.775597
3600000 5.4181795e-08 1.2767563e-08 6.448093e-07 1.894445e-07 1.775597
3700000 7.2254265e-08 7.1912575e-09 7.151665e-07 8.6980743e-08 1.775597
3800000 7.2575518e-08 7.9083096e-09 7.2520396e-07 9.9286569e-08 1.775597
3900000 4.4221886e-08 5.3074158e-09 7.2017746e-07 9.7003115e-08 1.775597
4000000 7.3805025e-08 2.2605271e-08 7.4679207e-07 1.3290136e-07 1.775597
4100000 7.5173163e-08 1.9526247e-08 8.3927717e-07 1.4048834e-07 1.775597
4200000 6.2085187e-08 1.5069051e-08 8.3116122e-07 1.017817e-07 1.775597
