time loss_PerMon loss_std gain_PerMon gain_std areagrowthrate
0 0 0 0 0 1
100000 0 0 2.7586663e-08 1.1223296e-10 1
200000 0 0 0 0 1
300000 0 0 0 0 1
400000 2.5327205e-08 4.0026607e-11 0 0 1
500000 0 0 1.2165882e-08 7.250851e-11 1
600000 0 0 1.5423302e-08 1.0906058e-08 1
700000 2.1655074e-08 2.203443e-10 7.2200331e-09 5.1065218e-09 1
800000 0 0 1.003009e-08 1.418469e-08 1
900000 1.2897995e-08 9.1235347e-09 2.2956997e-08 2.6023833e-08 1
1000000 6.3251107e-09 8.9450573e-09 2.4682333e-08 1.1598205e-08 1
1100000 0 0 2.6025467e-08 1.8065424e-08 1
1200000 1.7012426e-08 5.0415713e-10 4.270542e-08 7.9544568e-09 1
1300000 0 0 2.6909846e-08 1.5700105e-08 1
1400000 0 0 5.6058239e-08 2.0182609e-08 1
1500000 1.0254887e-08 3.1248884e-09 5.0630345e-08 3.3195568e-08 1
1600000 1.5330007e-08 6.4489845e-10 8.9650554e-08 1.9585863e-08 1
1700000 1.2180693e-08 8.9424885e-09 4.6392092e-08 2.7354243e-08 1
1800000 7.7821012e-09 1.1005553e-08 3.0811841e-08 1.6866438e-08 1
1900000 1.4061326e-08 1.1905532e-08 1.1847874e-07 7.7463804e-09 1
2000000 1.8547487e-08 1.3273554e-08 8.1927712e-08 3.1203349e-08 1
2100000 1.7394301e-08 1.2376455e-08 7.0613688e-08 2.1589465e-08 1
2200000 2.2818562e-08 7.8607678e-09 1.0208016e-07 2.1082133e-08 1
2300000 1.3080361e-08 1.3398122e-09 6.6837234e-08 2.0045909e-08 1
2400000 1.2494029e-08 5.2036138e-09 9.0086431e-08 3.6329272e-08 1
2500000 2.2466168e-08 1.104836e-08 9.362419e-08 3.0032926e-08 1
2600000 1.5097814e-08 3.5248814e-09 9.991078e-08 4.3402858e-08 1
2700000 1.7001862e-08 6.081488e-09 1.056289e-07 8.237033e-09 1
2800000 2.3009647e-08 1.7085542e-09 1.1245864e-07 3.1100992e-08 1
2900000 1.1231536e-08 5.0070508e-09 1.3370504e-07 5.3314532e-08 1
3000000 1.1706175e-08 1.6555031e-08 1.3427488e-07 4.1780397e-08 1
3100000 2.7977912e-08 9.7498426e-09 1.2309704e-07 8.8257316e-09 1
3200000 1.7993018e-08 1.3758468e-08 1.3533146e-07 4.3116945e-08 1
3300000 4.0797385e-08 1.3973055e-08 1.2833761e-07 3.0045069e-08 1
3400000 1.5737944e-08 6.2661224e-09 1.181956e-07 4.0704467e-08 1
3500000 1.5014547e-08 2.8822461e-09 1.5280192e-07 1.4187848e-08 1
3600000 2.6104471e-08 1.9193285e-08 1.4703366e-07 2.712965e-08 1
3700000 2.060545e-08 5.109476e-09 1.4544533e-07 2.2508827e-08 1
3800000 2.6214098e-08 1.6663281e-08 1.8022894e-07 6.9057292e-08 1
3900000 2.8925923e-08 1.1268526e-08 1.6011502e-07 3.6517977e-08 1
4000000 1.6952337e-08 5.0704706e-09 2.0118207e-07 3.4983226e-08 1
4100000 2.9763906e-08 1.9497731e-08 2.0996766e-07 5.3943064e-08 1
4200000 2.6041397e-08 1.3566802e-08 2.0051088e-07 3.418578e-08 1
4300000 2.3404577e-08 4.6394066e-09 2.1341938e-07 9.6364144e-09 1
4400000 2.8023379e-08 6.9439622e-09 2.4792287e-07 1.4313377e-08 1
4500000 2.9882716e-08 5.0094902e-09 2.437892e-07 1.9591122e-08 1
4600000 3.2862711e-08 5.4186468e-09 2.692341e-07 2.6724214e-08 1
4700000 3.0639959e-08 1.661177e-08 2.7254314e-07 2.4552184e-08 1
4800000 2.0175723e-08 4.887261e-09 2.7727103e-07 3.9077319e-08 1
4900000 3.0624802e-08 2.1769795e-09 3.0107977e-07 4.1295275e-08 1
5000000 2.131579e-08 4.8550374e-09 2.9104724e-07 1.3961306e-08 1
5100000 2.3604443e-08 4.1832161e-09 2.9367073e-07 1.9905323e-08 1
5200000 2.7618639e-08 8.0827798e-09 3.3535405e-07 1.7455034e-08 1
5300000 2.077666e-08 2.7992334e-09 3.5346513e-07 1.9102596e-08 1
5400000 2.5988585e-08 5.0857956e-09 3.5315588e-07 3.5522646e-08 1
5500000 1.9751732e-08 9.2745279e-10 3.6084472e-07 3.7615406e-08 1
