time loss_PerMon loss_std gain_PerMon gain_std areagrowthrate
0 0 0 0 0 1.775597
100000 0 0 1.8140724e-08 1.2827571e-08 1.775597
200000 0 0 8.7950748e-09 1.2438114e-08 1.775597
300000 0 0 0 0 1.775597
400000 2.3598205e-08 3.0775191e-10 2.340003e-08 1.6266184e-08 1.775597
500000 0 0 3.5880875e-09 5.0743221e-09 1.775597
600000 7.0472163e-09 9.9662689e-09 3.4506556e-09 4.879964e-09 1.775597
700000 1.2778172e-08 9.036232e-09 6.4350064e-09 9.1004734e-09 1.775597
800000 1.8224011e-08 6.0994921e-10 3.0436601e-08 8.8501474e-09 1.775597
900000 0 0 3.1257944e-08 1.9462083e-08 1.775597
1000000 1.1092509e-08 7.8727038e-09 7.0837516e-08 3.2423146e-08 1.775597
1100000 4.9455984e-09 6.9941324e-09 4.3396777e-08 2.0453662e-08 1.775597
1200000 0 0 7.6104763e-08 2.6123852e-08 1.775597
1300000 1.0252136e-08 7.2656825e-09 6.8733986e-08 2.1155041e-08 1.775597
1400000 4.2060988e-09 5.948322e-09 9.3386206e-08 1.1506842e-08 1.775597
1500000 1.8566564e-08 6.9340189e-09 8.1720226e-08 9.940227e-09 1.775597
1600000 1.6919351e-08 1.209192e-08 7.0636055e-08 4.7535196e-08 1.775597
1700000 1.9158445e-08 9.1672611e-09 1.2714695e-07 1.3190381e-08 1.775597
1800000 2.4959747e-08 2.7172402e-09 9.5112423e-08 2.3648462e-08 1.775597
1900000 2.0929712e-08 1.3668705e-08 1.0939426e-07 3.682729e-08 1.775597
2000000 1.4393704e-08 1.0370015e-08 1.4536977e-07 4.1216612e-08 1.775597
2100000 1.4042183e-08 3.0016813e-09 1.0569321e-07 2.78552e-08 1.775597
2200000 2.6970251e-08 7.1104821e-09 1.2708623e-07 3.243498e-08 1.775597
2300000 1.3986769e-08 6.2812443e-09 1.0850926e-07 4.8812206e-08 1.775597
2400000 2.2770755e-08 1.0446184e-08 1.4582183e-07 1.3593397e-08 1.775597
2500000 2.5378877e-08 6.9039409e-09 1.5365452e-07 7.328799e-09 1.775597
2600000 5.7350598e-09 4.1731648e-09 1.5591455e-07 3.1071889e-08 1.775597
2700000 3.5487359e-08 1.2014296e-08 1.0839537e-07 2.4312133e-08 1.775597
2800000 3.0074584e-08 1.0119734e-08 1.4496072e-07 3.9831491e-08 1.775597
2900000 1.3707898e-08 1.1033719e-09 1.9415723e-07 2.5101772e-08 1.775597
3000000 3.3779083e-08 9.6854761e-09 1.8100026e-07 3.3329699e-08 1.775597
3100000 2.2535856e-08 1.4266417e-09 1.7958022e-07 6.1369962e-08 1.775597
3200000 2.8014209e-08 9.2838098e-09 2.0725848e-07 5.4741757e-08 1.775597
3300000 2.4110657e-08 1.0280455e-08 1.9306445e-07 2.9900442e-08 1.775597
3400000 2.121864e-08 6.4819959e-09 2.3010234e-07 3.9543426e-08 1.775597
3500000 2.7345529e-08 7.5492181e-09 2.7851544e-07 3.166794e-08 1.775597
3600000 2.2835795e-08 5.8968486e-09 2.6785802e-07 7.0195465e-08 1.775597
3700000 2.9944793e-08 2.4293942e-09 2.9623244e-07 3.0848772e-08 1.775597
3800000 2.9893217e-08 2.6578308e-09 2.9842115e-07 3.3846353e-08 1.775597
3900000 1.7985867e-08 1.7682311e-09 2.927799e-07 3.256064e-08 1.775597
4000000 3.0069176e-08 9.626982e-09 3.0205586e-07 4.5832072e-08 1.775597
4100000 3.0549245e-08 8.3768009e-09 3.3861232e-07 4.7603589e-08 1.775597
4200000 2.483194e-08 6.1606906e-09 3.3136733e-07 3.2251867e-08 1.775597
