Time AvStress StdStress Strain
1785 0.108882763 0.0998607644 1.82664748
1806 0.109952566 0.162220468 1.84794247
1827 0.0963501276 0.134286712 1.86923301
1848 0.09486547 0.0454058267 1.8905191
1869 0.198262024 0.0592680758 1.91180075
1890 0.236749966 0.0255826417 1.93307795
1911 0.21867965 0.00792625772 1.95435071
1932 0.222031123 0.0727398297 1.97561904
1953 0.14356682 0.03924951 1.99688292
1974 0.101692279 0.0513962964 2.01814238
1995 -0.00581101897 0.0325227274 2.03939741
2016 0.0353464575 0.0526234132 2.06064801
2037 0.162369678 0.0226018269 2.08189419
2058 0.1465238 0.0337110887 2.10313594
2079 0.0855216287 0.0364072807 2.12437328
2100 -5.64705457e-05 0.0467979964 2.14560621
2121 0.102171141 0.0758247659 2.16683472
2142 0.208192426 0.0237550398 2.18805881
2163 0.0821573919 0.00554891399 2.20927851
2184 0.00944434797 0.0588931189 2.2304938
2205 0.110792416 0.0474942177 2.25170468
2226 0.12435751 0.0454559115 2.27291117
2247 0.0424268715 0.0171084129 2.29411326
2268 0.0683472289 0.0863518381 2.31531096
2289 0.092542329 0.0876109681 2.33650426
2310 0.0994129192 0.113579845 2.35769318
2331 0.0751379844 0.125297676 2.37887772
2352 0.0456697932 0.0327450512 2.40005787
2373 0.027986378 0.0539131027 2.42123364
2394 0.0878782326 0.0404465668 2.44240503
2415 0.114724111 0.0535242157 2.46357205
2436 0.0732665957 0.116268321 2.4847347
2457 0.0735260021 0.14618861 2.50589297
2478 0.102139765 0.0317221494 2.52704689
2499 -0.0482559775 0.112367336 2.54819643
2520 -0.0950347906 0.0928450702 2.56934162
2541 0.0239096912 0.02677118 2.59048245
2562 -0.000357383298 0.0142220262 2.61161892
2583 0.0804172865 0.0597709889 2.63275104
2604 0.0521678892 0.0552216362 2.65387881
2625 -0.00154034748 0.0778601634 2.67500223
2646 0.0314931098 0.2412695 2.69612131
2667 0.0576683568 0.103994659 2.71723605
2688 0.135195285 0.0486209011 2.73834644
2709 0.0801388145 0.0142609312 2.7594525
2730 0.0183467878 0.0155436743 2.78055423
2751 0.0103925237 0.036807802 2.80165162
2772 0.0965757077 0.00464141469 2.82274468
2793 0.156397943 0.00279824893 2.84383342
2814 0.104323372 0.0511923529 2.86491784
2835 0.11404292 0.0594934591 2.88599793
2856 0.190393203 0.0385592534 2.90707371
2877 0.12895473 0.0980603271 2.92814517
2898 0.0497559521 0.0782116613 2.94921232
2919 0.0372541907 0.00199169704 2.97027515
2940 -0.00420102073 0.00349379571 2.99133368
2961 -0.00191151949 0.0185201398 3.01238791
2982 0.0262286261 0.0284575118 3.03343783
3003 0.118606759 0.0323210328 3.05448345
3024 0.0467577175 0.114329846 3.07552478
3045 0.0515608444 0.0723155404 3.09656181
3066 0.145382843 0.00471145199 3.11759455
3087 0.0997273488 0.00777930959 3.138623
3108 0.106726332 0.000206428024 3.15964716
3129 0.136387881 0.0181371844 3.18066704
3150 0.118134946 0.0388291618 3.20168264
3171 0.0706858781 0.136951618 3.22269396
3192 0.0669012851 0.14148171 3.24370101
3213 0.142119491 0.0449213118 3.26470378
3234 0.092117884 0.0973638889 3.28570228
3255 0.0273120792 0.0606573569 3.30669651
3276 0.0469622815 0.0974424764 3.32768648
3297 0.102427205 0.181378937 3.34867218
3318 0.180434544 0.119870939 3.36965362
3339 0.119468517 0.0135948545 3.39063081
3360 0.10833411 0.058780173 3.41160374
3381 0.105221187 0.102860232 3.43257241
3402 0.0142263306 0.0366180123 3.45353684
3423 -0.0266105071 0.0295185721 3.47449702
3444 0.0400266222 0.0887205807 3.49545295
3465 0.0413040218 0.0787997613 3.51640464
3486 0.0105817529 0.0452892526 3.5373521
3507 0.0499202205 0.0498586733 3.55829531
3528 0.0331636328 0.0263722247 3.57923429
3549 0.0525354785 0.0353225405 3.60016904
3570 0.127839445 0.0505618386 3.62109956
3591 0.155644917 0.0132864914 3.64202585
3612 0.118130335 0.00129782271 3.66294792
3633 -0.0366285724 0.058737899 3.68386576
3654 -0.0937254962 0.00164583584 3.70477939
3675 0.0699483867 0.0856615911 3.7256888
3696 0.0920192502 0.0366098086 3.746594
3717 -0.0162712129 0.0133978388 3.76749498
3738 -0.0148399442 0.120876457 3.78839176
3759 0.0442875414 0.208960139 3.81040159
3780 0.100936757 0.138507476 3.83290755
3801 0.166769597 0.0929594604 3.85540862
3822 0.148073272 0.0641872392 3.87790482
3843 0.0623889377 0.0410158074 3.90039615
3864 0.0421924863 0.0213592611 3.92288262
3885 0.0100936028 0.101442379 3.94536422
3906 0.0482155583 0.171275036 3.96784095
3927 0.179045792 0.123089605 3.99031283
3948 0.160556196 0.0590201753 4.01277986
3969 0.114428148 0.0120683282 4.03524203
3990 0.123828489 0.0359381856 4.05769935
4011 0.0909702541 0.00806140196 4.08015183
4032 0.0112255208 0.0348073924 4.10259947
4053 -0.0442380614 0.0810935647 4.12504226
4074 -0.0169316679 0.0511464622 4.14748022
4095 0.148362412 0.00391297718 4.16991335
4116 0.140154358 0.131920566 4.19234165
4137 0.0445142131 0.125538965 4.21476512
4158 0.159349195 0.013890463 4.23718376
4179 0.128426118 0.0631402389 4.25959759
4200 0.0630282777 0.139745969 4.2820066
4221 0.101145285 0.163900656 4.30441079
4242 0.0309679682 0.0998396867 4.32681017
4263 0.0547462586 0.0808775129 4.34920475
4284 0.141056522 0.099111976 4.37159452
