step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce
200000 21792.1681624757 18907.5 1766.42428648726 2383.23143468305 0.999999999999999 0.187800888940555 -2387.75467554277 -1139.63411476514 -230.315707860626 -1.11784390748614
200040 21834.8084197726 18923.0726693648 1801.27557347471 2446.5315156362 1.00082362392515 0.159912145491247 814.214463368204 159.29850178089 -21.2831446835565 -1.52610901192855
200080 22146.2039736907 18896.1879498465 1946.71329426562 2491.21966276242 0.999401716242047 0.155867085534817 30.6611845799067 1513.97024989216 -51.3812374749023 -1.5603193642292
200120 21922.1007714826 18848.5568224181 1847.8259253715 2470.01675020625 0.996882550438615 0.182418108102279 -610.660837360738 -1364.48362651664 -770.364722751986 -1.26350188580034
200160 22124.7458731617 18898.8000549636 1948.33600254705 2501.13674924983 0.999539868039857 0.157745688635375 475.086777900671 208.621647887539 638.347577209733 -1.58026646820438
200200 22192.9868060236 19072.3955087947 1884.22719334205 2467.06026564168 1.00872116931348 0.179136947808591 -442.855727568415 -556.430000271049 -1411.30133144071 -1.31331236401188
200240 22050.1385532171 18901.71494947 1924.33376870415 2513.12876807704 0.999694034085418 0.158843064244009 133.670770781242 262.295878258112 911.082961131457 -1.6008576961828
200280 22054.3192829368 18946.154948628 1919.44112524739 2502.1654465421 1.00204442409774 0.162266402149044 -124.463233780287 735.490801717538 166.709238086607 -1.59576500645258
200320 21976.5069795305 18922.0992092234 1871.31920688581 2456.33749035543 1.00077213852828 0.168595116684451 430.020371751853 -395.409596693495 -629.113675840994 -1.45028196209863
200360 21856.6365759556 18748.48063098 1946.18111077366 2500.87315931637 0.991589614226103 0.164048065294198 -87.5100066823758 -218.233695347331 546.629017903438 -1.44846261842456
200400 21857.5329870374 18883.8838361257 1924.21752987398 2448.34845981699 0.998750963169416 0.175064643637602 -466.493423966664 -536.777536130437 -717.106130176097 -1.33520021581751
200440 21972.7121079 18995.4865112753 1897.34219782697 2476.22845033258 1.00465352433031 0.160678813510643 891.89083239392 11.7545822429052 233.637950844025 -1.61197949135296
200480 22096.4315417095 18958.1775753462 1926.88886997683 2493.60904042205 1.00268028958594 0.171432451227208 -376.853156355472 -788.609412944453 101.864359609132 -1.40936870190914
200520 22064.3893683609 18958.3013079168 1961.63922718735 2460.33993714826 1.00268683368594 0.169718739276363 327.694810177019 -387.170711377725 -619.99626359981 -1.45177524403886
200560 22154.5349948795 18973.5059167246 1901.17910713707 2484.18566570412 1.00349099123229 0.179273900538025 -395.152031770305 -1542.44564384979 -486.117893000672 -1.29581634169471
200600 22096.7787555563 18926.2974112919 1943.9516770534 2495.17375330041 1.00099417751114 0.163700764320644 297.542325174752 -83.9120041461707 293.204286073468 -1.56405971824392
200640 22056.4217870001 18833.8073802694 2001.55287439584 2474.81284378329 0.996102466231357 0.168493888662989 -254.26940538956 510.8057258168 -804.733269694051 -1.4583009501053
200680 22043.7807844372 18941.3953542056 1917.0245548863 2486.51514038919 1.00179269359808 0.175639753305952 -1043.43349642617 516.784328105278 -1209.43247866927 -1.31587068029831
200720 21923.1793789892 18897.1886006361 1897.72791885935 2447.21181798938 0.999454639726887 0.168637976749446 -710.553437181387 112.780267479134 -63.7931522515235 -1.39184785706925
200760 21808.9706355864 18813.5177765053 1900.0549881112 2454.42659622991 0.995029368055285 0.174046611991747 -488.292447206469 -727.819072123989 -354.888354176092 -1.31725853125052
200800 22107.1459574355 19024.9270303876 1888.06077184122 2445.85854224608 1.00621060586474 0.170343712725315 1204.58716470582 -922.349609932199 -1077.65830275991 -1.42696299516918
200840 22085.587125775 18898.5359029222 1943.68249397903 2488.21920666753 0.999525897285322 0.163419407934243 256.072953658403 803.42448978401 -445.649276850172 -1.52215361108188
