Time AvStress StdStress Strain
-2999880 0.032704455 0.12418857 0
-2999820 -0.0032718648 0.049209219 0.0092942242
-2999760 -0.0038689755 0.020714055 0.018587585
-2999700 -0.067868111 0.045072049 0.027880082
-2999640 -0.039371384 0.08038173 0.037171716
-2999580 0.051626088 0.079743202 0.046462487
-2999520 0.089441972 0.05027564 0.055752395
-2999460 0.061686203 0.036742348 0.065041441
-2999400 0.028978749 0.06140737 0.074329625
-2999340 0.063352009 0.12826435 0.083616946
-2999280 -0.010035483 0.048177219 0.092903406
-2999220 -0.0088109323 0.14296924 0.102189
-2999160 0.033384395 0.12268343 0.11147374
-2999100 -0.0016639753 0.10624304 0.12075762
-2999040 0.053565901 0.17810094 0.13004063
-2998980 0.048110427 0.13583082 0.13932279
-2998920 0.038220049 0.071751017 0.14860408
-2998860 0.060228968 0.063390466 0.15788452
-2998800 0.010641624 0.062692111 0.16716409
-2998740 -0.030951108 0.063809068 0.17644281
-2998680 0.10094229 0.024644158 0.18572066
-2998620 0.16969405 0.041736667 0.19499766
-2998560 0.099232345 0.10089426 0.2042738
-2998500 -0.0066514727 0.12988158 0.21354907
-2998440 0.028818214 0.059240743 0.2228235
-2998380 0.016617045 0.074814595 0.23209706
-2998320 -0.049558708 0.1309612 0.24136976
-2998260 0.042047177 0.15385292 0.25064161
-2998200 0.11937995 0.064351441 0.2599126
-2998140 0.043892319 0.12101627 0.26918273
-2998080 0.020657019 0.12971412 0.27845201
-2998020 -0.0009842296 0.12778901 0.28772042
-2997960 0.023312843 0.11526565 0.29698799
-2997900 0.058614507 0.034637799 0.30625469
-2997840 -0.075523343 0.019094582 0.31552054
-2997780 0.0083811466 0.064676283 0.32478554
-2997720 0.076648695 0.034527472 0.33404967
-2997660 0.052819367 0.078608006 0.34331296
-2997600 -0.0032342589 0.12446008 0.35257539
-2997540 -0.0017564896 0.098471935 0.36183696
-2997480 0.068540529 0.04201424 0.37109768
-2997420 0.065716852 0.069441572 0.38035754
-2997360 0.078428304 0.077112396 0.38961655
-2997300 0.10187576 0.058630369 0.39887471
-2997240 0.077337189 0.073408148 0.40813201
-2997180 0.042797573 0.12754966 0.41738846
-2997120 -0.020218538 0.15005341 0.42664406
-2997060 -0.097966807 0.057409628 0.4358988
-2997000 -0.099739954 0.054061009 0.44515269
-2996940 -0.00016099771 0.069460446 0.45440573
-2996880 0.014602716 0.10911437 0.46365791
-2996820 0.0273031 0.12032277 0.47290925
-2996760 0.037635463 0.041942039 0.48215973
-2996700 -0.05015684 0.080194801 0.49140936
-2996640 -0.067495717 0.053812022 0.50065814
-2996580 -0.070249425 0.038144641 0.50990607
-2996520 -0.0035163749 0.076211813 0.51915314
-2996460 -0.011650795 0.0087806667 0.52839937
-2996400 -0.058654504 0.048172836 0.53764475
-2996340 -0.025830382 0.082855764 0.54688927
-2996280 -0.01926741 0.10019111 0.55613295
-2996220 -0.022117378 0.10543397 0.56537577
-2996160 -0.091996466 0.11807203 0.57461775
-2996100 -0.012111309 0.25742644 0.58385888
-2996040 0.11051977 0.17989488 0.59309916
-2995980 0.028773413 0.056240136 0.60233859
-2995920 0.028958878 0.023686783 0.61157717
-2995860 0.027361518 0.030609879 0.6208149
-2995800 0.030242721 0.083871061 0.63005179
-2995740 0.11589753 0.04352738 0.63928783
-2995680 0.031644062 0.049372629 0.64852302
-2995620 -0.098428753 0.026833814 0.65775736
-2995560 -0.032740412 0.058742337 0.66699086
-2995500 0.023205978 0.086057505 0.67622351
-2995440 0.0010892041 0.055868335 0.68545531
-2995380 0.057312664 0.068562842 0.69468626
-2995320 0.0070924965 0.051509246 0.70391637
