step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce boxX boxY
2001000 20245.8126774097 9483.00752248556 4089.42108425595 6673.38407066817 0.998894772474384 0.0176288987139686 -320.904736422304 -61.1107874202841 -1271.03714300976 -1.36583713018012 51.0539199982711 51.0187617362906
2001000 20245.8368999846 9483.00752248556 4089.44603545677 6673.38334204226 0.998894772474384 0.0175391094909484 -319.154909940546 -55.790621087901 -1269.69420097752 -1.36617277999016 51.0539199982711 51.0189650476088
2002500 20242.5918688901 9466.13696378246 4076.19612662855 6700.2587784791 0.997117708303835 0.00906888991334956 329.687269382885 -567.883025232219 -616.427714660667 -1.38696285135368 51.147690313687 51.1790426634252
2002500 20242.6363440612 9466.13696378246 4076.24142126043 6700.25795901828 0.997117708303835 0.0089197597843944 338.612185258992 -565.000867752545 -614.186701788492 -1.387522811984 51.1480228483928 51.1790426634252
2004000 20188.2855384173 9484.97645128109 4074.57359992461 6628.73548721163 0.999102170040668 0.0136029488097481 -221.541056735369 309.50449043541 -1380.09873873032 -1.38879163154886 51.2933272771375 51.4412551554356
2004000 20188.3526380146 9484.97645128109 4074.64288108177 6628.73330565172 0.999102170040668 0.0133790329612916 -217.073592329173 322.942553396773 -1376.7474484239 -1.38963940054375 51.2933272771375 51.4417734222052
2005500 20198.1020268914 9367.89246090948 4151.54499514814 6678.6645708338 0.986769101059617 0.0191342953136458 127.261972670928 -996.502641460154 -975.477518536351 -1.37223953272674 51.807067822745 51.6923223084633
2005500 20198.2219919492 9367.89246090948 4151.66684908389 6678.66268195586 0.986769101059617 0.0187084560988066 153.55240532215 -988.270442069738 -968.979111472607 -1.37387533830934 51.808035559567 51.6923223084633
2007000 20187.2194976749 9308.67089518224 4211.95745418583 6666.59114830681 0.980530983850238 -0.0449637419863146 1762.6005546911 2302.88005912203 320.238055194098 -1.61224693449996 52.0454880622504 52.0586301607063
2007000 20187.2171709689 9308.67089518224 4211.95506330037 6666.59121248628 0.980530983850239 -0.0449577688698466 1762.47743850669 2302.51076535938 320.146640793753 -1.61222368757272 52.0454880622504 52.0586157662776
2008500 20355.1826430405 9569.88962649547 4187.71375805813 6597.5792584869 1.0080465188282 -0.0193918966115022 1651.8565673947 108.106240833501 153.081920767613 -1.54621392888716 52.3979767451132 52.2983297216904
