BP TimeWindow Turnover Error
0.04 1 13.167254631998537 0.31467043176827264
0.03 1 16.709906203506932 1.6810037510902505
0.02 1 23.979937011341374 3.489112901148011
0.01 1 34.706544263775974 10.074675691264405
0.007 1 75.56553997289974 16.04737964492218
0.003 1 312.33368401084016 244.94398460887717
0.04 2 11.816466397185108 0.814259731349465
0.03 2 18.770373541722552 2.1572073236499887
0.02 2 23.087784495895686 4.30578172431244
0.01 2 53.552483855981414 8.86415197988991
0.007 2 71.17652404181185 11.87397534309919
0.003 2 147.67996133694672 13.46470817015481
0.04 3 12.561544423317969 0.5548448900947779
0.03 3 21.260221800806523 2.7963735791997535
0.02 3 25.866659657601403 1.2814111936335515
0.01 3 47.716298233270784 4.533345263967028
0.007 3 72.82718526584075 8.005305272847911
0.003 3 201.39661585365855 25.97774197725502
0.04 4 13.224330273306784 0.5387292651133052
0.03 4 18.545004421623165 1.3414630818248847
0.02 4 23.82686420655243 1.9826186812692232
0.01 4 35.740474730223305 4.877007609521352
0.007 4 52.724328513392976 5.919133945203626
0.003 4 146.63675586527293 29.777684836317516
0.04 5 22.855501173271403 0.3162006683245069
0.03 5 33.89276760171025 1.4880313599705295
0.02 5 43.722336665819874 1.8451907290684508
0.01 5 62.49702830973359 5.032779997140776
0.007 5 100.25979092931783 7.877407297906046
0.003 5 264.83137828571216 43.0266762065278
