BP xstretch Turnover Error
0.04 10 20.185022172894932 0.2628100884875635
0.03 10 33.15885023281803 3.027587264804845
0.02 10 31.764209361530494 0.40412024220862497
0.01 10 53.02080389334723 4.8242618133486435
0.007 10 78.3672318667377 3.906196603735614
0.003 10 240.69893713025928 32.63841100957723
0.04 51 16.38776792832448 0.8320189926656989
0.03 51 21.807634491680346 1.7597771381277225
0.02 51 25.090225853918366 1.7957787246790398
0.01 51 nan nan
0.007 51 70.64837097894782 2.0248405570191026
0.003 51 158.69544858373806 4.943588913674007
0.04 76 13.063090307659076 0.5788984471251031
0.03 76 18.274938694126586 0.48636910733494026
0.02 76 24.052053952352495 1.2643049451328798
0.01 76 45.360221734934335 2.610422596670796
0.007 76 63.95883563979495 3.270324339870597
0.003 76 155.62345511779066 10.281693395964334
