step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce boxX boxY
1510000 18501.4053841361 9499.99598778873 4120.10559297017 4881.30380337716 1.00068425636369 0.049116807675511 -2037.88722031109 -675.860886776364 -2274.67761224433 -1.2599106518502 51.031036 51.031036
1511000 18636.9201333916 9485.32376788188 4154.29899242566 4997.29737308404 0.999138754714476 -0.0126521532617218 821.178891441016 87.0809066263994 376.724502065929 -1.50151145296048 51.031036 51.031036
1512000 18527.92031001 9553.95759141189 4091.10517671306 4882.85754188504 1.00636831425838 0.0217446345037679 -228.562176430761 -1533.15060600608 -446.726632695285 -1.36342989482612 51.031036 51.031036
1513000 18400.8362971503 9520.47254612259 3954.51440589599 4925.8493451317 1.00284115933245 -0.0166521124785432 1048.18689613809 1160.80858793147 -517.765330881241 -1.53620391420874 51.031036 51.031036
1514000 18612.6080040772 9573.36619240868 4130.88833967575 4908.35347199275 1.00841272369607 0.0515460192088399 -1640.87751882496 -2131.56555822885 -1462.6994356537 -1.25750911751011 51.031036 51.031036
1515000 18477.9192236361 9462.28227769034 4092.20224056421 4923.43470538157 0.996711674060182 0.0367712832339019 -855.827806611344 -1656.27948645665 -1222.47611529719 -1.27753200384331 51.031036 51.031036
1516000 18498.7686217977 9400.47473659278 4098.96718652902 4999.32669867589 0.990201162542032 0.00869880172899498 -542.590258400607 -153.425815354762 -187.455966181783 -1.40756596863426 51.031036 51.031036
1517000 18559.8504332322 9520.26989647387 4127.1164810645 4912.46405569382 1.00281981318522 0.00435289041325563 303.275835767239 80.9108314198246 -826.277094447089 -1.4255981906932 51.031036 51.031036
1518000 18418.7122393954 9497.24655562878 4103.71461636595 4817.75106740071 1.0003946442965 0.000516560189065038 391.625089523087 461.469051891926 -905.557284983641 -1.45238434215509 51.031036 51.031036
1519000 18369.0952368566 9424.80782014639 4041.45446906987 4902.83294764033 0.992764293479369 -0.00663062078684875 -552.2451482896 466.160835576748 759.506728248705 -1.45939408097315 51.031036 51.031036
1520000 18497.6767230492 9545.26330900268 4072.87266857226 4879.54074547421 1.00545250002662 0.0248613184054012 -405.761309492532 102.440756507111 -2221.6570670857 -1.37669021482486 51.031036 51.031036
