step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce boxX boxY
1510000 18549.8920549529 9506.36573647109 4206.41858718676 4837.10773129507 1.00135521530216 0.00156071203904358 -718.438907668027 374.255515745107 185.673577370914 -1.45371709369198 51.031036 51.031036
1511000 18614.1615368365 9605.82684364785 4127.18482269379 4881.14987049489 1.01183197383977 0.017089868991945 215.357669805897 -1367.46341866902 -583.584049680732 -1.37503921546798 51.031036 51.031036
1512000 18562.4743688395 9553.98557775191 4152.65146470488 4855.83732638266 1.00637126220592 -0.013486359520927 1298.72622844456 606.770609465413 -535.788465598751 -1.51758003168535 51.031036 51.031036
1513000 18373.6516280687 9433.36773214253 4057.801282109 4882.48261381712 0.993665953772847 -0.0105486347851046 977.710708874174 1401.77863751356 -1308.14363895723 -1.49129515249335 51.031036 51.031036
1514000 18566.6557693854 9503.45534353561 4081.07644248532 4982.12398336442 1.00104864839475 -0.0167013541970288 519.028888027732 1402.70912789439 -225.506750760503 -1.52433404176452 51.031036 51.031036
1515000 18420.3243232659 9428.72470148208 4143.72234184209 4847.87727994174 0.993176879073269 0.00231901133381583 -470.187414923956 871.734467359719 -637.071638183579 -1.42844993677533 51.031036 51.031036
1516000 18368.001557984 9342.67441524233 4184.156570365 4841.17057237665 0.984112752435069 -0.0187798314516531 -774.260708951909 1402.6974453999 1278.88987233827 -1.50320377388937 51.031036 51.031036
1517000 18396.185801074 9375.58979915488 4179.84847940374 4840.74752251538 0.987579901949216 -0.0193832729094259 975.771926435572 1785.81617212463 -792.974467458615 -1.55121016066735 51.031036 51.031036
1518000 18104.7748458629 9211.7084734693 4037.22051118288 4855.84586121075 0.970317424919082 -0.00457289870021605 318.526110942211 516.086059302751 -370.177151610187 -1.43721223505101 51.031036 51.031036
1519000 18375.4480555871 9470.01287895951 4097.58460380233 4807.85057282522 0.997525978718019 0.00495446731659416 214.914829929087 273.249331327315 -991.352242024328 -1.43471125200304 51.031036 51.031036
1520000 18291.7755818852 9443.16571936449 4013.14216894705 4835.4676935737 0.994698027004213 0.0165267587094351 -1034.92521509143 314.605646336676 -958.179342412074 -1.37074739801411 51.031036 51.031036
1521000 18552.2762085919 9515.15975054306 4169.69547759282 4867.420980456 1.0022815347915 -0.0162639734851116 1539.91498108079 650.29855841895 -538.403752356125 -1.51746668909669 51.031036 51.031036
1522000 18425.0778216868 9481.22977491361 4151.28060248247 4792.56744429071 0.998707513026135 0.0425497819569302 -1541.42283831902 -1125.17854990925 -1654.86078961065 -1.29459326451689 51.031036 51.031036
1523000 18409.9080401238 9496.11707357711 4079.9752568953 4833.81570965136 1.00027567004552 0.000308339230576783 505.969515532783 662.486450449148 -1199.77166870939 -1.46175647303608 51.031036 51.031036
1524000 18287.9529188682 9340.97623285267 4102.07451498252 4844.902171033 0.983933874003546 0.0301419214467596 -374.289354844524 -616.50218542901 -2070.4973197119 -1.33889533585948 51.031036 51.031036
1525000 18531.0547904747 9506.59633984489 4132.82989521461 4891.62855541517 1.00137950596144 -0.00250628273987653 819.438792274689 -405.861399647712 -159.033054930723 -1.45719229792505 51.031036 51.031036
1526000 18721.9986483943 9744.31816346396 4098.34815928026 4879.33232565007 1.026419988778 0.0194476501462397 495.150722773673 -1684.70980040385 -785.592866506398 -1.41375524397978 51.031036 51.031036
1527000 18366.5594871449 9431.35466154942 4091.07867377926 4844.12615181624 0.99345390652019 -0.00333896096322859 142.780327327191 1010.02195770558 -813.689066298105 -1.45876105939265 51.031036 51.031036
1528000 18494.3928478124 9566.02217906228 4080.07743120729 4848.29323754286 1.00763914036575 -0.0210574192470293 -146.137186967085 806.408565447428 1478.37273798171 -1.53966696076085 51.031036 51.031036
1529000 18447.5232440435 9520.62732273333 4085.92849304995 4840.96742826027 1.00285746276224 -0.00600310280680066 712.413667308332 -83.3870978654124 -19.3364479864688 -1.48247871959255 51.031036 51.031036
1530000 18389.4507381162 9481.90923861046 4010.09009494106 4897.45140456465 0.998779084490489 0.0294770304958061 -1173.68637185562 -1283.4418326792 -536.632669059577 -1.30100582090174 51.031036 51.031036
