step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
22050440 23968.6057471356 19031.440367253 1886.82159508498 4447.98108241571 1.00052258587667 0.13410501944623 -5744.58912260548 -8430.10087020074 -10275.7087478275 3360.05987916493 1360.11661280246 -115.0658798111 -1.96841915057965 4 31.134014 60774.2569756119 6.58173410759289e-05 0.000169013132320381 0.0104038269461142 0.000942152035384303 0 0 1.01286837479191 0.967745363269075 1.02716475358919 0.0973553654859873 1441
22050460 23880.806485103 18968.0230000473 1881.66213052266 4450.2852378856 0.99718860237349 0.128914605845945 -5456.80072090564 -7994.43634762745 -10081.1410378939 3561.01358774149 1744.89184488175 57.5139093980894 -2.03556059989475 4 31.171514 60847.4577725469 6.57381614027713e-05 0.000169013132320381 0.0107845843948427 0.000908888685386426 0 0 1.04867405845434 0.934702890192103 1.02840194318703 0.0972382448929444 1441
22050480 23991.9545242796 19093.3049414067 1872.70861339156 4455.95420938016 1.00377493580458 0.125117683268445 -5315.41060696701 -7760.11030340327 -9791.23407983408 3690.26434426112 1965.47552719852 253.773466068966 -2.10350590400678 4 31.209014 60920.6585694819 6.56591720103924e-05 0.000169013132320381 0.0111792605591165 0.000876800990658923 0 0 1.08574550084164 0.90278861164696 1.02963913278486 0.0971214057584723 1441
22050500 23982.1059488938 19102.4624701025 1864.60757636052 4466.53554393631 1.00425636622256 0.121020083967185 -5402.53949047149 -7455.8051881599 -9286.10126738786 3651.32230475697 2295.45572988559 631.29506387622 -2.14818313633033 4 31.246514 60993.8593664169 6.5580372213705e-05 0.000169013132320381 0.0115883636897622 0.000845847351315626 0 0 1.12412744750774 0.871964006821395 1.03087632238269 0.0970048470692073 1441
22050520 24003.6647641878 19086.9745187722 1866.21385195238 4471.55768990528 1.0034421322594 0.119328344365772 -5383.54777006153 -7334.54351482003 -9143.00226885153 3746.71256522718 2495.11992343591 725.552823308533 -2.17187613506527 4 31.284014 61067.0601633519 6.55017613309068e-05 0.000169013132320381 0.0120124205778252 0.000815987641255416 0 0 1.16386622579666 0.842191870148833 1.03211351198053 0.0968885678166442 1441
22050540 24098.9002456652 19130.901078838 1881.75497152535 4470.30718281962 1.00575144330563 0.121397469571384 -5407.2846377206 -7768.72547973044 -9090.80879108782 3769.93923788495 2190.14939184414 758.630300363431 -2.15571541877813 4 31.321514 61140.2609602869 6.54233386834604e-05 0.000169013132320381 0.0124519772302416 0.000787183155881617 0 0 1.20500980076001 0.813436266400936 1.03335070157836 0.0967725669971077 1441
22050560 24152.0349654822 19151.4858631353 1897.39382138654 4465.44504132193 1.00683362842759 0.123543364577204 -5259.63994135985 -8333.95053323783 -9093.96059411793 3927.32338136139 1705.84228402142 729.2144467196 -2.11979606395993 4 31.359014 61213.4617572219 6.53451035960743e-05 0.000169013132320381 0.0129075995701137 0.00075939656167853 0 0 1.24760783305123 0.785662487313442 1.03458789117619 0.0966568436117234 1441
22050580 24107.7045018224 19085.0034549411 1907.24518165598 4457.29389630381 1.0033385093153 0.125190365710244 -5088.41892476499 -8829.06605292017 -9100.01411726045 4086.84340381071 1217.34133087167 701.737670920817 -2.08215900684659 4 31.396514 61286.6625541569 6.52670553966834e-05 0.000169013132320381 0.0133798741624807 0.000732591847579105 0 0 1.29171173886642 0.758837009693019 1.03582508077403 0.0965413966663893 1441
22050600 24154.4508942659 19136.2622009801 1912.30377133977 4440.02161117484 1.00603328869859 0.128847256529177 -5006.6180794513 -9295.43833612774 -9416.09374580103 4132.43108874801 740.1071353004 420.542300543948 -2.03996125069526 4 31.434014 61359.8633510919 6.51891934164293e-05 0.000169013132320381 0.0138694089665141 0.000706734278059949 0 0 1.33737475200413 0.732927454954467 1.03706227037186 0.096426225171747 1441
22050620 24087.8807888327 19083.8779514676 1911.04621262929 4430.59419894989 1.00327933924599 0.131298186127386 -5020.70500625538 -9539.92652115971 -9637.51814523472 4088.77743210318 460.324322640677 290.253006550699 -2.00960289780328 4 31.471514 61433.0641480269 6.51115169896417e-05 0.000169013132320381 0.0143768341150998 0.000681790347902301 0 0 1.38465198811906 0.707902550039508 1.03829945996969 0.0963113281431534 1441
