step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce boxX boxY
2001000 18008.6728213845 9485.41987133011 3896.05369175412 4627.19925830026 0.999148877793239 -0.0283993609525976 2445.83003826959 1147.67431472217 -935.552367298326 -1.51714817102072 51.0525421054091 50.9235522457521
2001000 18008.606323863 9485.41987133012 3895.98639343927 4627.20005909358 0.999148877793239 -0.0282008756716267 2442.01702112991 1136.00316238691 -938.668392932111 -1.51640821804447 51.0525421054091 50.9230975352567
2002500 18337.4636821834 9643.13793479903 4017.60333963394 4676.72240775044 1.01576214618413 -0.00339356195624441 712.220301934644 141.046502572476 -533.778174346862 -1.44176314473383 51.2673857563286 51.0100737777366
2002500 18337.4812460612 9643.13793479903 4017.62136145792 4676.72194980421 1.01576214618413 -0.00344822734953737 715.457325102173 142.089952141082 -532.911355154077 -1.44196787696629 51.2675105869365 51.0100737777366
2004000 17988.9566248665 9415.54956406292 3954.65254227309 4618.75451853052 0.991789072951274 -0.0343500059549327 2478.57364267599 375.315767826891 388.843812725356 -1.54471970425813 51.3649251634159 51.0522919288807
2004000 17989.019059544 9415.54956406292 3954.71619311515 4618.75330236596 0.991789072951274 -0.0345571421044113 2482.5445525141 387.574664833859 392.198744192327 -1.5454991281902 51.3649251634159 51.0527696535998
2005500 18287.9593665677 9489.0553120347 4162.85888980293 4636.04516473007 0.999531817773709 -0.0146093138104282 1537.84696714156 84.4828856019823 -229.696791620864 -1.48997144266846 51.7478569581232 51.1695989881757
2005500 18287.9895730463 9489.05531203472 4162.88984502309 4636.04441598847 0.999531817773711 -0.0146953538885416 1543.07098231937 86.1042433474499 -228.33497531942 -1.49029775105332 51.7480570834139 51.1695989881757
2007000 18030.5063339606 9338.83961123395 4075.82701228424 4615.83971044244 0.983708812475268 -0.0348881627625682 1558.75753035037 1988.78693158774 -178.808757645637 -1.53369554213228 51.9800933560375 51.5999503626067
2007000 18030.5284644998 9338.83961123395 4075.84956826765 4615.83928499816 0.983708812475268 -0.0349475940255154 1559.91641220392 1992.40654414898 -177.839446144376 -1.53392394726792 51.9800933560375 51.6000915680222
