Time stressAv
300.0 0.06007467404358061
320.0 0.06387039825364331
340.0 0.032117027978103965
360.0 -0.01392740369107877
380.0 -0.06327479962619334
400.0 -0.10952695717314569
420.0 -0.15218968399661562
440.0 -0.17879358088698802
460.0 -0.19594138629783375
480.0 -0.19586320899715923
500.0 -0.19174917219060536
520.0 -0.17550127851622122
540.0 -0.16608858794835288
560.0 -0.15537289512770344
580.0 -0.137525824642406
600.0 -0.12089607034760574
620.0 -0.11984322189177694
640.0 -0.11207174670978663
660.0 -0.10090768006698762
680.0 -0.08812070156038464
700.0 -0.08518268770805605
720.0 -0.07773496876961697
740.0 -0.09176789547689503
760.0 -0.11128418654655399
780.0 -0.12458435488493624
800.0 -0.1428943649777246
820.0 -0.16164619326041393
840.0 -0.1786847763072756
860.0 -0.1810359252340817
880.0 -0.18459332004114234
900.0 -0.19018985757701964
920.0 -0.18452554200745622
940.0 -0.17630802760960199
960.0 -0.14744481346829094
980.0 -0.11996202245261339
1000.0 -0.11015949423677812
1020.0 -0.11056029045561311
1040.0 -0.11917935376493079
1060.0 -0.13070291251674976
1080.0 -0.14211876406631296
1100.0 -0.14408722095685453
1120.0 -0.15074748706384614
1140.0 -0.15839169856076857
1160.0 -0.16427477692646414
1180.0 -0.16635777878039368
1200.0 -0.1608816273330109
1220.0 -0.15525197394522705
1240.0 -0.1484277606280422
1260.0 -0.14481218989313852
1280.0 -0.13829700425989108
1300.0 -0.13044119461600753
1320.0 -0.12208089518287212
1340.0 -0.13050479201924203
1360.0 -0.13836293571551975
1380.0 -0.14128224703538275
1400.0 -0.13887393899602107
1420.0 -0.13996521752587562
1440.0 -0.12528654015559984
1460.0 -0.11281127118306582
1480.0 -0.1025574740074226
1500.0 -0.09669593591941532
1520.0 -0.10329940175191062
1540.0 -0.11946030665946938
1560.0 -0.15879001935809678
1580.0 -0.18770591465703565
1600.0 -0.18531732170898563
1620.0 -0.17579261056376802
1640.0 -0.16843882872986074
1660.0 -0.15402383321103283
1680.0 -0.12949810039949017
1700.0 -0.10965109132543249
1720.0 -0.0951913830819443
1740.0 -0.09763362266621374
1760.0 -0.11373345035156608
1780.0 -0.1328271360626507
1800.0 -0.1460101331074875
1820.0 -0.1547755097621715
1840.0 -0.16871342802360512
1860.0 -0.17359899134769738
1880.0 -0.16485705363944028
1900.0 -0.15003494978683773
1920.0 -0.1441330240203509
1940.0 -0.12866333541268604
1960.0 -0.12350497522480179
1980.0 -0.12684780315487076
2000.0 -0.1300282746566316
2020.0 -0.1367115294256256
2040.0 -0.1499503483076395
2060.0 -0.15847571182687567
2080.0 -0.17368273411634394
2100.0 -0.17619138517617872
2120.0 -0.1717617727538214
2140.0 -0.15626054797842528
2160.0 -0.13827052066439904
2180.0 -0.12059274940774119
2200.0 -0.09384437756974147
2220.0 -0.07373326964088563
2240.0 -0.07239034070635592
2260.0 -0.0876370759213223
2280.0 -0.10665931146379615
2300.0 -0.11687630977126824
2320.0 -0.1315600891961545
2340.0 -0.13096183227019406
2360.0 -0.12223433708105473
2380.0 -0.12251733274477815
2400.0 -0.1330689457015099
2420.0 -0.15120422795957963
2440.0 -0.1547540951284462
2460.0 -0.1480662036522654
2480.0 -0.1349067857302233
2500.0 -0.13944726330743976
2520.0 -0.13880018819162385
2540.0 -0.14446296267358572
2560.0 -0.14423155758717102
2580.0 -0.14057519539201782
2600.0 -0.14469708302792697
2620.0 -0.14846764307187119
2640.0 -0.1512466553838988
2660.0 -0.15504510086003995
2680.0 -0.1666665758745615
2700.0 -0.18630057185281515
2720.0 -0.2032660760426024
2740.0 -0.19783997133516565
2760.0 -0.19237973932254773
2780.0 -0.18963113293987302
2800.0 -0.1802481317749284
2820.0 -0.16520193485938847
2840.0 -0.14688381493975003
2860.0 -0.13478328624877717
2880.0 -0.1305254133758487
2900.0 -0.13176573828106133
2920.0 -0.12737497808907086
2940.0 -0.11339048576995304
2960.0 -0.11525705889282672
