Time stressAv
300.0 -0.008775298139366812
320.0 0.027962498444268225
340.0 0.015075825343078518
360.0 -0.015213431412356032
380.0 -0.04174689201485995
400.0 -0.08079355190253353
420.0 -0.11275730814725876
440.0 -0.14360739319048893
460.0 -0.1660019555004632
480.0 -0.18270671288574636
500.0 -0.189422641817896
520.0 -0.18840060415790952
540.0 -0.18288700852266104
560.0 -0.16608310788391548
580.0 -0.1418931634087718
600.0 -0.12499785717854132
620.0 -0.11307086545985716
640.0 -0.12083442686156183
660.0 -0.1301451128666636
680.0 -0.13581159375856808
700.0 -0.1432490804731644
720.0 -0.1505892713415572
740.0 -0.1508329357649136
760.0 -0.14373978998557393
780.0 -0.14915519440656103
800.0 -0.16155697356359414
820.0 -0.16860535692546008
840.0 -0.17951216309040122
860.0 -0.17957944774776546
880.0 -0.16848656343058835
900.0 -0.15597157791166122
920.0 -0.13325120643925817
940.0 -0.12243595182403881
960.0 -0.11786555873800958
980.0 -0.10423816478173005
1000.0 -0.10091771549542296
1020.0 -0.10493656696837894
1040.0 -0.11193107112967031
1060.0 -0.12932227521255726
1080.0 -0.15421602047099633
1100.0 -0.16714944681325816
1120.0 -0.167796367478415
1140.0 -0.15280452111979645
1160.0 -0.1502597810022749
1180.0 -0.1450025431924112
1200.0 -0.145236893777792
1220.0 -0.1449195338372472
1240.0 -0.14372352435005867
1260.0 -0.14393142139401086
1280.0 -0.1470187213418862
1300.0 -0.14009598813751079
1320.0 -0.13103127897266575
1340.0 -0.1293418300283376
1360.0 -0.12492512488968943
1380.0 -0.10538614857645767
1400.0 -0.09658845660787331
1420.0 -0.09791691741686588
1440.0 -0.11907831440270751
1460.0 -0.13131194322701525
1480.0 -0.15303387948999744
1500.0 -0.16834990360324695
1520.0 -0.17600169889003878
1540.0 -0.17542298874812548
1560.0 -0.15515971798945352
1580.0 -0.14392601466993402
1600.0 -0.12999385715179126
1620.0 -0.1316749244586924
1640.0 -0.13295827980616162
1660.0 -0.14290477347332683
1680.0 -0.1506486912829544
1700.0 -0.16636118143020548
1720.0 -0.18601427898337017
1740.0 -0.20736466418775823
1760.0 -0.22955042383135793
1780.0 -0.24048818679088566
1800.0 -0.2415781181167352
1820.0 -0.2232132638801726
1840.0 -0.19712830469383782
1860.0 -0.16633574698964876
1880.0 -0.14487791136167597
1900.0 -0.12520881486119398
1920.0 -0.11780246993730688
1940.0 -0.1197896431196105
1960.0 -0.11774258159850155
1980.0 -0.12126170093596218
2000.0 -0.12445604252084329
2020.0 -0.13183835324597698
2040.0 -0.1422249103760701
2060.0 -0.15695906661577255
2080.0 -0.1625928140155534
2100.0 -0.17030213220585907
2120.0 -0.17584472725914282
2140.0 -0.18466327452284967
2160.0 -0.18083040499937342
2180.0 -0.17678409471624087
2200.0 -0.17213052280871133
2220.0 -0.15322484354098379
2240.0 -0.14905525397021105
2260.0 -0.1400625440396103
2280.0 -0.13783947094591478
2300.0 -0.14538927634735266
2320.0 -0.1645313433608754
2340.0 -0.1784341027938432
2360.0 -0.20265135664990006
2380.0 -0.22867983899874578
2400.0 -0.23758439010160218
2420.0 -0.22649360278562028
2440.0 -0.2186396164186372
2460.0 -0.18714707564260924
2480.0 -0.14035101124342145
2500.0 -0.10070501550031441
2520.0 -0.07973256050423067
2540.0 -0.07592179969101431
2560.0 -0.08406862526501285
2580.0 -0.08580907609587245
2600.0 -0.09775615890666095
2620.0 -0.10036759580842414
2640.0 -0.10236883557148806
2660.0 -0.11438871818981772
2680.0 -0.11680737844758111
2700.0 -0.11695418765899905
2720.0 -0.12600258888592225
2740.0 -0.1331235801096478
2760.0 -0.13719418092786698
2780.0 -0.15250616846663476
2800.0 -0.16634095437560512
2820.0 -0.16408207572858077
2840.0 -0.158213174114909
2860.0 -0.14795741433348317
2880.0 -0.13057635339574966
2900.0 -0.116438479095615
2920.0 -0.11303754710589088
2940.0 -0.12115316895495382
2960.0 -0.1276772729759739
2980.0 -0.1278287606691011
3000.0 -0.11706782662490538
3020.0 -0.10613618068014459
3040.0 -0.10734088140141113
3060.0 -0.11373474632828477
3080.0 -0.11783333851451723
3100.0 -0.12123053249818737
3120.0 -0.12628928105903847
3140.0 -0.12818107690494587
3160.0 -0.13177405369462888
3180.0 -0.13250136465031628
3200.0 -0.1378915989652578
3220.0 -0.15433841438923215
3240.0 -0.16818689286160662
3260.0 -0.16985128922321477
3280.0 -0.16224228166107021
3300.0 -0.1521724721028663
3320.0 -0.14618084812106372
3340.0 -0.15106646436760465
3360.0 -0.15241162191765723
3380.0 -0.15538491100868587
3400.0 -0.16323153376637936
3420.0 -0.17185866988975249
3440.0 -0.19166761718551165
3460.0 -0.20495881314258393
3480.0 -0.20211069294584713
3500.0 -0.19189409380778452
3520.0 -0.17602278976479732
3540.0 -0.15138943025098126
3560.0 -0.12679364420890607
3580.0 -0.0978685432512514
3600.0 -0.08100230169324334
3620.0 -0.0731102598025216
3640.0 -0.07445139800098373
3660.0 -0.08405887825358127
3680.0 -0.08584167946682991
3700.0 -0.08654711754066761
3720.0 -0.10269184181204911
3740.0 -0.1315776727250334
3760.0 -0.16006842088679651
3780.0 -0.17255773104728642
3800.0 -0.18005548124399218
3820.0 -0.17687639340052563
3840.0 -0.16423230183323811
3860.0 -0.14913099809074062
3880.0 -0.12430555620084667
3900.0 -0.09430605109490398
3920.0 -0.07167347593675522
3940.0 -0.05194422030978468
3960.0 -0.04754135274129121
3980.0 -0.055392535356092655
4000.0 -0.07317191010047654
4020.0 -0.09735919578117902
4040.0 -0.1258785177273359
4060.0 -0.15072039391037528
4080.0 -0.1703153822294309
4100.0 -0.1754665756209741
4120.0 -0.16763429071196623
4140.0 -0.14921979150363932
4160.0 -0.13998828290653287
4180.0 -0.13661164389143143
4200.0 -0.13696843250244478
4220.0 -0.12856214165357344
4240.0 -0.11227010645207203
4260.0 -0.08858779051366132
4280.0 -0.07682826077042572
4300.0 -0.07515161638172192
4320.0 -0.07946372646465245
4340.0 -0.0972022675044845
4360.0 -0.10802465101811887
4380.0 -0.11617944881022828
4400.0 -0.14085559923609703
4420.0 -0.1535810379297427
4440.0 -0.16245750747317814
4460.0 -0.16433162448815153
4480.0 -0.15714035902940557
4500.0 -0.15548701185663527
4500.0 -0.15548701185663527
4520.0 -0.15324243528387158
4540.0 -0.15235229894415428
4560.0 -0.14627497103410303
4580.0 -0.1269625243232414
4600.0 -0.11624961216532947
4620.0 -0.10993925979004422
4640.0 -0.11332098840204645
4660.0 -0.11088784002509071
4680.0 -0.10190902843917886
4700.0 -0.10438033052207947
4720.0 -0.10534631630432728
4740.0 -0.09985129854767623
4760.0 -0.09117924545611912
4780.0 -0.09000615864673416
4800.0 -0.08951899344871313
4820.0 -0.08792119629925066
4840.0 -0.09154422779246
4860.0 -0.10408493651486302
4880.0 -0.11567985126621444
4900.0 -0.13785745461713336
4920.0 -0.15333430433534412
4940.0 -0.16908512972467246
4960.0 -0.1780196713710713
4980.0 -0.17735681610839293
5000.0 -0.16649669648306553
5020.0 -0.16066390748247905
5040.0 -0.1465274481919638
5060.0 -0.1409260625772581
5080.0 -0.1319746610988751
5100.0 -0.12749370164518448
5120.0 -0.11146221068303226
5140.0 -0.10569298128262361
5160.0 -0.10147707564695833
5180.0 -0.10505729456649586
5200.0 -0.1271195842359188
5220.0 -0.14637650943887937
5240.0 -0.15879817174260605
5260.0 -0.16545058255773634
5280.0 -0.1604518393790405
5300.0 -0.15338676521198977
5320.0 -0.15042865474173148
5340.0 -0.1358617992398469
5360.0 -0.12118317747717818
5380.0 -0.10781947955418984
5400.0 -0.09821393491103203
5420.0 -0.09053863480811136
5440.0 -0.08312746993989725
5460.0 -0.09731197723232038
5480.0 -0.10529691375781362
5500.0 -0.10993529123575237
5500.0 -0.10993529123575219
5520.0 -0.10339188523820127
5540.0 -0.09655163513738547
5560.0 -0.09784414611022797
5580.0 -0.10251319805965431
5600.0 -0.10902749321782775
5620.0 -0.11419947769975469
5640.0 -0.10706247748307074
5660.0 -0.09921754920797062
5680.0 -0.09586279965794066
5700.0 -0.10078671977195541
5720.0 -0.10489943927846439
5740.0 -0.11042142692953756
5760.0 -0.1013147033180724
5780.0 -0.08045463819620798
5800.0 -0.06751061585860708
5820.0 -0.06037493882276723
5840.0 -0.060978505045696775
5860.0 -0.05932817430059611
5880.0 -0.0733632022406345
5900.0 -0.09512117964002954
5920.0 -0.10816248702287445
5940.0 -0.11836855184350377
5960.0 -0.12648015100293575
5980.0 -0.1333698771258979
6000.0 -0.13770099175417605
6020.0 -0.1459506111753542
6040.0 -0.16424609136605292
6060.0 -0.16809798845171986
6080.0 -0.16921839731676128
6100.0 -0.160694564866073
6120.0 -0.15317047288308716
6140.0 -0.1453072931840598
6160.0 -0.14215710892421915
6180.0 -0.13851584776060255
6200.0 -0.13402885045604043
6220.0 -0.1255316044856368
6240.0 -0.11656811490846342
6260.0 -0.10147810489222812
6280.0 -0.09675585786523572
6300.0 -0.09255146804908337
6320.0 -0.10503934253669955
