step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
9900320 23109.1303083492 19012.5434240955 1725.50835508922 3902.79531235444 0.999056431733034 0.136520861261941 -7130.75323649802 -7816.13563295227 -9795.97006031567 2641.30892050635 1930.31455567075 -51.3387607272088 -1.88989285626397 7 30.948889 60412.8890414095 0.0001158693138347 0.000253519698480572 0.007691918051606 0.000796451764964928 0 0 0.803550761136282 1.21983416694258 0.9572410883824 0.0652918065872161 1444
9900340 23034.6873101425 18945.5754144894 1748.29670546384 3883.23316095577 0.995537448542572 0.139869212929509 -7552.10596633699 -7924.44483173836 -9905.92224611374 2326.95811939414 1834.76649527467 -138.637597924105 -1.83788693741733 7 30.988889 60490.9698914735 0.000115719751436597 0.000253519698480572 0.00799261584284551 0.000766487696722097 0 0 0.833885965541969 1.17545889223557 0.958478277980234 0.065207528888087 1444
9900360 23029.748227157 18920.0872521802 1766.03745448876 3873.31483274491 0.994198116296482 0.143590633875934 -8143.09123997843 -7879.09757233406 -10069.2563554105 1813.14923723688 1845.17599465936 -267.781925326918 -1.79474709030648 7 31.028889 60569.0507415375 0.000115570574646624 0.000253519698480572 0.00830505488323907 0.000737652164169433 0 0 0.865366367825425 1.13269790663334 0.959715467578062 0.0651234684773029 1444
9900380 23092.2462695166 18995.8924821494 1778.15811063889 3869.02461807736 0.998181470909822 0.148175830310713 -8596.43144451623 -8284.6148758191 -10078.2709183105 1358.57800892715 1429.63256647435 -275.5603029288 -1.7401540400134 7 31.068889 60647.1315916015 0.000115421781975413 0.000253519698480572 0.00862969312508 0.000709902614075918 0 0 0.898035200864254 1.09149248533179 0.960952657175902 0.065039624515612 1444
9900400 23106.4241131743 19018.6769249836 1785.46092957593 3867.92308174333 0.999378730195402 0.149881436704831 -8543.60589047986 -8724.32325130831 -10036.8171131006 1350.17351941233 994.681238491216 -267.107912655213 -1.71785261729771 7 31.108889 60725.2124416655 0.000115273371941258 0.000253519698480572 0.00896700636408822 0.000683198099725018 0 0 0.931937329639784 1.05178603982483 0.962189846773729 0.0649559961680801 1444
9900420 23109.9404353444 19010.623950626 1800.24662977554 3865.20068843685 0.998955568725259 0.148558856309516 -8109.37654968094 -8943.14840788787 -10046.0781762454 1683.63260972833 754.835643042212 -276.004823802744 -1.74378786393185 7 31.148889 60803.2932917295 0.000115125343070063 0.000253519698480572 0.00931748893398045 0.000657499220184223 0 0 0.967119312851311 1.01352404018992 0.963427036371567 0.0648725826040611 1444
9900440 23136.141138622 19010.5799181149 1833.82431626935 3872.20869157951 0.99895325493891 0.144221454550773 -7448.31065995693 -8909.08783763169 -9983.80250374929 2225.65702893923 766.365138514003 -220.99769307297 -1.80936313084532 7 31.188889 60881.3741417935 0.000114977693895294 0.000253519698480572 0.00968165442805157 0.000632768061873507 0 0 1.00362946685645 0.97665394020058 0.964664225969398 0.0647893829971701 1444
9900460 23071.5185043537 18916.3578781641 1877.59455113368 3887.59398055755 0.994002148034162 0.134440889153764 -6453.53713708869 -8494.45758076898 -9638.33527644485 3093.15064229644 1143.80181084929 98.420758030238 -1.93167324834525 7 31.228889 60959.4549918575 0.000114830422957932 0.000253519698480572 0.0100600364488183 0.000608968142345738 0 0 1.04151793202523 0.941125105163351 0.965901415567233 0.0647063965252568 1444
9900480 23180.9989979185 18974.8700728226 1900.68692618984 3903.48545259245 0.997076801598623 0.126647246409123 -5590.41443297523 -8160.47034563134 -9439.82274732608 3825.24725113812 1457.52763460647 352.569833696799 -2.06325932167733 7 31.268889 61037.5358419215 0.000114683528806422 0.000253519698480572 0.0104531893868143 0.000586064356194949 0 0 1.08083674159923 0.90688874237975 0.967138605165065 0.0646236223703768 1444
9900500 23147.8019663128 18938.8479975811 1899.55400646249 3915.26679495178 0.995183941440379 0.121716704859304 -5233.00628142555 -7908.74605932976 -9174.62209682297 4168.94760322622 1701.07229546896 654.606369262055 -2.13772508659003 7 31.308889 61115.6166919855 0.000114537009996628 0.000253519698480572 0.0108616892296715 0.000564022923011994 0 0 1.12163989315026 0.873897834137969 0.968375794762897 0.0645410597187665 1444
9900520 23191.1728436243 19013.0018943102 1874.35580851478 3927.37956349614 0.999080523071396 0.122186554129168 -5192.29597691443 -8094.21539801981 -9144.62973632243 4216.05517372877 1516.49708100123 734.769296040018 -2.16289313048495 7 31.348889 61193.6975420495 0.000114390865091784 0.000253519698480572 0.0112861344026603 0.000542811337309893 0 0 1.16398342273658 0.842107073142213 0.96961298436073 0.0644587077608151 1444
9900540 23167.2209725848 19027.3998578851 1849.10023018557 3927.11992972565 0.999837096129115 0.123348968100842 -5224.77099823064 -8404.58718307592 -9044.07373380556 4223.86709186881 1199.00642674562 895.256933760224 -2.16895954322513 7 31.388889 61271.7783921135 0.000114245092662448 0.000253519698480572 0.0117271466419158 0.000522398320344226 0 0 1.20792548185878 0.811472800290967 0.970850173958566 0.0643765656910387 1444
