Time RateMons NumMons LargestComp 
0.0 0.0 158.0 4846.0
2000.0 -0.0015 158.0 4850.0
4000.0 -0.0005 155.0 4854.0
6000.0 0.0 154.0 4856.0
8000.0 0.0 154.0 4856.0
10000.0 0.0 154.0 4856.0
12000.0 0.0 154.0 4842.0
14000.0 0.0 154.0 4842.0
16000.0 0.0 154.0 4842.0
18000.0 0.0 154.0 4842.0
20000.0 -0.0005 154.0 4832.0
22000.0 -0.0005 153.0 4842.0
24000.0 -0.0005 152.0 4844.0
26000.0 -0.0005 151.0 4844.0
28000.0 0.0 150.0 4854.0
30000.0 0.0 150.0 4854.0
32000.0 0.0 150.0 4854.0
34000.0 0.0 150.0 4854.0
36000.0 0.0005 150.0 4854.0
38000.0 0.0 151.0 4852.0
40000.0 0.0 151.0 4852.0
42000.0 0.0 151.0 4852.0
44000.0 0.0 151.0 4852.0
46000.0 -0.0005 151.0 4852.0
48000.0 -0.0005 150.0 4854.0
50000.0 0.0 149.0 4866.0
52000.0 0.0 149.0 4860.0
54000.0 0.0 149.0 4860.0
56000.0 0.0 149.0 4860.0
58000.0 0.0 149.0 4860.0
60000.0 0.0 149.0 4860.0
62000.0 -0.0005 149.0 4864.0
64000.0 0.0 148.0 4898.0
66000.0 -0.0005 148.0 4898.0
68000.0 -0.001 147.0 4898.0
70000.0 0.0 145.0 4902.0
72000.0 0.0 145.0 4902.0
74000.0 0.0 145.0 4902.0
76000.0 0.0 145.0 4902.0
78000.0 0.0 145.0 4902.0
80000.0 0.0 145.0 4902.0
82000.0 0.0 145.0 4910.0
84000.0 -0.0005 145.0 4952.0
86000.0 -0.001 144.0 4954.0
88000.0 -0.0005 142.0 4968.0
90000.0 0.0 141.0 4978.0
92000.0 0.0 141.0 4970.0
94000.0 0.0 141.0 4970.0
96000.0 0.0 141.0 4970.0
98000.0 0.0 141.0 4950.0
100000.0 -0.0005 141.0 4950.0
102000.0 -0.0005 140.0 4952.0
104000.0 0.0 139.0 4952.0
106000.0 0.0 139.0 4952.0
108000.0 -0.0005 139.0 4952.0
