Time RateMons NumMons LargestComp 
0.0 -0.002 158.0 4846.0
2000.0 -0.0025 154.0 4860.0
4000.0 -0.0035 149.0 4924.0
6000.0 -0.001 142.0 4960.0
8000.0 -0.004 140.0 4966.0
10000.0 0.0 132.0 5032.0
12000.0 0.001 132.0 4986.0
14000.0 0.0015 134.0 4976.0
16000.0 0.002 137.0 4964.0
18000.0 0.0 141.0 4918.0
20000.0 -0.005 141.0 4892.0
22000.0 -0.003 131.0 4906.0
24000.0 -0.001 125.0 5040.0
26000.0 -0.001 123.0 5106.0
28000.0 -0.001 121.0 5206.0
30000.0 0.0015 119.0 5260.0
32000.0 0.0 122.0 5204.0
34000.0 0.0015 122.0 5166.0
36000.0 0.001 125.0 5164.0
38000.0 0.001 127.0 5118.0
40000.0 -0.003 129.0 4904.0
42000.0 -0.0005 123.0 4956.0
44000.0 -0.0035 122.0 4964.0
46000.0 -0.0025 115.0 4972.0
48000.0 -0.0015 110.0 5004.0
50000.0 0.0015 107.0 5010.0
52000.0 0.0 110.0 4972.0
54000.0 0.0005 110.0 4972.0
56000.0 0.002 111.0 4970.0
58000.0 0.0005 115.0 4940.0
60000.0 -0.003 116.0 4934.0
62000.0 -0.0015 110.0 4972.0
64000.0 -0.001 107.0 4984.0
66000.0 -0.0015 105.0 5110.0
68000.0 -0.002 102.0 5122.0
70000.0 0.0025 98.0 5126.0
72000.0 0.0015 103.0 5100.0
74000.0 0.0005 106.0 5098.0
76000.0 0.0025 107.0 5068.0
78000.0 0.001 112.0 5052.0
80000.0 -0.002 114.0 5032.0
82000.0 -0.004 110.0 5034.0
84000.0 -0.001 102.0 5082.0
86000.0 -0.0015 100.0 5094.0
88000.0 -0.001 97.0 5138.0
90000.0 0.001 95.0 5196.0
92000.0 0.0005 97.0 5192.0
94000.0 0.0005 98.0 5126.0
96000.0 0.001 99.0 5124.0
98000.0 0.001 101.0 5122.0
100000.0 -0.004 103.0 5110.0
102000.0 -0.001 95.0 5174.0
104000.0 -0.002 93.0 5236.0
106000.0 -0.0015 89.0 5258.0
108000.0 -0.0005 86.0 5496.0
110000.0 0.0005 85.0 5498.0
112000.0 0.0005 86.0 5492.0
114000.0 0.0005 87.0 5480.0
116000.0 0.0005 88.0 5458.0
118000.0 0.0005 89.0 5450.0
120000.0 -0.0015 90.0 5448.0
122000.0 -0.002 87.0 5490.0
124000.0 -0.001 83.0 5546.0
126000.0 -0.0015 81.0 5576.0
128000.0 -0.0005 78.0 5636.0
130000.0 0.0005 77.0 5658.0
132000.0 0.002 78.0 5640.0
134000.0 0.0015 82.0 5580.0
136000.0 0.001 85.0 5576.0
138000.0 0.0 87.0 5568.0
140000.0 -0.0015 87.0 5568.0
142000.0 -0.003 84.0 5578.0
144000.0 -0.0005 78.0 5606.0
146000.0 0.0 77.0 5614.0
148000.0 0.0 77.0 5614.0
150000.0 0.001 77.0 5614.0
152000.0 0.001 79.0 5584.0
154000.0 0.0 81.0 5582.0
156000.0 0.0005 81.0 5574.0
158000.0 0.0015 82.0 5562.0
160000.0 -0.0005 85.0 5524.0
162000.0 -0.0025 84.0 5542.0
164000.0 -0.0005 79.0 5582.0
166000.0 -0.0015 78.0 5590.0
168000.0 0.0 75.0 5594.0
170000.0 0.0 75.0 5610.0
172000.0 0.0005 75.0 5606.0
174000.0 0.0 76.0 5604.0
176000.0 0.002 76.0 5604.0
178000.0 0.0 80.0 5596.0
180000.0 -0.002 80.0 5596.0
182000.0 -0.001 76.0 5680.0
184000.0 -0.0005 74.0 5704.0
186000.0 -0.002 73.0 5706.0
188000.0 0.0 69.0 5720.0
190000.0 0.0005 69.0 5736.0
192000.0 0.0015 70.0 5734.0
194000.0 0.0 73.0 5728.0
196000.0 0.0005 73.0 5720.0
198000.0 0.0 74.0 5712.0
200000.0 -0.003 74.0 5712.0
202000.0 -0.0015 68.0 5780.0
204000.0 -0.001 65.0 5794.0
206000.0 0.0 63.0 5812.0
208000.0 -0.0005 63.0 5826.0
210000.0 0.0 62.0 5832.0
212000.0 0.001 62.0 5832.0
214000.0 0.0005 64.0 5794.0
216000.0 0.002 65.0 5792.0
218000.0 0.001 69.0 5776.0
220000.0 -0.0005 71.0 5766.0
222000.0 -0.0005 70.0 5770.0
224000.0 -0.002 69.0 5798.0
226000.0 -0.001 65.0 5816.0
228000.0 -0.001 63.0 5880.0
230000.0 0.0 61.0 5884.0
232000.0 0.0 61.0 5846.0
234000.0 0.001 61.0 5832.0
236000.0 0.0 63.0 5828.0
238000.0 0.0005 63.0 5820.0
240000.0 -0.0025 64.0 5744.0
242000.0 -0.0005 59.0 5754.0
