time Area Area_std NumInNet NumInNet_std
200 300 0 715.33333 1.2472191
400 300.03635 0.0036707701 715.33333 1.2472191
600 300.0834 0.013257737 715.33333 1.2472191
800 300.11622 0.014575273 715.33333 1.2472191
1000 300.14936 0.01625703 715.33333 1.2472191
1200 300.17393 0.022894624 715.33333 1.2472191
1400 300.21052 0.024356968 715.33333 1.2472191
1600 300.24125 0.044139343 715.33333 1.2472191
1800 300.28392 0.056834231 715.33333 1.2472191
2000 300.32022 0.073830315 715.33333 1.2472191
2200 300.35389 0.089938144 715.33333 1.2472191
2400 300.38138 0.09780204 715.33333 1.2472191
2600 300.42493 0.10998921 715.33333 1.2472191
2800 300.46944 0.10585825 715.33333 1.2472191
3000 300.49744 0.10113294 715.33333 1.2472191
3200 300.53953 0.1036212 715.33333 1.2472191
3400 300.57965 0.10858263 715.33333 1.2472191
3600 300.61577 0.10543121 715.33333 1.2472191
3800 300.6599 0.10467317 715.33333 1.2472191
4000 300.70412 0.11643921 715.33333 1.2472191
4200 300.72864 0.11635594 715.33333 1.2472191
4400 300.7493 0.11537662 715.33333 1.2472191
4600 300.77765 0.11513891 715.33333 1.2472191
4800 300.79826 0.11090114 715.33333 1.2472191
5000 300.81925 0.098546102 715.33333 1.2472191
5200 300.84105 0.096665663 715.33333 1.2472191
5400 300.88489 0.10157384 715.33333 1.2472191
5600 300.9346 0.097486523 715.33333 1.2472191
5800 300.98915 0.095582014 715.33333 1.2472191
6000 301.02621 0.097822173 715.33333 1.2472191
6200 301.05527 0.10283549 715.33333 1.2472191
6400 301.09779 0.11475485 715.33333 1.2472191
6600 301.13574 0.13657497 715.33333 1.2472191
6800 301.17001 0.14607912 715.33333 1.2472191
7000 301.2084 0.15323409 715.33333 1.2472191
7200 301.25915 0.17625377 715.33333 1.2472191
7400 301.29515 0.18306386 715.33333 1.2472191
7600 301.32821 0.16933277 715.33333 1.2472191
7800 301.3579 0.16949088 715.33333 1.2472191
8000 301.3899 0.17626602 715.33333 1.2472191
8200 301.42797 0.16899363 715.33333 1.2472191
8400 301.46186 0.16356486 715.33333 1.2472191
8600 301.50901 0.15984538 715.33333 1.2472191
8800 301.55361 0.16929611 715.33333 1.2472191
9000 301.60449 0.16843224 715.33333 1.2472191
9200 301.64158 0.16188136 715.33333 1.2472191
9400 301.69178 0.14971627 715.33333 1.2472191
9600 301.73789 0.13863581 715.33333 1.2472191
9800 301.7804 0.1392156 715.33333 1.2472191
10000 301.82428 0.15089603 715.33333 1.2472191
10200 301.86795 0.16016501 715.33333 1.2472191
10400 301.90697 0.17508122 715.33333 1.2472191
10600 301.9475 0.177701 715.33333 1.2472191
10800 301.99249 0.17695779 715.33333 1.2472191
11000 302.03272 0.17206971 715.33333 1.2472191
11200 302.07454 0.17399424 715.33333 1.2472191
11400 302.11797 0.1836705 715.33333 1.2472191
11600 302.15762 0.19537187 715.33333 1.2472191
11800 302.19787 0.20855159 715.33333 1.2472191
12000 302.23859 0.20958625 715.33333 1.2472191
12200 302.28162 0.20629155 715.33333 1.2472191
12400 302.31142 0.22123254 715.33333 1.2472191
12600 302.3467 0.2255591 715.33333 1.2472191
12800 302.38288 0.22996653 715.33333 1.2472191
13000 302.42099 0.22502191 715.33333 1.2472191
13200 302.44338 0.21993062 715.33333 1.2472191
13400 302.47521 0.21469969 715.33333 1.2472191
13600 302.5074 0.20626362 715.33333 1.2472191
13800 302.5385 0.20623256 715.33333 1.2472191
14000 302.58056 0.19497434 715.33333 1.2472191
14200 302.61911 0.19522403 715.33333 1.2472191
14400 302.65105 0.18215047 715.33333 1.2472191
14600 302.67687 0.17020651 715.33333 1.2472191
14800 302.69867 0.16861949 715.33333 1.2472191
15000 302.73688 0.17670538 715.33333 1.2472191
15200 302.77348 0.18693034 715.33333 1.2472191
15400 302.82231 0.19842612 715.33333 1.2472191
15600 302.85743 0.21377564 715.33333 1.2472191
15800 302.90346 0.22645619 715.33333 1.2472191
16000 302.95056 0.24807082 715.33333 1.2472191
16200 302.99743 0.25433053 715.33333 1.2472191
16400 303.03672 0.24335449 715.33333 1.2472191
16600 303.08379 0.25654137 715.33333 1.2472191
16800 303.11612 0.27083424 715.33333 1.2472191
17000 303.15282 0.28500952 715.33333 1.2472191
17200 303.20627 0.29483221 715.33333 1.2472191
17400 303.2406 0.31638193 715.33333 1.2472191
17600 303.27763 0.33416504 715.33333 1.2472191
17800 303.30842 0.34938151 715.33333 1.2472191
18000 303.3286 0.35253697 715.33333 1.2472191
18200 303.36733 0.34924206 715.33333 1.2472191
18400 303.41499 0.34331229 715.33333 1.2472191
18600 303.4488 0.33726735 715.33333 1.2472191
18800 303.48974 0.32746151 715.33333 1.2472191
19000 303.53572 0.33708703 715.33333 1.2472191
19200 303.56878 0.33986312 715.33333 1.2472191
19400 303.60613 0.33670598 715.33333 1.2472191
19600 303.64155 0.34068788 715.33333 1.2472191
