time Area Area_std NumInNet NumInNet_std
200 300 0 715.33333 1.2472191
400 300.04381 0.0085987782 715.33333 1.2472191
600 300.07859 0.013598573 715.33333 1.2472191
800 300.12599 0.015403045 715.33333 1.2472191
1000 300.16966 0.025418823 715.33333 1.2472191
1200 300.20632 0.027231413 715.33333 1.2472191
1400 300.22739 0.026311627 715.33333 1.2472191
1600 300.25318 0.022542482 715.33333 1.2472191
1800 300.28052 0.017157581 715.33333 1.2472191
2000 300.31342 0.034706917 715.33333 1.2472191
2200 300.3499 0.030609999 715.33333 1.2472191
2400 300.38687 0.031070861 715.33333 1.2472191
2600 300.41628 0.028424334 715.33333 1.2472191
2800 300.44368 0.015265418 715.33333 1.2472191
3000 300.46971 0.011760742 715.33333 1.2472191
3200 300.48811 0.010119234 715.33333 1.2472191
3400 300.51732 0.010702393 715.33333 1.2472191
3600 300.55269 0.020892694 715.33333 1.2472191
3800 300.58781 0.021483935 715.33333 1.2472191
4000 300.62849 0.02362807 715.33333 1.2472191
4200 300.66073 0.023054118 715.33333 1.2472191
4400 300.68178 0.031057682 715.33333 1.2472191
4600 300.71868 0.025925174 715.33333 1.2472191
4800 300.74456 0.026439036 715.33333 1.2472191
5000 300.76893 0.025242655 715.33333 1.2472191
5200 300.79507 0.030456506 715.33333 1.2472191
5400 300.82204 0.030744453 715.33333 1.2472191
5600 300.84696 0.032234889 715.33333 1.2472191
5800 300.8713 0.023985791 715.33333 1.2472191
6000 300.90843 0.040080152 715.33333 1.2472191
6200 300.93543 0.038511182 715.33333 1.2472191
6400 300.97255 0.037148146 715.33333 1.2472191
6600 301.00585 0.026667822 715.33333 1.2472191
6800 301.04687 0.025518044 715.33333 1.2472191
7000 301.08118 0.021028004 715.33333 1.2472191
7200 301.10621 0.024261339 715.33333 1.2472191
7400 301.12307 0.03979694 715.33333 1.2472191
7600 301.14763 0.053846844 715.33333 1.2472191
7800 301.17757 0.04758636 715.33333 1.2472191
8000 301.20195 0.056291128 715.33333 1.2472191
8200 301.22464 0.058666217 715.33333 1.2472191
8400 301.25947 0.058087076 715.33333 1.2472191
8600 301.28078 0.062035911 715.33333 1.2472191
8800 301.30673 0.066121488 715.33333 1.2472191
9000 301.34266 0.070484856 715.33333 1.2472191
9200 301.37465 0.088628091 715.33333 1.2472191
9400 301.41283 0.093300426 715.33333 1.2472191
9600 301.44658 0.10879484 715.33333 1.2472191
9800 301.46599 0.10463159 715.33333 1.2472191
10000 301.49268 0.10268081 715.33333 1.2472191
10200 301.52407 0.10203516 715.33333 1.2472191
10400 301.55628 0.10016922 715.33333 1.2472191
10600 301.59244 0.09267962 715.33333 1.2472191
10800 301.6267 0.10339244 715.33333 1.2472191
11000 301.65624 0.11253859 715.33333 1.2472191
11200 301.68726 0.11381041 715.33333 1.2472191
11400 301.72295 0.10869531 715.33333 1.2472191
11600 301.7466 0.1131383 715.33333 1.2472191
11800 301.76353 0.10784002 715.33333 1.2472191
12000 301.78929 0.10569638 715.33333 1.2472191
12200 301.81491 0.10331699 715.33333 1.2472191
12400 301.83403 0.11784065 715.33333 1.2472191
12600 301.85575 0.12754436 715.33333 1.2472191
12800 301.87831 0.12672235 715.33333 1.2472191
13000 301.90034 0.13039576 715.33333 1.2472191
13200 301.93071 0.13350645 715.33333 1.2472191
13400 301.95359 0.1247326 715.33333 1.2472191
13600 301.9892 0.12093264 715.33333 1.2472191
13800 302.02911 0.12483783 715.33333 1.2472191
14000 302.06806 0.12005143 715.33333 1.2472191
14200 302.11908 0.11831095 715.33333 1.2472191
14400 302.16168 0.10791773 715.33333 1.2472191
14600 302.18827 0.11031972 715.33333 1.2472191
14800 302.22008 0.10353363 715.33333 1.2472191
15000 302.24751 0.085425594 715.33333 1.2472191
15200 302.27161 0.074013478 715.33333 1.2472191
15400 302.29833 0.050360867 715.33333 1.2472191
15600 302.33869 0.030970507 715.33333 1.2472191
15800 302.37872 0.010500048 715.33333 1.2472191
16000 302.42874 0.011138418 715.33333 1.2472191
16200 302.4529 0.02411049 715.33333 1.2472191
16400 302.48101 0.029349507 715.33333 1.2472191
16600 302.51524 0.028751003 715.33333 1.2472191
16800 302.54212 0.035419247 715.33333 1.2472191
17000 302.57834 0.029056906 715.33333 1.2472191
17200 302.60913 0.015432116 715.33333 1.2472191
17400 302.64714 0.018585635 715.33333 1.2472191
17600 302.67455 0.028726085 715.33333 1.2472191
17800 302.69653 0.04473404 715.33333 1.2472191
18000 302.72492 0.059068973 715.33333 1.2472191
18200 302.76157 0.076223977 715.33333 1.2472191
18400 302.79458 0.080745796 715.33333 1.2472191
18600 302.8249 0.091264223 715.33333 1.2472191
18800 302.85652 0.090920578 715.33333 1.2472191
19000 302.89208 0.095025537 715.33333 1.2472191
19200 302.91365 0.089952902 715.33333 1.2472191
19400 302.93615 0.073266948 715.33333 1.2472191
19600 302.95916 0.064784245 715.33333 1.2472191
19800 302.97692 0.059373963 715.33333 1.2472191
20000 302.99315 0.067998018 715.33333 1.2472191
20200 303.01047 0.082380389 715.33333 1.2472191
20400 303.03505 0.088789373 715.33333 1.2472191
