time Area Area_std NumInNet
200 300 0 715.33333
400 300.04892 0.014931127 715.33333
600 300.10378 0.015418957 715.33333
800 300.13878 0.02036941 715.33333
1000 300.18657 0.014957931 715.33333
1200 300.22824 0.0022676016 715.33333
1400 300.28485 0.012608149 715.33333
1600 300.33282 0.023854174 715.33333
1800 300.37405 0.029954574 715.33333
2000 300.41786 0.026129561 715.33333
2200 300.47356 0.019042998 715.33333
2400 300.51487 0.017177889 715.33333
2600 300.54187 0.01059851 715.33333
2800 300.57817 0.0081132929 715.33333
3000 300.60995 0.019605082 715.33333
3200 300.65179 0.027906725 715.33333
3400 300.70075 0.028787938 715.33333
3600 300.75946 0.02064029 715.33333
3800 300.81373 0.025320325 715.33333
4000 300.86194 0.032675904 715.33333
4200 300.90379 0.027264881 715.33333
4400 300.95027 0.034055042 715.33333
4600 300.99036 0.051489979 715.33333
4800 301.03844 0.062954629 715.33333
5000 301.08088 0.082901195 715.33333
5200 301.12363 0.083839809 715.33333
5400 301.16944 0.087151998 715.33333
5600 301.22301 0.10191244 715.33333
5800 301.2547 0.10722118 715.33333
6000 301.2978 0.10801931 715.33333
6200 301.34947 0.10875615 715.33333
6400 301.40283 0.1006494 715.33333
6600 301.45396 0.095600722 715.33333
6800 301.50414 0.09078626 715.33333
7000 301.55238 0.10194239 715.33333
7200 301.5953 0.1025658 715.33333
7400 301.65016 0.097796533 715.33333
7600 301.6885 0.11532848 715.33333
7800 301.73977 0.13604434 715.33333
8000 301.78123 0.14792648 715.33333
8200 301.83029 0.16049672 715.33333
8400 301.87475 0.15888415 715.33333
8600 301.9275 0.16259001 715.33333
8800 301.97823 0.16540249 715.33333
9000 302.02286 0.18018033 715.33333
9200 302.06704 0.19447404 715.33333
9400 302.11399 0.19431405 715.33333
9600 302.16661 0.1817663 715.33333
9800 302.21884 0.18650408 715.33333
10000 302.26066 0.18381252 715.33333
10200 302.30688 0.17326347 715.33333
10400 302.33869 0.16155658 715.33333
10600 302.37903 0.14025753 715.33333
10800 302.4219 0.12978118 715.33333
11000 302.46614 0.13296125 715.33333
11200 302.48855 0.13768245 715.33333
11400 302.51514 0.13365835 715.33333
11600 302.54897 0.12279033 715.33333
11800 302.58543 0.12480236 715.33333
12000 302.61908 0.12731132 715.33333
12200 302.66101 0.12541001 715.33333
12400 302.72157 0.11671524 715.33333
12600 302.76419 0.11613921 715.33333
12800 302.79685 0.12862247 715.33333
13000 302.82084 0.13038927 715.33333
13200 302.8698 0.11857548 715.33333
13400 302.91316 0.10149402 715.33333
13600 302.97051 0.1006569 715.33333
13800 303.0236 0.09710025 715.33333
14000 303.05325 0.096982888 715.33333
14200 303.0987 0.084882415 715.33333
14400 303.13708 0.076918002 715.33333
14600 303.18122 0.070923011 715.33333
14800 303.2198 0.068950702 715.33333
15000 303.26567 0.062379373 715.33333
15200 303.31606 0.070590993 715.33333
15400 303.35007 0.070510125 715.33333
15600 303.38485 0.068752579 715.33333
15800 303.42988 0.067261224 715.33333
16000 303.47442 0.064544456 715.33333
16200 303.50609 0.06553105 715.33333
16400 303.54888 0.063596703 715.33333
16600 303.59201 0.062393327 715.33333
16800 303.63614 0.05316279 715.33333
17000 303.67939 0.06482317 715.33333
17200 303.742 0.066837467 715.33333
17400 303.79604 0.059969623 715.33333
17600 303.83882 0.067900801 715.33333
17800 303.87844 0.066424754 715.33333
18000 303.9248 0.060977091 715.33333
18200 303.97823 0.056586386 715.33333
18400 304.01256 0.058443955 715.33333
18600 304.06136 0.055742339 715.33333
18800 304.11153 0.060937042 715.33333
19000 304.16786 0.063917255 715.33333
19200 304.21845 0.055095122 715.33333
19400 304.26881 0.049298058 715.33333
19600 304.31248 0.05789548 715.33333
19800 304.34949 0.069870181 715.33333
20000 304.39565 0.070508213 715.33333
20200 304.42914 0.067938323 715.33333
20400 304.47761 0.074422452 715.33333
20600 304.53238 0.064011137 715.33333
20800 304.57042 0.061661872 715.33333
21000 304.61499 0.067400053 715.33333
21200 304.66545 0.083876031 715.33333
21400 304.72324 0.08239647 715.33333
21600 304.76691 0.096478706 715.33333
21800 304.82516 0.10508971 715.33333
22000 304.86448 0.1147644 715.33333
22200 304.90427 0.1083346 715.33333
22400 304.93329 0.12355465 715.33333
22600 304.98202 0.12992499 715.33333
22800 305.01934 0.1302812 715.33333
23000 305.05642 0.13309034 715.33333
23200 305.09495 0.1221229 715.33333
23400 305.13702 0.11863529 715.33333
23600 305.17577 0.10132217 715.33333
23800 305.20032 0.095820582 715.33333
24000 305.23269 0.10090862 715.33333
24200 305.26444 0.10412816 715.33333
24400 305.29099 0.098330937 715.33333
24600 305.32584 0.097014025 715.33333
24800 305.36661 0.10374247 715.33333
25000 305.40866 0.10747826 715.33333
25200 305.4513 0.11036906 715.33333
25400 305.49792 0.1022241 715.33333
25600 305.55014 0.095254343 715.33333
25800 305.59243 0.08277979 715.33333
26000 305.64348 0.08042463 715.33333
26200 305.68458 0.07146194 715.33333
26400 305.72138 0.0614754 715.33333
26600 305.74944 0.072996907 715.33333
26800 305.78568 0.070328646 715.33333
27000 305.81507 0.064966593 715.33333
27200 305.85893 0.072641521 715.33333
27400 305.9084 0.084201867 715.33333
27600 305.93785 0.079893001 715.33333
27800 305.9782 0.078225718 715.33333
28000 306.02888 0.088234822 715.33333
28200 306.07523 0.099347607 715.33333
28400 306.11869 0.10710188 715.33333
28600 306.15894 0.11885287 715.33333
28800 306.21414 0.12319814 715.33333
29000 306.26234 0.12409768 715.33333
29200 306.31157 0.13044854 715.33333
29400 306.34226 0.14076042 715.33333
29600 306.37059 0.13318477 715.33333
29800 306.41691 0.1466266 715.33333
30000 306.4525 0.15762873 715.33333
30200 306.50076 0.166366 715.33333
30400 306.54324 0.17841787 715.33333
30600 306.5836 0.19267462 715.33333
30800 306.62896 0.20063933 715.33333
31000 306.66873 0.20770042 715.33333
31200 306.70819 0.21404884 715.33333
31400 306.75235 0.21800202 715.33333
31600 306.78968 0.22343687 715.33333
31800 306.82623 0.22508459 715.33333
32000 306.87248 0.22987657 715.33333
32200 306.92367 0.22670604 715.33333
32400 306.97181 0.22869251 715.33333
32600 307.02073 0.21930013 715.33333
32800 307.05834 0.21297425 715.33333
33000 307.08989 0.21322979 715.33333
33200 307.13938 0.20848459 715.33333
33400 307.18022 0.21035969 715.33333
33600 307.2104 0.20769935 715.33333
33800 307.25521 0.21371277 715.33333
34000 307.30338 0.22884404 715.33333
34200 307.3402 0.24044961 715.33333
34400 307.3707 0.2407004 715.33333
34600 307.40195 0.24080911 715.33333
34800 307.44365 0.23370742 715.33333
35000 307.48125 0.22528701 715.33333
35200 307.52641 0.21569142 715.33333
35400 307.56805 0.20064196 715.33333
35600 307.61219 0.1966517 715.33333
35800 307.64661 0.19149892 715.33333
36000 307.68389 0.19588729 715.33333
36200 307.73873 0.20132539 715.33333
36400 307.77655 0.20407642 715.33333
36600 307.82023 0.19554687 715.33333
36800 307.86872 0.19318917 715.33333
37000 307.91057 0.18947949 715.33333
37200 307.95038 0.19281192 715.33333
37400 308.0041 0.19408517 715.33333
37600 308.05516 0.20116368 715.33333
37800 308.10624 0.21892589 715.33333
38000 308.15594 0.22978927 715.33333
38200 308.20799 0.24197925 715.33333
38400 308.24149 0.24994163 715.33333
38600 308.27515 0.26131321 715.33333
38800 308.31466 0.2719606 715.33333
39000 308.34613 0.27599075 715.33333
39200 308.39815 0.2937773 715.33333
39400 308.4519 0.30279763 715.33333
39600 308.50215 0.30959018 715.33333
39800 308.55088 0.31351514 715.33333
40000 308.6044 0.32851624 715.33333
40200 308.65831 0.32907751 715.33333
40400 308.69677 0.32609938 715.33333
40600 308.74356 0.33093234 715.33333
40800 308.77332 0.33936761 715.33333
41000 308.80864 0.34253823 715.33333
41200 308.84904 0.31756548 715.33333
41400 308.90122 0.31588087 715.33333
41600 308.95623 0.32263601 715.33333
41800 309.00171 0.32209561 715.33333
42000 309.03983 0.32101603 715.33333
42200 309.08616 0.33686315 715.33333
42400 309.12354 0.33430631 715.33333
42600 309.16444 0.33321369 715.33333
42800 309.22423 0.34423787 715.33333
43000 309.26102 0.35356039 715.33333
43200 309.3181 0.35805244 715.33333
43400 309.37151 0.35468321 715.33333
43600 309.41021 0.35553994 715.33333
43800 309.45486 0.3627102 715.33333
44000 309.50141 0.35743409 715.33333
44200 309.55166 0.34410928 715.33333
