time Area Area_std
200 300 0
400 300.03635 0.0036707701
600 300.0834 0.013257737
800 300.11622 0.014575273
1000 300.14936 0.01625703
1200 300.17393 0.022894624
1400 300.21052 0.024356968
1600 300.24125 0.044139343
1800 300.28392 0.056834231
2000 300.32022 0.073830315
2200 300.35389 0.089938144
2400 300.38138 0.09780204
2600 300.42493 0.10998921
2800 300.46944 0.10585825
3000 300.49744 0.10113294
3200 300.53953 0.1036212
3400 300.57965 0.10858263
3600 300.61577 0.10543121
3800 300.6599 0.10467317
4000 300.70412 0.11643921
4200 300.72864 0.11635594
4400 300.7493 0.11537662
4600 300.77765 0.11513891
4800 300.79826 0.11090114
5000 300.81925 0.098546102
5200 300.84105 0.096665663
5400 300.88489 0.10157384
5600 300.9346 0.097486523
5800 300.98915 0.095582014
6000 301.02621 0.097822173
6200 301.05527 0.10283549
6400 301.09779 0.11475485
6600 301.13574 0.13657497
6800 301.17001 0.14607912
7000 301.2084 0.15323409
7200 301.25915 0.17625377
7400 301.29515 0.18306386
7600 301.32821 0.16933277
7800 301.3579 0.16949088
8000 301.3899 0.17626602
8200 301.42797 0.16899363
8400 301.46186 0.16356486
8600 301.50901 0.15984538
8800 301.55361 0.16929611
9000 301.60449 0.16843224
9200 301.64158 0.16188136
9400 301.69178 0.14971627
9600 301.73789 0.13863581
9800 301.7804 0.1392156
10000 301.82428 0.15089603
10200 301.86795 0.16016501
10400 301.90697 0.17508122
10600 301.9475 0.177701
10800 301.99249 0.17695779
11000 302.03272 0.17206971
11200 302.07454 0.17399424
11400 302.11797 0.1836705
11600 302.15762 0.19537187
11800 302.19787 0.20855159
12000 302.23859 0.20958625
12200 302.28162 0.20629155
12400 302.31142 0.22123254
12600 302.3467 0.2255591
12800 302.38288 0.22996653
13000 302.42099 0.22502191
13200 302.44338 0.21993062
13400 302.47521 0.21469969
13600 302.5074 0.20626362
13800 302.5385 0.20623256
14000 302.58056 0.19497434
14200 302.61911 0.19522403
14400 302.65105 0.18215047
14600 302.67687 0.17020651
14800 302.69867 0.16861949
15000 302.73688 0.17670538
15200 302.77348 0.18693034
15400 302.82231 0.19842612
15600 302.85743 0.21377564
15800 302.90346 0.22645619
16000 302.95056 0.24807082
16200 302.99743 0.25433053
16400 303.03672 0.24335449
16600 303.08379 0.25654137
16800 303.11612 0.27083424
17000 303.15282 0.28500952
17200 303.20627 0.29483221
17400 303.2406 0.31638193
17600 303.27763 0.33416504
17800 303.30842 0.34938151
18000 303.3286 0.35253697
18200 303.36733 0.34924206
18400 303.41499 0.34331229
18600 303.4488 0.33726735
18800 303.48974 0.32746151
19000 303.53572 0.33708703
19200 303.56878 0.33986312
19400 303.60613 0.33670598
19600 303.64155 0.34068788
19800 303.69498 0.3411291
20000 303.7384 0.34015957
20200 303.79594 0.3540763
20400 303.84056 0.34824519
20600 303.87795 0.34270722
20800 303.90826 0.3456271
21000 303.94064 0.34630932
21200 303.98225 0.34382413
21400 304.02198 0.34642533
21600 304.06801 0.34157251
21800 304.09382 0.33370158
22000 304.13544 0.33521229
22200 304.17515 0.33907082
22400 304.21953 0.34229798
22600 304.26241 0.33658662
22800 304.2954 0.32573003
23000 304.34198 0.30830165
23200 304.39834 0.30364529
23400 304.43706 0.30296851
23600 304.48205 0.2977958
23800 304.52805 0.30248688
24000 304.57196 0.31688732
24200 304.61213 0.33843026
24400 304.64813 0.34394557
24600 304.68991 0.34377169
24800 304.72286 0.35505987
25000 304.75571 0.35188447
25200 304.79472 0.35425775
25400 304.83571 0.34616914
25600 304.86895 0.33737803
25800 304.90693 0.33877565
26000 304.94265 0.3442866
26200 304.97482 0.36773503
26400 305.01562 0.36883728
26600 305.05449 0.36275556
26800 305.08961 0.34926944
27000 305.11624 0.34739885
27200 305.13235 0.3562552
27400 305.17139 0.36031425
27600 305.20335 0.3548236
27800 305.23991 0.36280662
28000 305.27289 0.38091117
28200 305.30502 0.38420675
28400 305.35165 0.38676147
28600 305.38951 0.39639766
28800 305.42664 0.39382402
29000 305.47378 0.40018518
29200 305.50587 0.3965959
29400 305.5422 0.39079642
29600 305.58172 0.39082021
29800 305.60808 0.37281403
30000 305.6536 0.37825847
30200 305.69697 0.3790617
30400 305.74053 0.38251419
30600 305.78691 0.37764358
30800 305.83475 0.37784623
31000 305.8758 0.38029562
31200 305.92852 0.3961044
31400 305.98189 0.41615434
31600 306.02815 0.43105272
31800 306.08536 0.4375108
32000 306.13809 0.44036251
32200 306.1833 0.44616849
32400 306.22452 0.45537929
32600 306.26891 0.47462051
32800 306.3217 0.45277244
33000 306.36994 0.44096105
33200 306.40714 0.4358655
33400 306.4389 0.44486586
33600 306.4808 0.44717582
33800 306.50751 0.44809469
34000 306.54621 0.44997064
34200 306.58217 0.45841263
34400 306.61985 0.46718905
34600 306.64429 0.45723246
34800 306.67875 0.46729544
35000 306.72116 0.46132002
35200 306.76149 0.45026353
35400 306.79145 0.45889819
35600 306.81862 0.46960885
35800 306.86211 0.47295761
36000 306.89226 0.45774893
36200 306.9313 0.45115773
36400 306.9691 0.45337285
36600 307.00188 0.44554721
36800 307.02805 0.43885763
37000 307.06339 0.4227477
37200 307.09638 0.4279437
37400 307.14395 0.43132988
37600 307.18837 0.43847764
37800 307.21975 0.43441919
38000 307.26137 0.43111382
38200 307.31096 0.43780923
38400 307.35232 0.42848882
38600 307.38033 0.41622605
38800 307.41182 0.41581407
39000 307.45856 0.41227367
39200 307.50223 0.40723131
39400 307.55975 0.41494951
39600 307.60625 0.42191129
39800 307.64761 0.43181271
40000 307.68882 0.45569266
40200 307.73022 0.45648398
40400 307.7806 0.4680799
40600 307.82212 0.47506516
40800 307.87154 0.46295294
41000 307.91589 0.46270659
41200 307.94441 0.45845557
41400 307.99 0.45316751
41600 308.02942 0.44904627
41800 308.0597 0.44087628
42000 308.10268 0.43110651
42200 308.1428 0.41694342
42400 308.19192 0.41618478
42600 308.23742 0.41353795
42800 308.28422 0.41787724
43000 308.3255 0.41050791
43200 308.3648 0.41321448
43400 308.41249 0.43744436
43600 308.4617 0.44956766
43800 308.50746 0.45435387
44000 308.55484 0.45130084
44200 308.59794 0.45733496
44400 308.63853 0.46369983
44600 308.67647 0.46873881
44800 308.71698 0.47355134
45000 308.76076 0.47210388
45200 308.81061 0.47795083
45400 308.85069 0.47046506
45600 308.8838 0.47367165
45800 308.91766 0.47504464
46000 308.9691 0.48431024
46200 309.01198 0.48556472
46400 309.03677 0.50319185
46600 309.07688 0.50330372
46800 309.1106 0.49876575
47000 309.14066 0.47928087
47200 309.17775 0.4672963
47400 309.19309 0.4649595
47600 309.22748 0.44773798
47800 309.2496 0.43099662
48000 309.2782 0.42373213
48200 309.31758 0.41488556
48400 309.3463 0.40822854
48600 309.38645 0.39992894
48800 309.40905 0.38542402
49000 309.42432 0.37671298
49200 309.46486 0.37598125
49400 309.50994 0.37124565
49600 309.54163 0.35622336
49800 309.57229 0.33412834
50000 309.60746 0.32920363
50200 309.63039 0.33465713
50400 309.65155 0.32379415
50600 309.67221 0.31261684
50800 309.70205 0.3132147
51000 309.7412 0.31746788
51200 309.77279 0.31928198
51400 309.81419 0.31119075
51600 309.86839 0.30623669
51800 309.90693 0.29938093
52000 309.94358 0.2965175
52200 309.9765 0.28721068
52400 310.0036 0.28075892
52600 310.02702 0.2891535
52800 310.05273 0.29577366
53000 310.07801 0.29320265
53200 310.09767 0.3000271
53400 310.11853 0.3036507
53600 310.14309 0.29303484
53800 310.17931 0.29412135
54000 310.214 0.2945405
54200 310.25671 0.29686605
54400 310.30038 0.29383566
54600 310.33194 0.2931267
54800 310.35914 0.28807117
