time Area Area_std
200 300 0
400 300.04892 0.014931127
600 300.10378 0.015418957
800 300.13878 0.02036941
1000 300.18657 0.014957931
1200 300.22824 0.0022676016
1400 300.28485 0.012608149
1600 300.33282 0.023854174
1800 300.37405 0.029954574
2000 300.41786 0.026129561
2200 300.47356 0.019042998
2400 300.51487 0.017177889
2600 300.54187 0.01059851
2800 300.57817 0.0081132929
3000 300.60995 0.019605082
3200 300.65179 0.027906725
3400 300.70075 0.028787938
3600 300.75946 0.02064029
3800 300.81373 0.025320325
4000 300.86194 0.032675904
4200 300.90379 0.027264881
4400 300.95027 0.034055042
4600 300.99036 0.051489979
4800 301.03844 0.062954629
5000 301.08088 0.082901195
5200 301.12363 0.083839809
5400 301.16944 0.087151998
5600 301.22301 0.10191244
5800 301.2547 0.10722118
6000 301.2978 0.10801931
6200 301.34947 0.10875615
6400 301.40283 0.1006494
6600 301.45396 0.095600722
6800 301.50414 0.09078626
7000 301.55238 0.10194239
7200 301.5953 0.1025658
7400 301.65016 0.097796533
7600 301.6885 0.11532848
7800 301.73977 0.13604434
8000 301.78123 0.14792648
8200 301.83029 0.16049672
8400 301.87475 0.15888415
8600 301.9275 0.16259001
8800 301.97823 0.16540249
9000 302.02286 0.18018033
9200 302.06704 0.19447404
9400 302.11399 0.19431405
9600 302.16661 0.1817663
9800 302.21884 0.18650408
10000 302.26066 0.18381252
10200 302.30688 0.17326347
10400 302.33869 0.16155658
10600 302.37903 0.14025753
10800 302.4219 0.12978118
11000 302.46614 0.13296125
11200 302.48855 0.13768245
11400 302.51514 0.13365835
11600 302.54897 0.12279033
11800 302.58543 0.12480236
12000 302.61908 0.12731132
12200 302.66101 0.12541001
12400 302.72157 0.11671524
12600 302.76419 0.11613921
12800 302.79685 0.12862247
13000 302.82084 0.13038927
13200 302.8698 0.11857548
13400 302.91316 0.10149402
13600 302.97051 0.1006569
13800 303.0236 0.09710025
14000 303.05325 0.096982888
14200 303.0987 0.084882415
14400 303.13708 0.076918002
14600 303.18122 0.070923011
14800 303.2198 0.068950702
15000 303.26567 0.062379373
15200 303.31606 0.070590993
15400 303.35007 0.070510125
15600 303.38485 0.068752579
15800 303.42988 0.067261224
16000 303.47442 0.064544456
16200 303.50609 0.06553105
16400 303.54888 0.063596703
16600 303.59201 0.062393327
16800 303.63614 0.05316279
17000 303.67939 0.06482317
17200 303.742 0.066837467
17400 303.79604 0.059969623
17600 303.83882 0.067900801
17800 303.87844 0.066424754
18000 303.9248 0.060977091
18200 303.97823 0.056586386
18400 304.01256 0.058443955
18600 304.06136 0.055742339
18800 304.11153 0.060937042
19000 304.16786 0.063917255
19200 304.21845 0.055095122
19400 304.26881 0.049298058
19600 304.31248 0.05789548
19800 304.34949 0.069870181
