Time AvStress StdStress Strain
-2959920 -0.0077636635 0.052768785 0
-2959860 -0.087055107 0.083754454 0
-2959800 -0.059826293 0.068224428 0
-2959740 0.040599216 0.10254039 0
-2959680 0.071111268 0.14916735 0
-2959620 0.080853668 0.12371511 0
-2959560 0.082137937 0.066636846 0
-2959500 -0.010996003 0.055667199 0
-2959440 -0.074726989 0.035168259 0
-2959380 0.055054546 0.010279512 0
-2959320 0.11317756 0.013388297 0
-2959260 0.083099057 0.068591659 0
-2959200 0.042854236 0.15952741 0
-2959140 -0.087371933 0.11127038 0
-2959080 -0.043708831 0.032467208 0
-2959020 0.16473847 0.075864322 0
-2958960 0.12863879 0.099319869 0
-2958900 -0.028080864 0.045506391 0
-2958840 -0.068709436 0.057946301 0
-2958780 0.016929432 0.033243727 0
-2958720 0.085272794 0.02677105 0
-2958660 0.00043424522 0.071006575 0
-2958600 -0.033854846 0.045036946 0
-2958540 -0.0010560348 0.083336652 0
-2958480 -0.0063420595 0.056443087 0
-2958420 0.030385143 0.055767848 0
-2958360 0.021073809 0.032257605 0
-2958300 -0.019437791 0.066867609 0
-2958240 0.054943351 0.0094881437 0
-2958180 0.075898336 0.025055938 0
-2958120 0.047746831 0.0080314869 0
-2958060 0.035934583 0.063842281 0
-2958000 0.036935617 0.071896658 0
-2957940 0.033786798 0.016786713 0
-2957880 0.0081573377 0.10627603 0
-2957820 0.073529729 0.1124523 0
-2957760 0.13291743 0.071135969 0
-2957700 0.10206024 0.045215927 0
-2957640 0.036831866 0.064408569 0
-2957580 0.016895783 0.073091714 0
-2957520 0.01907846 0.039252355 0
-2957460 0.053432689 0.0051991094 0
-2957400 0.088322911 0.069115842 0
-2957340 0.079741363 0.01381625 0
-2957280 -0.0045889223 0.10056346 0
-2957220 -0.02732334 0.067261043 0
-2957160 -0.032002613 0.0027426938 0
-2957100 -0.012872884 0.097573977 0
-2957040 0.068247167 0.12734952 0
-2956980 0.064067768 0.025347148 0
-2956920 0.03294784 0.0068923461 0
-2956860 0.0027633086 0.1094513 0
-2956800 0.0045411399 0.12854976 0
-2956740 0.040253536 0.078601673 0
-2956680 0.030028052 0.074123015 0
-2956620 -0.028188998 0.02016009 0
-2956560 -0.014871927 0.024465067 0
-2956500 -0.005834403 0.094974909 0
-2956440 -0.0060645147 0.10595437 0
-2956380 0.018423303 0.031074746 0
-2956320 -0.0046425421 0.050315154 0
-2956260 -0.082075779 0.044839503 0
-2956200 -0.14040228 0.029253816 0
-2956140 -0.10397347 0.070660585 0
-2956080 0.0021341213 0.097505697 0
-2956020 0.017605761 0.015387261 0
-2955960 0.053754305 0.085102596 0
