Time AvStress StdStress Strain
-2959920 -0.069839242 0.01037093 0
-2959860 -0.06123386 0.011148067 0.0092942242
-2959800 -0.075944779 0.036681921 0.018587585
-2959740 -0.013255186 0.06933196 0.027880082
-2959680 0.11505327 0.050010788 0.037171716
-2959620 0.061359353 0.01300198 0.046462487
-2959560 0.015197084 0.11230291 0.055752395
-2959500 0.028330148 0.093609956 0.065041441
-2959440 0.0082925376 0.049838796 0.074329625
-2959380 -0.04988616 0.086672876 0.083616946
-2959320 -0.053495219 0.078015631 0.092903406
-2959260 -0.021455139 0.039996523 0.102189
-2959200 -0.0012268931 0.057327108 0.11147374
-2959140 0.0077050683 0.088226956 0.12075762
-2959080 0.027210822 0.13434532 0.13004063
-2959020 0.061363356 0.099151592 0.13932279
-2958960 -0.010150524 0.072738231 0.14860408
-2958900 -0.036305462 0.12839251 0.15788452
-2958840 -0.011014361 0.15809585 0.16716409
-2958780 0.023861494 0.057118133 0.17644281
-2958720 -0.025656403 0.066960893 0.18572066
-2958660 -0.097072876 0.089775457 0.19499766
-2958600 -0.088169648 0.10904759 0.2042738
-2958540 -0.11969175 0.18222819 0.21354907
-2958480 -0.060844362 0.017644671 0.2228235
-2958420 0.00554804 0.076896908 0.23209706
-2958360 -0.0057639268 0.10825814 0.24136976
-2958300 0.013586174 0.098441652 0.25064161
-2958240 0.00024343345 0.06550482 0.2599126
-2958180 -0.033193092 0.058708738 0.26918273
-2958120 -0.064527833 0.066420716 0.27845201
-2958060 -0.02567344 0.022964215 0.28772042
-2958000 -0.011557602 0.089755816 0.29698799
-2957940 0.026968569 0.096183198 0.30625469
-2957880 0.060695063 0.041111871 0.31552054
-2957820 0.0091681047 0.13971332 0.32478554
-2957760 -0.016248899 0.13916946 0.33404967
-2957700 0.037792183 0.066484048 0.34331296
-2957640 0.04904486 0.038375035 0.35257539
-2957580 0.040063578 0.040389017 0.36183696
-2957520 0.078562346 0.027732034 0.37109768
-2957460 0.0068166844 0.078911282 0.38035754
-2957400 -0.078538104 0.070604763 0.38961655
-2957340 -0.070729535 0.072152923 0.39887471
-2957280 0.027157769 0.11679309 0.40813201
-2957220 0.04877097 0.13362662 0.41738846
-2957160 -0.019334147 0.088041678 0.42664406
-2957100 -0.07747681 0.037937183 0.4358988
-2957040 -0.069108923 0.080619285 0.44515269
-2956980 -0.0029111677 0.063907569 0.45440573
-2956920 0.018146632 0.11032141 0.46365791
-2956860 0.035425237 0.037066125 0.47290925
-2956800 0.022674413 0.03760664 0.48215973
-2956740 0.0021793407 0.047942618 0.49140936
-2956680 0.044553863 0.028814557 0.50065814
-2956620 -0.011612462 0.12403058 0.50990607
-2956560 -0.012425004 0.052878075 0.51915314
-2956500 0.082098048 0.13276854 0.52839937
-2956440 0.073598101 0.13494004 0.53764475
-2956380 -0.0039226472 0.10115447 0.54688927
-2956320 -0.021208561 0.069487863 0.55613295
-2956260 -0.0073562023 0.096150633 0.56537577
-2956200 -0.07044968 0.050785688 0.57461775
-2956140 -0.085944026 0.024008179 0.58385888
-2956080 -0.05055114 0.08003675 0.59309916
-2956020 0.040191234 0.034844536 0.60233859
-2955960 0.10631394 0.01495725 0.61157717
-2955900 0.033684815 0.033153627 0.6208149
-2955840 -0.037890026 0.058788136 0.63005179
-2955780 -0.079948773 0.092954576 0.63928783
-2955720 -0.06998675 0.049459688 0.64852302
-2955660 0.026142392 0.055532039 0.65775736
-2955600 0.12169921 0.036089287 0.66699086
-2955540 0.074589544 0.07678626 0.67622351
-2955480 -0.003029957 0.13714078 0.68545531
-2955420 0.066305648 0.1821992 0.69468626
-2955360 0.089714602 0.11315861 0.70391637
-2955300 0.029649217 0.076363968 0.71314564
-2955240 -0.026776139 0.060421484 0.72237406
-2955180 0.0014073257 0.059611207 0.73160163
-2955120 0.033641095 0.038270108 0.74082836
-2955060 0.061943755 0.076440788 0.75005424
-2955000 0.022549644 0.073523617 0.75927928
-2954940 -0.006118121 0.073244282 0.76850347
-2954880 0.012766365 0.028362632 0.77772682
-2954820 0.0634544 0.11921705 0.78694932
-2954760 0.071570389 0.12587591 0.79617099
-2954700 -0.065107592 0.044134483 0.8053918
-2954640 -0.083790221 0.061451696 0.81461178
-2954580 -0.027937325 0.08348334 0.82383091
-2954520 0.0061733684 0.092866108 0.8330492
-2954460 0.003181449 0.1382714 0.84226664
-2954400 -0.033500247 0.092298655 0.85148324
-2954340 -0.0096952412 0.082198558 0.86069901
-2954280 0.063725677 0.09536939 0.86991392
-2954220 0.022152109 0.075267158 0.879128
-2954160 -0.033330757 0.023031559 0.88834124
-2954100 -0.00030311785 0.059735554 0.89755363
-2954040 0.071667218 0.09168351 0.90676518
-2953980 0.093703139 0.072313413 0.9159759
-2953920 0.070711658 0.15796054 0.92518577
-2953860 0.036283567 0.11300779 0.9343948
-2953800 -0.041830447 0.013374094 0.94360299
-2953740 -0.070733876 0.045538665 0.95281034
-2953680 -0.034051053 0.096204529 0.96201685
-2953620 0.097663154 0.055478034 0.97122253
-2953560 0.1759351 0.1144421 0.98042736
-2953500 0.12414973 0.061472488 0.98963135
-2953440 0.059022491 0.046527258 0.99883451
-2953380 0.0060999441 0.13935086 1.0080368
-2953320 0.032690942 0.17303715 1.0172383
-2953260 0.0066393869 0.048003932 1.0264389
-2953200 -0.054911783 0.067006429 1.0356387
-2953140 0.0060979251 0.13759985 1.0448377
-2953080 0.056241185 0.153223 1.0540358
-2953020 0.049782579 0.099204775 1.0632331
-2952960 0.031447908 0.049341713 1.0724296
-2952900 0.005590857 0.063521371 1.0816252
-2952840 0.034743663 0.060551514 1.09082
-2952780 0.038885331 0.073080105 1.1000139
-2952720 -0.0076314505 0.02551382 1.109207
-2952660 0.0040264105 0.021714541 1.1183993
-2952600 0.026202709 0.10929826 1.1275907
-2952540 0.0091675112 0.12330572 1.1367813
-2952480 0.0095953372 0.19745327 1.1459711
-2952420 0.050678029 0.20379004 1.15516
-2952360 -0.0089377832 0.040836616 1.1643481
-2952300 0.020682482 0.047634468 1.1735354
-2952240 0.11029249 0.07243867 1.1827218
-2952180 0.15924228 0.043048432 1.1919074
-2952120 0.15404219 0.046066712 1.2010922
-2952060 0.033651061 0.12317014 1.2102761
-2952000 -0.025169038 0.059777958 1.2194592
-2951940 -0.078201962 0.054859803 1.2286415
-2951880 -0.042507395 0.17297936 1.2378229
-2951820 0.10087518 0.13691867 1.2470035
-2951760 0.19453287 0.07702314 1.2561833
-2951700 0.10378255 0.05861501 1.2653622
-2951640 -0.023720679 0.094569116 1.2745403
-2951580 -0.025506971 0.066271485 1.2837175
-2951520 0.034836402 0.087145391 1.292894
-2951460 0.054508764 0.15292677 1.3020696
-2951400 -0.019411714 0.041010254 1.3112444
-2951340 -0.04627005 0.045574588 1.3204183
-2951280 0.021199704 0.026175265 1.3295914
-2951220 -0.0053545394 0.051085792 1.3387637
-2951160 -0.10973725 0.036790142 1.3479351
-2951100 -0.092339082 0.036525685 1.3571058
-2951040 -0.044715573 0.045964106 1.3662756
-2950980 0.021001838 0.06565749 1.3754445
-2950920 0.044472532 0.030982263 1.3846127
-2950860 -0.0063055133 0.023899973 1.39378
-2950800 -0.052174599 0.020073532 1.4029464
-2950740 -0.045531257 0.02565164 1.4121121
-2950680 -0.039213099 0.11728601 1.4212769
-2950620 -0.021279221 0.13479613 1.4304409
-2950560 0.061943923 0.10227616 1.4396041
-2950500 0.05741791 0.10231119 1.4487664
-2950440 0.012264195 0.047430427 1.4579279
-2950380 0.0024976371 0.034360943 1.4670886
-2950320 0.058129707 0.064935773 1.4762484
-2950260 0.14392578 0.074749965 1.4854075
-2950200 0.11130325 0.1119592 1.4945657
-2950140 0.0015177459 0.061916101 1.503723
-2950080 0.055148164 0.14427375 1.5128796
-2950020 0.10867285 0.10568055 1.5220353
-2949960 0.022769091 0.13154316 1.5311902
-2949900 -0.009280246 0.071574 1.5403443
-2949840 0.037990262 0.073467812 1.5494975
-2949780 0.0663792 0.077083362 1.5586499
-2949720 -0.0026836323 0.13482581 1.5678015
-2949660 0.0053848881 0.066571816 1.5769523
-2949600 0.067682032 0.048502024 1.5861023
-2949540 -0.027540063 0.056150028 1.5952514
-2949480 -0.11558081 0.069233159 1.6043997
-2949420 -0.060393173 0.050338114 1.6135471
-2949360 0.0037486118 0.047161622 1.6226938
-2949300 -0.05177448 0.062118043 1.6318396
-2949240 -0.030240125 0.052567898 1.6409846
-2949180 0.044653456 0.056657779 1.6501288
-2949120 -0.036021376 0.085083384 1.6592722
-2949060 -0.079289658 0.075236118 1.6684147
-2949000 -0.071010169 0.017133255 1.6775564
-2948940 0.011671447 0.10449296 1.6866973
-2948880 0.068479568 0.040122324 1.6958374
-2948820 -0.013233582 0.058117617 1.7049767
-2948760 -0.080665831 0.06102872 1.7141151
-2948700 -0.071281726 0.11544852 1.7232527
-2948640 0.040482303 0.12119763 1.7323895
-2948580 -0.011299179 0.11179941 1.7415255
-2948520 -0.12745885 0.13710402 1.7506606
-2948460 -0.027333466 0.02216647 1.7597949
-2948400 -0.0063311111 0.045745663 1.7689284
-2948340 -0.050473906 0.12465877 1.7780611
-2948280 -0.005190654 0.19404815 1.787193
-2948220 -0.0059253442 0.13618937 1.796324
-2948160 -0.052794954 0.098223805 1.8054543
-2948100 0.0046186188 0.044822919 1.8145837
-2948040 -0.0085311988 0.043326545 1.8237123
-2947980 -0.093114185 0.046946183 1.8328401
