Time AvStress StdStress Strain
-2629920 0.110938 0.037714838 0
-2629860 0.027672624 0.05453738 0.0074355291
-2629800 -0.034953514 0.095922487 0.014870505
-2629740 -0.020787917 0.075490441 0.022304929
-2629680 -0.050818536 0.057937275 0.0297388
-2629620 0.0092126385 0.082885157 0.037172119
-2629560 0.051342215 0.057958788 0.044604885
-2629500 -0.047644266 0.05442758 0.052037099
-2629440 -0.074872565 0.10477242 0.059468762
-2629380 -0.16786221 0.082396684 0.066899872
-2629320 -0.13655042 0.095991052 0.07433043
-2629260 -0.083433298 0.070802296 0.081760437
-2629200 -0.11840022 0.070579015 0.089189892
-2629140 0.00086098624 0.070756588 0.096618796
-2629080 0.025920868 0.030839795 0.10404715
-2629020 -0.0067196905 0.038044075 0.11147495
-2628960 0.068575544 0.034718945 0.1189022
-2628900 0.054920357 0.053489915 0.1263289
-2628840 -0.059018238 0.1090741 0.13375505
-2628780 -0.042749135 0.068246632 0.14118065
-2628720 0.0055485467 0.020097638 0.14860569
-2628660 -0.0063776927 0.026896467 0.15603019
-2628600 -0.029664186 0.070239478 0.16345414
-2628540 -0.0012211456 0.1030438 0.17087753
-2628480 -0.025047486 0.10772053 0.17830038
-2628420 -0.1235402 0.11703195 0.18572267
-2628360 -0.03584329 0.092430258 0.19314442
-2628300 0.096111425 0.035543812 0.20056562
-2628240 0.080835095 0.061791937 0.20798626
-2628180 0.019763366 0.0095552633 0.21540636
-2628120 -0.044442427 0.11916799 0.22282591
-2628060 -0.068956229 0.12284677 0.23024491
-2628000 -0.052640097 0.050220385 0.23766336
-2627940 0.009853396 0.032075257 0.24508126
-2627880 0.070172591 0.063095807 0.25249861
-2627820 0.069942209 0.038744761 0.25991541
-2627760 0.041400702 0.058271737 0.26733167
-2627700 0.02613696 0.048199559 0.27474737
-2627640 0.045343041 0.03672126 0.28216253
-2627580 0.10366369 0.11367486 0.28957714
-2627520 0.11850035 0.14412184 0.2969912
-2627460 0.075963823 0.051858702 0.30440472
-2627400 0.035016277 0.062487395 0.31181768
-2627340 0.019627667 0.039890505 0.3192301
-2627280 0.056091658 0.082458698 0.32664197
-2627220 0.010166541 0.042368848 0.33405329
-2627160 -0.01080096 0.050892484 0.34146407
-2627100 -0.037531931 0.074059701 0.34887429
-2627040 -0.044908837 0.046870606 0.35628397
-2626980 -0.014505258 0.075608898 0.36369311
-2626920 -0.020440667 0.072876872 0.37110169
-2626860 -0.026949795 0.080008978 0.37850973
-2626800 -0.0036425345 0.075295208 0.38591723
-2626740 0.073582987 0.094251181 0.39332417
-2626680 0.060462338 0.063654165 0.40073057
-2626620 0.06412955 0.051716608 0.40813643
-2626560 0.10363378 0.089386525 0.41554173
-2626500 0.05614181 0.071868873 0.4229465
-2626440 -0.050035426 0.033096642 0.43035071
-2626380 -0.084143495 0.093911293 0.43775438
-2626320 0.0007137688 0.097316885 0.44515751
-2626260 0.002556809 0.13726469 0.45256008
-2626200 0.028357001 0.14429051 0.45996212
-2626140 0.053674401 0.039361884 0.4673636
-2626080 -0.038391825 0.059526021 0.47476455
-2626020 -0.072860872 0.04568784 0.48216494
-2625960 0.041287555 0.05526356 0.4895648
-2625900 0.089479227 0.083698831 0.4969641
-2625840 0.013767421 0.021599208 0.50436287
-2625780 -0.091170856 0.097673774 0.51176108
-2625720 -0.10384067 0.061588068 0.51915876
-2625660 -0.081535141 0.019626202 0.52655589
-2625600 -0.046281936 0.092237074 0.53395247
-2625540 0.049770316 0.10687185 0.54134851
-2625480 0.074664282 0.076986131 0.54874401
-2625420 0.028567737 0.098619316 0.55613896
-2625360 -0.030226805 0.04431952 0.56353337
-2625300 -0.022588796 0.042533433 0.57092724
-2625240 -0.036907382 0.10324579 0.57832056
-2625180 0.071625218 0.063869014 0.58571334
-2625120 0.12515314 0.024840981 0.59310557
-2625060 0.11625525 0.013695832 0.60049726
-2625000 0.16432622 0.047499777 0.60788841
-2624940 0.052368914 0.062400415 0.61527902
-2624880 0.062518975 0.051385804 0.62266908
-2624820 0.18273894 0.087977462 0.6300586
-2624760 0.1275445 0.1438827 0.63744758
-2624700 0.080801759 0.048800795 0.64483601
-2624640 0.03375841 0.054661638 0.65222391
-2624580 0.026372894 0.041007937 0.65961126
-2624520 0.0077857154 0.081802837 0.66699807
-2624460 0.041861398 0.081328436 0.67438433
-2624400 0.11462768 0.052451478 0.68177006
-2624340 0.11897008 0.081501706 0.68915524
-2624280 0.10113971 0.092266697 0.69653988
-2624220 -0.025671932 0.12146115 0.70392398
-2624160 -0.095586272 0.02136752 0.71130754
-2624100 0.003964048 0.033851673 0.71869056
-2624040 0.081075163 0.059191704 0.72607303
-2623980 0.10788496 0.07679254 0.73345497
-2623920 0.038998009 0.09955747 0.74083636
-2623860 -0.016333083 0.11285 0.74821721
-2623800 0.084590686 0.12744876 0.75559753
-2623740 0.062441781 0.081467694 0.7629773
-2623680 0.014849219 0.058656685 0.77035653
-2623620 0.026627017 0.079561064 0.77773522
-2623560 0.091482468 0.099669805 0.78511337
-2623500 0.13669573 0.16170503 0.79249098
-2623440 0.041170783 0.18148833 0.79986805
-2623380 0.013515659 0.095152884 0.80724458
-2623320 0.027798466 0.084424742 0.81462057
-2623260 -0.0054233978 0.011690952 0.82199603
-2623200 0.050109384 0.1085966 0.82937094
-2623140 0.15477611 0.11583844 0.83674531
-2623080 0.088200896 0.15025491 0.84411914
-2623020 -0.037463095 0.080652628 0.85149244
-2622960 0.0032805442 0.060196925 0.85886519
-2622900 0.12276105 0.026816746 0.86623741
-2622840 0.063776742 0.074902809 0.87360909
-2622780 0.0017233901 0.057156189 0.88098023
-2622720 0.044466745 0.046186964 0.88835083
-2622660 -0.00015851711 0.069710227 0.89572089
-2622600 -0.06504661 0.12669232 0.90309041
-2622540 -0.084600177 0.05767767 0.9104594
-2622480 0.0095826742 0.064400917 0.91782785
-2622420 0.033694503 0.036184714 0.92519576
-2622360 0.065888629 0.062831296 0.93256313
-2622300 0.013989524 0.061459122 0.93992996
-2622240 0.035414701 0.10079757 0.94729626
-2622180 0.092651256 0.14736313 0.95466202
-2622120 0.032562038 0.071172792 0.96202724
-2622060 0.12393711 0.058457259 0.96939192
-2622000 0.07764788 0.095966493 0.97675607
-2621940 -0.00059679083 0.11887735 0.98411968
-2621880 0.041308283 0.019192891 0.99148275
-2621820 0.026700064 0.03828756 0.99884529
-2621760 -0.024092075 0.072059328 1.0062073
-2621700 0.01957944 0.10838621 1.0135687
-2621640 0.017367722 0.045726014 1.0209297
-2621580 0.058125061 0.069031792 1.0282901
-2621520 0.10273086 0.047867079 1.0356499
-2621460 -0.024053925 0.10518209 1.0430092
