step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
9900000 23047.7934224303 19012.6822428892 1652.90762389454 3974.96101703771 0.999063726275674 0.164116958216377 -10053.1695014404 -8376.26764933045 -10701.7329704314 -205.709550788429 1168.69770496691 -1054.84620599925 -1.45289203288014 7 30.310889 59167.4994828887 0.000118308193876343 0.000253519698480572 0.00417156832722711 0.00146857038591033 0 0 0.444963531892463 2.20287417518891 0.937507914296958 0.0666661038769675 1444
9900020 22952.3569250085 18936.6076509339 1657.57424768863 3972.63988618702 0.995066217436951 0.160031284429529 -9345.94875315419 -8208.25090848029 -10869.5590692393 471.272050166864 1290.70796880934 -1219.00449880011 -1.50231983053432 7 30.329889 59204.5878866691 0.000118234080328362 0.000253519698480572 0.00424830656256073 0.00144204322780179 0 0 0.452865001823962 2.16443900358562 0.938095579355927 0.0666243412456018 1444
9900040 22959.8308311717 18936.138406114 1674.27313711441 3977.16029181217 0.995041559922964 0.159474729361766 -8947.41459346903 -8217.80393028905 -11178.3662504946 910.536749328065 1234.368060648 -1444.80014156201 -1.52146424847461 7 30.349889 59243.6283117011 0.000118156166316664 0.000253519698480572 0.00433060734796695 0.00141463799784186 0 0 0.46133396801704 2.12470518379551 0.938714174154849 0.0665804370710291 1444
9900060 23056.7654782351 18984.9578530313 1700.27036802996 3987.78611679726 0.99760688647336 0.159043630100435 -8628.69784496244 -8155.64222203227 -11501.2524468001 1288.95431959551 1277.63694014607 -1581.28907940843 -1.5606600390194 7 30.369889 59282.6687367331 0.000118078354925048 0.000253519698480572 0.00441450059735218 0.00138775419168418 0 0 0.469961311183586 2.08570078000303 0.939332768953761 0.0665365907223839 1444
9900080 22992.662160523 18882.3818820762 1725.08320352662 3998.2890696225 0.992216803661292 0.157573165386683 -8500.36869718806 -8344.43606985218 -11197.7236992623 1478.79980363772 1130.55383324837 -1261.3786413021 -1.5614202786921 7 30.389889 59321.7091617651 0.000118000645950905 0.000253519698480572 0.00450001708919936 0.00136138187627576 0 0 0.478749993109582 2.04741240190973 0.939951363752677 0.0664928020854971 1444
9900100 23012.9297805644 18848.9843049859 1735.49756374505 3999.16397123779 0.990461853602687 0.158964162499002 -8595.78870238365 -8866.49611998218 -10846.4107077686 1465.54742366808 658.971978113129 -916.649196670533 -1.53818886433932 7 30.409889 59360.7495867971 0.000117923039192162 0.000253519698480572 0.0045871881962405 0.0013355113080356 0 0 0.487703030969051 2.00982690503078 0.940569958551599 0.0664490710465014 1444
9900120 23133.177508865 18932.3456078656 1723.68659460639 3990.76348052584 0.994842258893127 0.164124007794343 -8757.03891205408 -9835.66152866844 -10654.0943559288 1327.61239461828 -211.688124577443 -747.733745898595 -1.48535752606209 7 30.429889 59399.7900118291 0.000117845534447277 0.000253519698480572 0.00467604589691784 0.00131013292923521 0 0 0.49682349835978 1.97293138618201 0.941188553350516 0.0664053974918289 1444
9900140 23088.3572860662 18902.4931372677 1707.43544697987 3977.27571992905 0.993273594349476 0.16708780096511 -8849.74426702613 -10538.4728738632 -10406.2932680101 1203.67976277478 -813.252769355115 -534.508720408947 -1.44120413140081 7 30.449889 59438.8304368611 0.000117768131515235 0.000253519698480572 0.00476662278706593 0.00128523736444831 0 0 0.506114526358386 1.93671317904984 0.941807148149433 0.0663617813082086 1444
9900160 23192.1451428069 18964.4348253599 1710.87277790877 3965.54009505786 0.996528458283278 0.169540101100984 -8939.08801866056 -10744.3062722001 -10568.2584267291 1103.92308898835 -927.768030024772 -594.928236760206 -1.43782766199782 7 30.469889 59477.8708618931 0.000117690830195551 0.000253519698480572 0.00485895209182034 0.00126081541706909 0 0 0.515579304595317 1.90115984984332 0.942425742948347 0.0663182223826682 1444
9900180 23246.3583490684 18994.1722045545 1727.12452982055 3955.66217942761 0.998091075092853 0.170842166283976 -9137.06277038035 -10663.6383951821 -10703.2929988062 889.941380693551 -799.196901622969 -722.538936369671 -1.4243980237577 7 30.489889 59516.9112869251 0.000117613630288267 0.000253519698480572 0.00495306767775671 0.00123685806589707 0 0 0.525221082350015 1.86625919302602 0.943044337747264 0.0662747206025323 1444
