Time AvStrain StdStrain Time_1e5
26000 0.0068866919 0.00033033095 0.26
26200 0.0069389939 0.00036161069 0.262
26400 0.006976187 0.00036635567 0.264
26600 0.0070174672 0.00036598188 0.266
26800 0.0070768513 0.00037706319 0.268
27000 0.0071476717 0.00039419964 0.27
27200 0.0072137499 0.00041930628 0.272
27400 0.0072825513 0.00046328515 0.274
27600 0.0073583122 0.00047446964 0.276
27800 0.007418947 0.00048609889 0.278
28000 0.0074642396 0.0004935177 0.28
28200 0.007535461 0.00049552629 0.282
28400 0.0075988724 0.00049828426 0.284
28600 0.0076667996 0.0004909053 0.286
28800 0.0077380257 0.00050463316 0.288
29000 0.0078234299 0.0005219372 0.29
29200 0.0078913684 0.00051681719 0.292
29400 0.0079488659 0.00052426422 0.294
29600 0.0080088134 0.00053465126 0.296
29800 0.0080520014 0.00055751728 0.298
30000 0.0081004624 0.00055077618 0.3
30200 0.0081655044 0.00055133827 0.302
30400 0.0082487059 0.00054780612 0.304
30600 0.0083173399 0.00055964855 0.306
30800 0.0083780482 0.00057175513 0.308
31000 0.0084457822 0.00058448927 0.31
31200 0.0084835291 0.00058792132 0.312
31400 0.0085499864 0.00059079742 0.314
31600 0.008623113 0.00058870639 0.316
31800 0.008652318 0.00060204057 0.318
32000 0.0086939983 0.00062070893 0.32
32200 0.0087403169 0.00062324499 0.322
32400 0.0087811752 0.0006161747 0.324
32600 0.0088400286 0.00059613426 0.326
32800 0.0088895344 0.00060072976 0.328
33000 0.0089425083 0.0006305524 0.33
33200 0.0090126289 0.0006519363 0.332
33400 0.0090777839 0.00065548838 0.334
33600 0.0091395672 0.00065485806 0.336
33800 0.0092200451 0.00065989386 0.338
34000 0.0092941501 0.00065976601 0.34
34200 0.0093463283 0.00068199098 0.342
34400 0.0094060579 0.00069725407 0.344
34600 0.0094510363 0.00070193646 0.346
34800 0.009492755 0.00067858918 0.348
35000 0.0095586446 0.00064793279 0.35
35200 0.0096115991 0.00065421979 0.352
35400 0.0096767382 0.00064143005 0.354
35600 0.0097473931 0.00063527181 0.356
35800 0.0098064128 0.00060278857 0.358
36000 0.0098564102 0.00059902823 0.36
36200 0.0099008375 0.000591711 0.362
36400 0.0099548373 0.00057395291 0.364
36600 0.010007836 0.00055615933 0.366
36800 0.01007664 0.00054826769 0.368
37000 0.010136328 0.00053541525 0.37
37200 0.010184418 0.00055013951 0.372
37400 0.010244271 0.00055472641 0.374
37600 0.010297855 0.00057710511 0.376
37800 0.010351035 0.0005956031 0.378
38000 0.01042185 0.00060239412 0.38
38200 0.010493075 0.00058862544 0.382
38400 0.010576682 0.0005796709 0.384
