Time AvStrain StdStrain Time_1e5
0 -4.369893e-09 0 0
200 6.6174581e-05 1.91603e-05 0.002
400 0.00013546693 1.605122e-05 0.004
600 0.00017470925 8.1310871e-06 0.006
800 0.00021922414 4.658524e-06 0.008
1000 0.00026314038 2.0276003e-05 0.01
1200 0.00030101909 3.4240363e-05 0.012
1400 0.00034322643 5.053844e-05 0.014
1600 0.00038383426 6.6111898e-05 0.016
1800 0.00045172437 6.3952349e-05 0.018
2000 0.00050563684 6.1229432e-05 0.02
2200 0.00055150852 8.5075126e-05 0.022
2400 0.00061238263 0.00010134836 0.024
2600 0.00066395857 0.00010401138 0.026
2800 0.00071378657 0.00011621252 0.028
3000 0.00076149606 0.00012883071 0.03
3200 0.00082530426 0.0001512096 0.032
3400 0.00088342355 0.00016511243 0.034
3600 0.00093402976 0.00018366322 0.036
3800 0.00098156826 0.00021160226 0.038
4000 0.0010238075 0.00023204609 0.04
4200 0.0010483376 0.00023289591 0.042
4400 0.001107664 0.00022334493 0.044
4600 0.0011555243 0.00024521048 0.046
4800 0.001190168 0.0002508232 0.048
5000 0.0012183811 0.00026587911 0.05
5200 0.0012363697 0.00026959476 0.052
5400 0.0012879526 0.00029161571 0.054
5600 0.0012993185 0.00030133451 0.056
5800 0.0013554035 0.00030471617 0.058
6000 0.0014124334 0.00029484645 0.06
6200 0.0014778533 0.00029014016 0.062
6400 0.0015391645 0.00028885587 0.064
6600 0.0016250782 0.00028174519 0.066
6800 0.0016756237 0.00028241465 0.068
7000 0.0017269979 0.00028143439 0.07
7200 0.001803488 0.00026231032 0.072
7400 0.0018640406 0.00026436907 0.074
7600 0.0019263843 0.00027811078 0.076
7800 0.0019736045 0.00027753306 0.078
8000 0.0020597286 0.0002810379 0.08
8200 0.0021237949 0.00027904571 0.082
8400 0.00218178 0.00027860292 0.084
8600 0.0022323756 0.00027353098 0.086
8800 0.0023015793 0.0002831675 0.088
9000 0.0023726779 0.00027337668 0.09
9200 0.0024257178 0.00028575664 0.092
9400 0.0024934956 0.00029613718 0.094
9600 0.0025498849 0.00028819736 0.096
9800 0.0026044871 0.0002986729 0.098
10000 0.0026765853 0.00030476991 0.1
10200 0.0027474688 0.00029978767 0.102
10400 0.0028138528 0.00030899062 0.104
10600 0.002890656 0.00033307 0.106
10800 0.0029460963 0.00035220545 0.108
11000 0.0029984575 0.00035924659 0.11
11200 0.0030666923 0.00037641052 0.112
11400 0.0031349367 0.0003985147 0.114
11600 0.0031911817 0.00039751473 0.116
11800 0.0032336405 0.00040270141 0.118
12000 0.0032797161 0.00040406958 0.12
12200 0.0033393574 0.00038602901 0.122
12400 0.0033932967 0.00040276007 0.124
12600 0.0034529605 0.00040595614 0.126
12800 0.0035197644 0.00040283614 0.128
13000 0.0035598632 0.00040880359 0.13
13200 0.0036385178 0.00041143937 0.132
13400 0.0036946931 0.00040349901 0.134
13600 0.0037633743 0.00038097621 0.136
13800 0.0037984792 0.00036045076 0.138
14000 0.0038543198 0.00034374438 0.14
14200 0.0039135863 0.00032765002 0.142
14400 0.0039801204 0.00031667391 0.144
14600 0.0040392456 0.00033790358 0.146
14800 0.0040835874 0.00035621227 0.148
15000 0.0041202945 0.00035719842 0.15
15200 0.0041579197 0.00035792484 0.152
15400 0.004189128 0.00037437056 0.154
15600 0.0042378564 0.00037073796 0.156
15800 0.0042903662 0.00036494415 0.158
16000 0.0043506178 0.0003633667 0.16
16200 0.0044191812 0.00037629696 0.162
16400 0.0044761064 0.00036050349 0.164
16600 0.0045525556 0.00035354766 0.166
16800 0.0046130448 0.00035639356 0.168
17000 0.0046996754 0.00036072541 0.17
17200 0.0047716251 0.00036023925 0.172
17400 0.0048429807 0.00037134712 0.174
17600 0.0049428809 0.00038745229 0.176
17800 0.0050117088 0.00036949374 0.178
18000 0.0050824548 0.00038050214 0.18
18200 0.0051628225 0.00037548467 0.182
18400 0.0052173585 0.00037702312 0.184
18600 0.0052905962 0.00035915862 0.186
18800 0.0053616853 0.00033995811 0.188
19000 0.0054248239 0.00031628025 0.19
19200 0.0054957635 0.000311394 0.192
19400 0.0055370597 0.00031251128 0.194
19600 0.0055693792 0.00033834996 0.196
19800 0.0056341642 0.00035192422 0.198
20000 0.0056989166 0.00037794053 0.2
20200 0.0057662212 0.00039626053 0.202
20400 0.0058245891 0.00041013595 0.204
20600 0.0059109574 0.000426421 0.206
20800 0.0059869291 0.00044517643 0.208
21000 0.0060494944 0.00043320704 0.21
21200 0.0060772749 0.0004464764 0.212
21400 0.0061089719 0.00044617803 0.214
21600 0.0061700909 0.00044990906 0.216
21800 0.0062081562 0.00044970895 0.218
22000 0.006278911 0.00042349715 0.22
22200 0.0063440429 0.00039073826 0.222
22400 0.0064062911 0.00038853902 0.224
22600 0.0064803438 0.00039062999 0.226
22800 0.0065693733 0.0003955755 0.228
23000 0.0066411619 0.00040955593 0.23
23200 0.0066882166 0.00043703343 0.232
23400 0.0067521175 0.00046282246 0.234
23600 0.0068273249 0.00048259446 0.236
23800 0.0068904695 0.00048592415 0.238
24000 0.0069387475 0.0004875542 0.24
24200 0.0069853362 0.0004854142 0.242
24400 0.0070458778 0.00046833438 0.244
24600 0.0071021172 0.00045893456 0.246
24800 0.0071413794 0.00044490414 0.248
25000 0.0072023669 0.00042780679 0.25
25200 0.0072612339 0.00042520207 0.252
25400 0.0073379485 0.00042005479 0.254
25600 0.0073934758 0.00041974243 0.256
25800 0.0074416688 0.00042323611 0.258
26000 0.0075031248 0.00041073626 0.26
26200 0.0075658843 0.00040991636 0.262
26400 0.0076359523 0.00042297461 0.264
26600 0.0077092563 0.00041822331 0.266
26800 0.0077890506 0.00042834532 0.268
27000 0.0078510379 0.00044950233 0.27
27200 0.0079046956 0.00046242558 0.272
27400 0.0079491603 0.00045588342 0.274
27600 0.0079950705 0.00046291809 0.276
27800 0.0080493874 0.00045028911 0.278
28000 0.0081123722 0.0004260866 0.28
28200 0.0081916525 0.00039655373 0.282
28400 0.0082819077 0.00036050401 0.284
28600 0.0083542209 0.00033024307 0.286
28800 0.008409782 0.0003106863 0.288
29000 0.008476937 0.00029822857 0.29
29200 0.0085260487 0.00028910695 0.292
29400 0.0085737223 0.00031517881 0.294
29600 0.0086126277 0.00031750997 0.296
29800 0.0086373732 0.00033826308 0.298
30000 0.0086859582 0.00036459808 0.3
30200 0.0087630158 0.000378815 0.302
30400 0.0088232053 0.00036370825 0.304
30600 0.0089035881 0.00035721121 0.306
30800 0.0089562616 0.0003609537 0.308
31000 0.0090347139 0.00035709032 0.31
31200 0.0091065528 0.00037063539 0.312
31400 0.0091588648 0.00036641993 0.314
31600 0.0092037977 0.00037450973 0.316
31800 0.0092492235 0.00036062011 0.318
32000 0.0093098958 0.0003555224 0.32
32200 0.0093814288 0.00035757458 0.322
32400 0.0094678535 0.00035977833 0.324
32600 0.0095309846 0.00036483086 0.326
32800 0.0096179395 0.00036799574 0.328
33000 0.0096891371 0.00038045042 0.33
33200 0.0097628944 0.00037661426 0.332
33400 0.0098387671 0.0003723984 0.334
33600 0.0099192041 0.00039928936 0.336
33800 0.010004791 0.00041078659 0.338
34000 0.010078808 0.00039659609 0.34
34200 0.010130281 0.00039040571 0.342
34400 0.010179677 0.00037580702 0.344
34600 0.010243149 0.0003647557 0.346
34800 0.010306345 0.00037223986 0.348
35000 0.010362662 0.00039176596 0.35
35200 0.010416849 0.00042518872 0.352
35400 0.010486452 0.00045522644 0.354
35600 0.010561784 0.00046413268 0.356
35800 0.010629699 0.0004857373 0.358
36000 0.01069311 0.00051149839 0.36
36200 0.01077092 0.00051953357 0.362
36400 0.010849234 0.00050234225 0.364
36600 0.010910223 0.00049416731 0.366
36800 0.010970937 0.00050061691 0.368
37000 0.011036101 0.00049862312 0.37
37200 0.011080955 0.00050653204 0.372
37400 0.011134897 0.00048800824 0.374
37600 0.011170162 0.00049386602 0.376
37800 0.011215234 0.00050620955 0.378
38000 0.011255378 0.00049400822 0.38
38200 0.011306258 0.00048852656 0.382
38400 0.01137056 0.00047672946 0.384
38600 0.011460408 0.00047586854 0.386
38800 0.011507454 0.00047144257 0.388
39000 0.011567662 0.0004625335 0.39
39200 0.011613044 0.00045171918 0.392
39400 0.011654126 0.00042352927 0.394
