Time Strain Concentration
40000 0.010029425 0.19713694
40200 0.010084034 0.19711563
40400 0.01017729 0.19707923
40600 0.010210937 0.1970661
40800 0.010232986 0.1970575
41000 0.010276608 0.19704049
41200 0.010303517 0.19702999
41400 0.010329559 0.19701983
41600 0.010377805 0.19700102
41800 0.010446369 0.19697428
42000 0.010439444 0.19697698
42200 0.010462112 0.19696815
42400 0.010492953 0.19695612
42600 0.010556511 0.19693135
42800 0.010602894 0.19691327
43000 0.010625689 0.19690439
43200 0.010691634 0.1968787
43400 0.01074829 0.19685662
43600 0.010828242 0.19682549
43800 0.010877331 0.19680637
44000 0.010931943 0.19678511
44200 0.010981345 0.19676588
44400 0.011027144 0.19674805
44600 0.011050997 0.19673877
44800 0.0111118 0.1967151
45000 0.011148795 0.19670071
45200 0.011225555 0.19667085
45400 0.011264458 0.19665572
45600 0.011275893 0.19665127
45800 0.011297576 0.19664284
46000 0.011366355 0.19661609
46200 0.011402418 0.19660207
46400 0.011461907 0.19657895
46600 0.011504363 0.19656244
46800 0.011553071 0.19654352
47000 0.011615829 0.19651913
47200 0.01167085 0.19649775
47400 0.01173633 0.19647232
47600 0.011779362 0.19645561
47800 0.011859758 0.19642439
48000 0.011913408 0.19640356
48200 0.011987227 0.19637491
48400 0.012055643 0.19634836
48600 0.012129849 0.19631957
48800 0.012194291 0.19629458
49000 0.012235966 0.19627841
49200 0.012313843 0.19624821
49400 0.012367633 0.19622736
49600 0.012434623 0.19620139
49800 0.012494691 0.19617811
50000 0.012570369 0.19614879
50200 0.012648986 0.19611834
50400 0.012722667 0.1960898
50600 0.01281866 0.19605263
50800 0.012915162 0.19601528
51000 0.012984566 0.19598842
51200 0.01306657 0.19595669
51400 0.013182634 0.1959118
51600 0.013286594 0.1958716
51800 0.013324432 0.19585697
52000 0.013392148 0.1958308
52200 0.013446902 0.19580964
52400 0.013473591 0.19579933
52600 0.013503834 0.19578764
52800 0.013594377 0.19575266
53000 0.013680279 0.19571949
53200 0.013743724 0.19569499
53400 0.013786793 0.19567836
53600 0.013866285 0.19564768
53800 0.013910386 0.19563066
54000 0.01394386 0.19561774
54200 0.013969685 0.19560778
54400 0.014024819 0.19558651
54600 0.014088508 0.19556194
54800 0.014200213 0.19551887
55000 0.014216788 0.19551248
55200 0.01421652 0.19551258
55400 0.014223669 0.19550982
55600 0.014254685 0.19549787
55800 0.014297862 0.19548122
56000 0.014361796 0.19545658
56200 0.014400266 0.19544176
56400 0.014454863 0.19542072
56600 0.014549609 0.19538422
56800 0.014620357 0.19535698
57000 0.014691284 0.19532967
57200 0.014778073 0.19529626
57400 0.014842811 0.19527134
57600 0.014889799 0.19525326
57800 0.014934 0.19523625
58000 0.014977774 0.19521941
58200 0.015066848 0.19518515
58400 0.015165273 0.19514731
58600 0.015243215 0.19511734
58800 0.015331234 0.19508352
59000 0.01542744 0.19504655
59200 0.015508628 0.19501536
