Time Strain Concentration
35000 0.009145468 0.19639139
35200 0.0092313035 0.19635799
35400 0.0092866375 0.19633646
35600 0.0093535049 0.19631044
35800 0.0094406636 0.19627654
36000 0.0094761716 0.19626274
36200 0.009513605 0.19624818
36400 0.009572045 0.19622546
36600 0.009651114 0.19619473
36800 0.0097206369 0.19616771
37000 0.0097849943 0.19614271
37200 0.0098529221 0.19611632
37400 0.0099350982 0.19608441
37600 0.010022317 0.19605055
37800 0.010124193 0.196011
38000 0.010214943 0.19597579
38200 0.010285475 0.19594842
38400 0.010342073 0.19592647
38600 0.010424617 0.19589446
38800 0.010505286 0.19586319
39000 0.010577237 0.1958353
39200 0.010647567 0.19580804
39400 0.010737986 0.19577301
39600 0.010822817 0.19574015
39800 0.010869356 0.19572213
40000 0.010920995 0.19570213
40200 0.010952622 0.19568989
40400 0.011023373 0.1956625
40600 0.011094604 0.19563493
40800 0.011189895 0.19559806
41000 0.01125428 0.19557316
41200 0.011292769 0.19555827
41400 0.011382741 0.19552348
41600 0.011446487 0.19549884
41800 0.011522437 0.19546948
42000 0.011565801 0.19545272
42200 0.011624037 0.19543022
42400 0.011678688 0.1954091
42600 0.011735283 0.19538724
42800 0.011825621 0.19535235
43000 0.011867369 0.19533624
43200 0.011906604 0.19532109
43400 0.011980615 0.19529252
43600 0.012087527 0.19525126
43800 0.012201632 0.19520724
44000 0.012271041 0.19518047
44200 0.012361995 0.19514541
44400 0.012447776 0.19511234
44600 0.012495612 0.1950939
44800 0.012584071 0.19505982
45000 0.012670341 0.19502658
45200 0.012787606 0.19498142
45400 0.012850605 0.19495717
45600 0.012935768 0.19492439
45800 0.013021404 0.19489143
46000 0.01308351 0.19486754
46200 0.013124189 0.19485189
46400 0.013178783 0.19483089
46600 0.013230678 0.19481094
46800 0.013289009 0.19478851
47000 0.013344955 0.194767
47200 0.01344433 0.19472881
47400 0.013519538 0.19469991
47600 0.013585084 0.19467473
47800 0.01365114 0.19464936
48000 0.013730991 0.19461869
48200 0.01381182 0.19458766
48400 0.013886907 0.19455884
48600 0.014000646 0.19451519
48800 0.014105327 0.19447504
49000 0.014184978 0.19444449
49200 0.014245398 0.19442133
49400 0.014298215 0.19440108
49600 0.01435142 0.19438069
49800 0.014404705 0.19436027
50000 0.014446034 0.19434443
50200 0.014500768 0.19432346
50400 0.014517544 0.19431703
50600 0.014595557 0.19428715
50800 0.01465263 0.1942653
51000 0.014721388 0.19423897
51200 0.014774348 0.1942187
51400 0.014809438 0.19420527
51600 0.014861908 0.19418518
51800 0.014889764 0.19417452
52000 0.014869211 0.19418239
52200 0.014899309 0.19417087
52400 0.014927534 0.19416007
52600 0.014949364 0.19415172
52800 0.014975845 0.19414159
53000 0.015027654 0.19412177
53200 0.015091231 0.19409746
53400 0.015169538 0.19406751
53600 0.015198774 0.19405634
53800 0.015240111 0.19404053
54000 0.015288433 0.19402206
54200 0.015342573 0.19400137
54400 0.015358751 0.19399519
54600 0.01538932 0.19398351
54800 0.01544303 0.19396299
55000 0.015499321 0.19394149
55200 0.015570672 0.19391424
55400 0.015626048 0.19389309
55600 0.015670668 0.19387606
55800 0.01570452 0.19386313
56000 0.015760024 0.19384195
56200 0.015796753 0.19382793
56400 0.015884923 0.19379429
56600 0.015939401 0.1937735
56800 0.015991622 0.19375358
57000 0.016051757 0.19373065
57200 0.016111642 0.19370781
57400 0.016159311 0.19368964
57600 0.01622654 0.19366401
57800 0.016269377 0.19364769
58000 0.016299401 0.19363625
58200 0.016316267 0.19362982
58400 0.016421074 0.19358989
58600 0.016459749 0.19357516
58800 0.016515192 0.19355404
59000 0.016528671 0.19354891
59200 0.016588554 0.19352611
59400 0.016591458 0.193525
59600 0.016638319 0.19350716
59800 0.016676085 0.19349279
60000 0.016709642 0.19348001
60200 0.016762119 0.19346004
60400 0.016819899 0.19343806
60600 0.016858725 0.19342329
60800 0.016943026 0.19339122
61000 0.017015344 0.19336372
61200 0.017044639 0.19335258
61400 0.017093562 0.19333398
61600 0.017131835 0.19331943
61800 0.017175436 0.19330285
62000 0.017250762 0.19327423
62200 0.01732605 0.19324562
62400 0.017360556 0.19323251
62600 0.017375528 0.19322683
62800 0.017420862 0.19320961
63000 0.017498777 0.19318002
63200 0.017576029 0.19315069
63400 0.017626453 0.19313155
63600 0.017647831 0.19312343
63800 0.017736636 0.19308973
64000 0.017792312 0.19306861
64200 0.017830637 0.19305407
64400 0.017880031 0.19303533
64600 0.017986053 0.19299513
64800 0.018044712 0.19297289
65000 0.01809581 0.19295352
65200 0.018128734 0.19294104
65400 0.018176669 0.19292287
65600 0.018244188 0.19289729
65800 0.018311042 0.19287196
66000 0.018386409 0.19284341
66200 0.018460843 0.19281522
66400 0.018490847 0.19280386
66600 0.018510732 0.19279634
66800 0.018567882 0.1927747
67000 0.018603399 0.19276126
67200 0.018662431 0.19273892
67400 0.018737352 0.19271057
67600 0.018797803 0.1926877
67800 0.018848074 0.19266869
68000 0.018907934 0.19264605
68200 0.018963959 0.19262487
68400 0.019045621 0.19259399
68600 0.019114561 0.19256794
68800 0.019147173 0.19255561
69000 0.019147845 0.19255536
69200 0.019135044 0.1925602
69400 0.019176259 0.19254462
69600 0.019232895 0.19252323
69800 0.019287037 0.19250277
70000 0.019347221 0.19248004
70200 0.019412032 0.19245557
70400 0.019443511 0.19244368
70600 0.019527685 0.19241191
70800 0.019592354 0.1923875
71000 0.019703977 0.19234538
71200 0.019780824 0.1923164
71400 0.01986923 0.19228306
71600 0.019938812 0.19225682
71800 0.020050038 0.1922149
72000 0.020147021 0.19217835
72200 0.0202186 0.19215139
72400 0.020314732 0.19211518
72600 0.020410763 0.19207902
72800 0.02051192 0.19204094
73000 0.020603693 0.19200641
73200 0.020690302 0.19197383
73400 0.020803526 0.19193124
73600 0.020887227 0.19189977
73800 0.021005022 0.19185549
74000 0.021053129 0.19183742
