moleculeID,timeEntered,timeLeft
0,12001000.0,12004000.0
1,12004000.0,12024000.0
2,12010000.0,12026000.0
3,12041000.0,12043000.0
4,12012000.0,12047000.0
5,12049000.0,12062000.0
6,12050000.0,12081000.0
7,12082000.0,12085000.0
8,12063000.0,12087000.0
9,12047000.0,12099000.0
10,12080000.0,12101000.0
11,12100000.0,12103000.0
12,12093000.0,12104000.0
13,12100000.0,12104000.0
14,12138000.0,12139000.0
15,12139000.0,12140000.0
16,12001000.0,12143000.0
17,12111000.0,12147000.0
18,12074000.0,12153000.0
19,12157000.0,12159000.0
20,12158000.0,12160000.0
21,12161000.0,12165000.0
22,12166000.0,12171000.0
23,12171000.0,12173000.0
24,12063000.0,12175000.0
25,12124000.0,12176000.0
26,12081000.0,12183000.0
27,12184000.0,12188000.0
28,12183000.0,12191000.0
29,12165000.0,12192000.0
30,12116000.0,12195000.0
31,12123000.0,12197000.0
32,12175000.0,12200000.0
33,12084000.0,12200000.0
34,12020000.0,12201000.0
35,12200000.0,12204000.0
36,12039000.0,12208000.0
37,12173000.0,12210000.0
38,12127000.0,12211000.0
39,12211000.0,12213000.0
40,12186000.0,12214000.0
24,12176000.0,12215000.0
41,12132000.0,12216000.0
42,12190000.0,12225000.0
43,12145000.0,12231000.0
44,12132000.0,12235000.0
45,12104000.0,12242000.0
46,12160000.0,12250000.0
47,12251000.0,12256000.0
48,12253000.0,12256000.0
49,12253000.0,12258000.0
50,12039000.0,12263000.0
51,12192000.0,12274000.0
52,12228000.0,12282000.0
53,12187000.0,12286000.0
54,12254000.0,12289000.0
43,12233000.0,12292000.0
55,12129000.0,12292000.0
56,12258000.0,12295000.0
57,12296000.0,12298000.0
58,12132000.0,12302000.0
59,12259000.0,12303000.0
60,12239000.0,12307000.0
61,12278000.0,12307000.0
62,12316000.0,12322000.0
33,12203000.0,12322000.0
63,12215000.0,12326000.0
64,12115000.0,12327000.0
65,12197000.0,12331000.0
66,12326000.0,12331000.0
67,12104000.0,12344000.0
68,12318000.0,12349000.0
69,12351000.0,12362000.0
70,12306000.0,12369000.0
71,12348000.0,12373000.0
72,12243000.0,12373000.0
73,12371000.0,12373000.0
74,12033000.0,12374000.0
75,12369000.0,12374000.0
76,12303000.0,12379000.0
77,12248000.0,12380000.0
78,12310000.0,12388000.0
79,12380000.0,12398000.0
80,12314000.0,12410000.0
81,12352000.0,12412000.0
82,12341000.0,12416000.0
83,12348000.0,12420000.0
84,12256000.0,12420000.0
85,12404000.0,12438000.0
86,12168000.0,12447000.0
87,12212000.0,12448000.0
88,12451000.0,12452000.0
89,12141000.0,12460000.0
90,12416000.0,12461000.0
91,12459000.0,12464000.0
92,12251000.0,12466000.0
93,12457000.0,12466000.0
94,12216000.0,12469000.0
95,12453000.0,12472000.0
96,12427000.0,12472000.0
97,12111000.0,12474000.0
98,12414000.0,12478000.0
99,12483000.0,12487000.0
100,12377000.0,12495000.0
101,12500000.0,12501000.0
102,12501000.0,12504000.0
103,12401000.0,12513000.0
104,12300000.0,12516000.0
105,12389000.0,12519000.0
104,12519000.0,12523000.0
106,12268000.0,12528000.0
107,12339000.0,12543000.0
108,12431000.0,12544000.0
109,12464000.0,12550000.0
110,12519000.0,12554000.0
111,12550000.0,12556000.0
112,12515000.0,12558000.0
113,12513000.0,12565000.0
114,12513000.0,12565000.0
115,12494000.0,12571000.0
116,12494000.0,12571000.0
117,12568000.0,12578000.0
118,12438000.0,12581000.0
119,12505000.0,12582000.0
120,12523000.0,12585000.0
121,12562000.0,12586000.0
122,12579000.0,12586000.0
123,12507000.0,12589000.0
124,12580000.0,12596000.0
125,12594000.0,12602000.0
126,12560000.0,12603000.0
127,12601000.0,12603000.0
128,12596000.0,12609000.0
129,12247000.0,12610000.0
130,12371000.0,12612000.0
131,12485000.0,12615000.0
132,12616000.0,12619000.0
133,12605000.0,12622000.0
134,12602000.0,12625000.0
135,12610000.0,12628000.0
136,12628000.0,12636000.0
137,12589000.0,12636000.0
138,12448000.0,12649000.0
139,12647000.0,12654000.0
140,12515000.0,12655000.0
141,12571000.0,12656000.0
142,12654000.0,12663000.0
143,12670000.0,12671000.0
144,12670000.0,12676000.0
145,12670000.0,12676000.0
146,12636000.0,12677000.0
147,12649000.0,12678000.0
148,12595000.0,12681000.0
149,12674000.0,12682000.0
150,12687000.0,12688000.0
151,12653000.0,12689000.0
152,12244000.0,12689000.0
153,12605000.0,12689000.0
154,12689000.0,12693000.0
150,12689000.0,12693000.0
155,12619000.0,12697000.0
156,12697000.0,12698000.0
157,12703000.0,12706000.0
158,12703000.0,12706000.0
159,12621000.0,12707000.0
160,12496000.0,12714000.0
138,12652000.0,12719000.0
161,12659000.0,12722000.0
162,12572000.0,12724000.0
163,12683000.0,12725000.0
164,12694000.0,12727000.0
165,12576000.0,12733000.0
166,12731000.0,12733000.0
154,12694000.0,12733000.0
167,12626000.0,12734000.0
168,12610000.0,12735000.0
169,12636000.0,12736000.0
170,12670000.0,12740000.0
171,12734000.0,12746000.0
172,12576000.0,12751000.0
173,12748000.0,12752000.0
174,12640000.0,12756000.0
175,12640000.0,12756000.0
125,12604000.0,12757000.0
176,12712000.0,12768000.0
177,12345000.0,12770000.0
178,12761000.0,12773000.0
179,12506000.0,12778000.0
180,12729000.0,12781000.0
181,12735000.0,12783000.0
182,12689000.0,12792000.0
183,12794000.0,12795000.0
184,12767000.0,12796000.0
185,12621000.0,12798000.0
186,12807000.0,12808000.0
179,12779000.0,12814000.0
187,12720000.0,12824000.0
188,12825000.0,12836000.0
189,12609000.0,12842000.0
190,12656000.0,12848000.0
191,12830000.0,12849000.0
192,12784000.0,12852000.0
152,12690000.0,12862000.0
193,12673000.0,12867000.0
194,12804000.0,12868000.0
195,12732000.0,12877000.0
196,12868000.0,12881000.0
197,12889000.0,12890000.0
198,12763000.0,12897000.0
199,12896000.0,12898000.0
