moleculeID,timeEntered,timeLeft
0,12926000.0,12980000.0
1,12949000.0,13026000.0
2,12935000.0,13058000.0
3,12909000.0,13064000.0
4,12995000.0,13073000.0
5,13072000.0,13096000.0
6,12957000.0,13115000.0
7,13151000.0,13165000.0
8,12953000.0,13175000.0
9,13151000.0,13177000.0
10,13158000.0,13216000.0
11,13206000.0,13220000.0
12,13218000.0,13253000.0
13,13197000.0,13260000.0
14,13229000.0,13268000.0
15,13236000.0,13272000.0
16,13047000.0,13290000.0
17,13264000.0,13357000.0
18,13308000.0,13358000.0
19,13356000.0,13369000.0
20,13298000.0,13377000.0
21,13130000.0,13390000.0
22,13373000.0,13396000.0
23,13433000.0,13434000.0
24,13420000.0,13440000.0
25,13287000.0,13449000.0
26,13340000.0,13469000.0
27,13443000.0,13480000.0
24,13441000.0,13498000.0
28,13292000.0,13513000.0
29,13129000.0,13546000.0
30,13417000.0,13562000.0
31,13505000.0,13568000.0
32,13470000.0,13576000.0
33,12983000.0,13602000.0
34,13504000.0,13614000.0
35,13559000.0,13625000.0
36,13293000.0,13638000.0
22,13397000.0,13669000.0
37,13605000.0,13723000.0
38,13752000.0,13757000.0
39,13762000.0,13764000.0
40,13693000.0,13788000.0
41,13605000.0,13791000.0
42,13612000.0,13806000.0
43,13688000.0,13820000.0
44,13734000.0,13823000.0
