time,numberMonsInNetwork
12900000.0,2680.0
12901000.0,2683.0
12902000.0,2675.0
12903000.0,2663.0
12904000.0,2672.0
12905000.0,2670.0
12906000.0,2674.0
12907000.0,2670.0
12908000.0,2663.0
12909000.0,2654.0
12910000.0,2643.0
12911000.0,2649.0
12912000.0,2644.0
12913000.0,2645.0
12914000.0,2640.0
12915000.0,2638.0
12916000.0,2641.0
12917000.0,2633.0
12918000.0,2648.0
12919000.0,2656.0
12920000.0,2654.0
12921000.0,2658.0
12922000.0,2667.0
12923000.0,2664.0
12924000.0,2669.0
12925000.0,2672.0
12926000.0,2664.0
12927000.0,2669.0
12928000.0,2676.0
12929000.0,2674.0
12930000.0,2681.0
12931000.0,2687.0
12932000.0,2700.0
12933000.0,2695.0
12934000.0,2705.0
12935000.0,2697.0
12936000.0,2704.0
12937000.0,2719.0
12938000.0,2718.0
12939000.0,2726.0
12940000.0,2721.0
12941000.0,2706.0
12942000.0,2705.0
12943000.0,2700.0
12944000.0,2701.0
12945000.0,2696.0
12946000.0,2697.0
12947000.0,2687.0
12948000.0,2680.0
12949000.0,2683.0
12950000.0,2668.0
12951000.0,2668.0
12952000.0,2656.0
12953000.0,2662.0
12954000.0,2669.0
12955000.0,2677.0
12956000.0,2686.0
12957000.0,2680.0
12958000.0,2690.0
12959000.0,2694.0
12960000.0,2694.0
12961000.0,2687.0
12962000.0,2679.0
12963000.0,2682.0
12964000.0,2677.0
12965000.0,2679.0
12966000.0,2691.0
12967000.0,2700.0
12968000.0,2695.0
12969000.0,2692.0
12970000.0,2701.0
12971000.0,2702.0
12972000.0,2702.0
12973000.0,2703.0
12974000.0,2698.0
12975000.0,2703.0
12976000.0,2697.0
12977000.0,2697.0
12978000.0,2695.0
12979000.0,2681.0
12980000.0,2674.0
12981000.0,2675.0
12982000.0,2676.0
12983000.0,2669.0
12984000.0,2670.0
12985000.0,2673.0
12986000.0,2680.0
12987000.0,2681.0
12988000.0,2681.0
12989000.0,2671.0
12990000.0,2664.0
12991000.0,2674.0
12992000.0,2671.0
12993000.0,2671.0
12994000.0,2676.0
12995000.0,2677.0
12996000.0,2683.0
12997000.0,2682.0
12998000.0,2673.0
12999000.0,2679.0
13000000.0,2677.0
13001000.0,2695.0
13002000.0,2686.0
13003000.0,2685.0
13004000.0,2686.0
13005000.0,2690.0
13006000.0,2693.0
13007000.0,2694.0
13008000.0,2702.0
13009000.0,2704.0
13010000.0,2703.0
13011000.0,2719.0
13012000.0,2711.0
13013000.0,2703.0
13014000.0,2700.0
13015000.0,2696.0
13016000.0,2703.0
13017000.0,2699.0
13018000.0,2692.0
13019000.0,2691.0
13020000.0,2685.0
13021000.0,2679.0
13022000.0,2669.0
13023000.0,2680.0
13024000.0,2668.0
13025000.0,2667.0
13026000.0,2673.0
13027000.0,2678.0
13028000.0,2673.0
13029000.0,2668.0
13030000.0,2661.0
13031000.0,2644.0
13032000.0,2649.0
13033000.0,2649.0
13034000.0,2659.0
13035000.0,2677.0
13036000.0,2675.0
13037000.0,2672.0
13038000.0,2681.0
13039000.0,2680.0
13040000.0,2671.0
13041000.0,2677.0
13042000.0,2686.0
13043000.0,2682.0
13044000.0,2693.0
13045000.0,2687.0
13046000.0,2682.0
13047000.0,2687.0
13048000.0,2691.0
13049000.0,2689.0
13050000.0,2694.0
13051000.0,2685.0
13052000.0,2691.0
13053000.0,2698.0
13054000.0,2699.0
13055000.0,2693.0
13056000.0,2692.0
13057000.0,2696.0
13058000.0,2699.0
13059000.0,2705.0
13060000.0,2697.0
13061000.0,2690.0
13062000.0,2702.0
13063000.0,2704.0
13064000.0,2702.0
13065000.0,2692.0
13066000.0,2684.0
13067000.0,2686.0
13068000.0,2692.0
13069000.0,2685.0
13070000.0,2689.0
13071000.0,2691.0
13072000.0,2695.0
13073000.0,2701.0
13074000.0,2709.0
13075000.0,2691.0
13076000.0,2687.0
13077000.0,2682.0
13078000.0,2686.0
13079000.0,2686.0
