time,numberMonsInNetwork
13950000.0,2682.0
13951000.0,2686.0
13952000.0,2684.0
13953000.0,2674.0
13954000.0,2676.0
13955000.0,2676.0
13956000.0,2679.0
13957000.0,2674.0
13958000.0,2674.0
13959000.0,2679.0
13960000.0,2670.0
13961000.0,2657.0
13962000.0,2657.0
13963000.0,2654.0
13964000.0,2663.0
13965000.0,2653.0
13966000.0,2653.0
13967000.0,2658.0
13968000.0,2662.0
13969000.0,2659.0
13970000.0,2655.0
13971000.0,2657.0
13972000.0,2657.0
13973000.0,2659.0
13974000.0,2659.0
13975000.0,2648.0
13976000.0,2655.0
13977000.0,2658.0
13978000.0,2653.0
13979000.0,2655.0
13980000.0,2677.0
13981000.0,2676.0
13982000.0,2685.0
13983000.0,2690.0
13984000.0,2689.0
13985000.0,2701.0
13986000.0,2698.0
13987000.0,2694.0
13988000.0,2696.0
13989000.0,2693.0
13990000.0,2698.0
13991000.0,2696.0
13992000.0,2693.0
13993000.0,2688.0
13994000.0,2678.0
13995000.0,2673.0
13996000.0,2670.0
13997000.0,2681.0
13998000.0,2664.0
13999000.0,2669.0
14000000.0,2670.0
14001000.0,2666.0
14002000.0,2671.0
14003000.0,2667.0
14004000.0,2658.0
14005000.0,2661.0
14006000.0,2668.0
14007000.0,2673.0
14008000.0,2679.0
14009000.0,2675.0
14010000.0,2680.0
14011000.0,2677.0
14012000.0,2675.0
14013000.0,2675.0
14014000.0,2675.0
14015000.0,2672.0
14016000.0,2665.0
14017000.0,2675.0
14018000.0,2677.0
14019000.0,2671.0
14020000.0,2683.0
14021000.0,2666.0
14022000.0,2660.0
14023000.0,2654.0
14024000.0,2660.0
14025000.0,2647.0
14026000.0,2648.0
14027000.0,2630.0
14028000.0,2626.0
14029000.0,2631.0
14030000.0,2634.0
14031000.0,2638.0
14032000.0,2641.0
14033000.0,2639.0
14034000.0,2642.0
14035000.0,2653.0
14036000.0,2651.0
14037000.0,2643.0
14038000.0,2646.0
14039000.0,2641.0
14040000.0,2642.0
14041000.0,2652.0
14042000.0,2659.0
14043000.0,2661.0
14044000.0,2652.0
14045000.0,2658.0
14046000.0,2662.0
14047000.0,2675.0
14048000.0,2666.0
14049000.0,2665.0
14050000.0,2673.0
14051000.0,2693.0
14052000.0,2690.0
14053000.0,2686.0
14054000.0,2688.0
14055000.0,2678.0
14056000.0,2678.0
14057000.0,2675.0
14058000.0,2669.0
14059000.0,2673.0
14060000.0,2677.0
14061000.0,2674.0
14062000.0,2678.0
14063000.0,2651.0
14064000.0,2652.0
14065000.0,2655.0
14066000.0,2658.0
14067000.0,2666.0
14068000.0,2666.0
14069000.0,2667.0
14070000.0,2687.0
14071000.0,2679.0
14072000.0,2676.0
14073000.0,2674.0
14074000.0,2671.0
14075000.0,2680.0
14076000.0,2680.0
14077000.0,2703.0
14078000.0,2701.0
14079000.0,2708.0
14080000.0,2704.0
14081000.0,2705.0
14082000.0,2703.0
14083000.0,2710.0
14084000.0,2712.0
14085000.0,2706.0
14086000.0,2711.0
14087000.0,2705.0
14088000.0,2699.0
14089000.0,2709.0
14090000.0,2709.0
14091000.0,2711.0
14092000.0,2711.0
14093000.0,2700.0
14094000.0,2708.0
14095000.0,2705.0
14096000.0,2714.0
14097000.0,2720.0
14098000.0,2712.0
14099000.0,2706.0
14100000.0,2705.0
14101000.0,2707.0
14102000.0,2714.0
14103000.0,2713.0
14104000.0,2710.0
14105000.0,2709.0
14106000.0,2706.0
14107000.0,2693.0
14108000.0,2695.0
14109000.0,2689.0
14110000.0,2687.0
14111000.0,2685.0
14112000.0,2686.0
14113000.0,2687.0
14114000.0,2698.0
14115000.0,2709.0
14116000.0,2708.0
14117000.0,2709.0
14118000.0,2707.0
14119000.0,2705.0
14120000.0,2706.0
14121000.0,2706.0
14122000.0,2708.0
14123000.0,2705.0
14124000.0,2701.0
14125000.0,2708.0
14126000.0,2709.0
14127000.0,2706.0
14128000.0,2715.0
14129000.0,2719.0
14130000.0,2708.0
14131000.0,2696.0
14132000.0,2690.0
14133000.0,2697.0
14134000.0,2692.0
14135000.0,2691.0
14136000.0,2699.0
14137000.0,2702.0
14138000.0,2694.0
14139000.0,2701.0
