moleculeID,timeEntered,timeLeft
0,13006000.0,13067000.0
1,13000000.0,13081000.0
2,13054000.0,13088000.0
3,13033000.0,13107000.0
4,12909000.0,13332000.0
5,13160000.0,13339000.0
6,13211000.0,13437000.0
7,13062000.0,13506000.0
8,13469000.0,13542000.0
9,13387000.0,13558000.0
10,13283000.0,13576000.0
11,13601000.0,13606000.0
12,13626000.0,13650000.0
12,13651000.0,13694000.0
13,13614000.0,13732000.0
14,13614000.0,13767000.0
15,13486000.0,13776000.0
16,13710000.0,13776000.0
17,13600000.0,13833000.0
18,13808000.0,13879000.0
