time,numberMonsInNetwork
12000000.0,2603.0
12001000.0,2597.0
12002000.0,2588.0
12003000.0,2600.0
12004000.0,2600.0
12005000.0,2614.0
12006000.0,2634.0
12007000.0,2624.0
12008000.0,2629.0
12009000.0,2639.0
12010000.0,2630.0
12011000.0,2607.0
12012000.0,2609.0
12013000.0,2618.0
12014000.0,2623.0
12015000.0,2635.0
12016000.0,2643.0
12017000.0,2647.0
12018000.0,2629.0
12019000.0,2636.0
12020000.0,2635.0
12021000.0,2642.0
12022000.0,2631.0
12023000.0,2626.0
12024000.0,2630.0
12025000.0,2627.0
12026000.0,2623.0
12027000.0,2627.0
12028000.0,2642.0
12029000.0,2643.0
12030000.0,2643.0
12031000.0,2628.0
12032000.0,2620.0
12033000.0,2632.0
12034000.0,2624.0
12035000.0,2631.0
12036000.0,2641.0
12037000.0,2636.0
12038000.0,2640.0
12039000.0,2633.0
12040000.0,2623.0
12041000.0,2630.0
12042000.0,2641.0
12043000.0,2620.0
12044000.0,2621.0
12045000.0,2602.0
12046000.0,2612.0
12047000.0,2611.0
12048000.0,2621.0
12049000.0,2640.0
12050000.0,2666.0
12051000.0,2656.0
12052000.0,2654.0
12053000.0,2663.0
12054000.0,2652.0
12055000.0,2647.0
12056000.0,2645.0
12057000.0,2638.0
12058000.0,2639.0
12059000.0,2636.0
12060000.0,2626.0
12061000.0,2640.0
12062000.0,2644.0
12063000.0,2652.0
12064000.0,2661.0
12065000.0,2653.0
12066000.0,2652.0
12067000.0,2648.0
12068000.0,2661.0
12069000.0,2642.0
12070000.0,2631.0
12071000.0,2625.0
12072000.0,2637.0
12073000.0,2646.0
12074000.0,2656.0
12075000.0,2650.0
12076000.0,2643.0
12077000.0,2618.0
12078000.0,2629.0
12079000.0,2638.0
12080000.0,2633.0
12081000.0,2649.0
12082000.0,2645.0
12083000.0,2635.0
12084000.0,2642.0
12085000.0,2636.0
12086000.0,2631.0
12087000.0,2641.0
12088000.0,2637.0
12089000.0,2641.0
12090000.0,2638.0
12091000.0,2623.0
12092000.0,2632.0
12093000.0,2647.0
12094000.0,2624.0
12095000.0,2624.0
12096000.0,2605.0
12097000.0,2621.0
12098000.0,2637.0
12099000.0,2629.0
12100000.0,2622.0
12101000.0,2602.0
12102000.0,2623.0
12103000.0,2630.0
12104000.0,2631.0
12105000.0,2638.0
12106000.0,2647.0
12107000.0,2644.0
12108000.0,2613.0
12109000.0,2620.0
12110000.0,2607.0
12111000.0,2610.0
12112000.0,2600.0
12113000.0,2586.0
12114000.0,2612.0
12115000.0,2599.0
12116000.0,2594.0
12117000.0,2580.0
12118000.0,2581.0
12119000.0,2593.0
12120000.0,2593.0
12121000.0,2605.0
12122000.0,2615.0
12123000.0,2642.0
12124000.0,2638.0
