moleculeID,timeEntered,timeLeft
0,4960000.0,4986000.0
1,4953000.0,4993000.0
2,5052000.0,5068000.0
3,5003000.0,5074000.0
4,5035000.0,5085000.0
5,5048000.0,5108000.0
6,5111000.0,5123000.0
7,5082000.0,5124000.0
8,5047000.0,5131000.0
9,5097000.0,5134000.0
10,5114000.0,5183000.0
11,5064000.0,5206000.0
12,5145000.0,5210000.0
13,5068000.0,5214000.0
14,5091000.0,5223000.0
15,5232000.0,5270000.0
16,5254000.0,5278000.0
17,5270000.0,5292000.0
18,5301000.0,5303000.0
19,5318000.0,5330000.0
20,5298000.0,5335000.0
21,5042000.0,5371000.0
22,5226000.0,5382000.0
23,5056000.0,5383000.0
24,5190000.0,5384000.0
25,4983000.0,5394000.0
26,5322000.0,5402000.0
27,5443000.0,5444000.0
25,5395000.0,5448000.0
28,5388000.0,5455000.0
29,5415000.0,5456000.0
30,5471000.0,5477000.0
31,5350000.0,5478000.0
32,5383000.0,5498000.0
33,5497000.0,5509000.0
34,5469000.0,5515000.0
35,5427000.0,5523000.0
36,5522000.0,5533000.0
37,5157000.0,5541000.0
38,5401000.0,5549000.0
39,5507000.0,5562000.0
40,5283000.0,5582000.0
41,5565000.0,5589000.0
42,5491000.0,5599000.0
43,5496000.0,5610000.0
44,5617000.0,5620000.0
45,5176000.0,5642000.0
46,5576000.0,5657000.0
47,5475000.0,5672000.0
48,5622000.0,5693000.0
49,5578000.0,5693000.0
50,5667000.0,5734000.0
51,5722000.0,5734000.0
52,5725000.0,5748000.0
53,5678000.0,5786000.0
54,5632000.0,5796000.0
55,5675000.0,5797000.0
56,5701000.0,5820000.0
25,5449000.0,5845000.0
57,5861000.0,5863000.0
58,5794000.0,5877000.0
59,5678000.0,5909000.0
60,5868000.0,5914000.0
61,5890000.0,5923000.0
62,5448000.0,5933000.0
63,5917000.0,5935000.0
