moleculeID,timeEntered,timeLeft
0,12046000.0,12050000.0
1,12007000.0,12056000.0
2,12051000.0,12069000.0
3,12037000.0,12071000.0
4,12072000.0,12075000.0
5,12052000.0,12075000.0
6,12095000.0,12103000.0
7,12078000.0,12110000.0
8,12035000.0,12115000.0
9,12050000.0,12161000.0
10,12074000.0,12162000.0
11,12121000.0,12170000.0
12,12049000.0,12187000.0
13,12132000.0,12189000.0
14,12181000.0,12190000.0
15,12123000.0,12215000.0
16,12220000.0,12221000.0
17,12134000.0,12224000.0
18,12047000.0,12227000.0
19,12075000.0,12229000.0
20,12100000.0,12236000.0
21,12065000.0,12239000.0
22,12238000.0,12244000.0
23,12096000.0,12260000.0
24,12248000.0,12260000.0
25,12205000.0,12269000.0
26,12144000.0,12272000.0
27,12179000.0,12280000.0
28,12258000.0,12289000.0
16,12222000.0,12295000.0
29,12113000.0,12297000.0
30,12280000.0,12298000.0
12,12188000.0,12298000.0
31,12285000.0,12299000.0
32,12143000.0,12306000.0
33,12147000.0,12324000.0
34,12260000.0,12329000.0
35,12336000.0,12337000.0
36,12318000.0,12354000.0
37,12316000.0,12355000.0
38,12097000.0,12362000.0
39,12307000.0,12382000.0
40,12386000.0,12388000.0
41,12340000.0,12391000.0
42,12392000.0,12393000.0
43,12380000.0,12399000.0
44,12357000.0,12405000.0
45,12329000.0,12410000.0
46,12304000.0,12429000.0
47,12377000.0,12442000.0
48,12436000.0,12442000.0
49,12443000.0,12457000.0
50,12361000.0,12459000.0
51,12464000.0,12469000.0
52,12380000.0,12473000.0
53,12345000.0,12477000.0
54,12414000.0,12479000.0
55,12390000.0,12481000.0
56,12384000.0,12489000.0
57,12471000.0,12509000.0
30,12299000.0,12518000.0
58,12462000.0,12522000.0
59,12481000.0,12540000.0
60,12226000.0,12542000.0
61,12522000.0,12559000.0
62,12471000.0,12568000.0
63,12472000.0,12569000.0
64,12555000.0,12576000.0
65,12328000.0,12577000.0
57,12510000.0,12583000.0
66,12481000.0,12589000.0
67,12477000.0,12589000.0
68,12584000.0,12596000.0
69,12588000.0,12632000.0
70,12627000.0,12659000.0
71,12663000.0,12676000.0
72,12675000.0,12681000.0
73,12607000.0,12683000.0
74,12664000.0,12685000.0
75,12677000.0,12685000.0
76,12585000.0,12691000.0
77,12690000.0,12692000.0
78,12474000.0,12705000.0
79,12668000.0,12708000.0
80,12712000.0,12713000.0
81,12573000.0,12714000.0
82,12680000.0,12717000.0
83,12608000.0,12723000.0
84,12594000.0,12728000.0
85,12715000.0,12728000.0
86,12695000.0,12728000.0
87,12602000.0,12739000.0
88,12729000.0,12751000.0
89,12568000.0,12755000.0
90,12685000.0,12763000.0
91,12722000.0,12765000.0
92,12651000.0,12778000.0
93,12554000.0,12797000.0
94,12791000.0,12799000.0
92,12779000.0,12800000.0
95,12758000.0,12810000.0
96,12720000.0,12819000.0
97,12740000.0,12837000.0
98,12775000.0,12839000.0
99,12780000.0,12842000.0
100,12685000.0,12860000.0
101,12742000.0,12866000.0
102,12705000.0,12867000.0
103,12708000.0,12870000.0
104,12839000.0,12877000.0
105,12855000.0,12881000.0
102,12868000.0,12882000.0
106,12735000.0,12884000.0
107,12766000.0,12885000.0
108,12754000.0,12888000.0
109,12887000.0,12890000.0
110,12846000.0,12904000.0
111,12903000.0,12905000.0
112,12857000.0,12909000.0
63,12570000.0,12926000.0
113,12924000.0,12929000.0
110,12905000.0,12934000.0
114,12904000.0,12937000.0
115,12914000.0,12937000.0
116,12895000.0,12949000.0
117,12863000.0,12955000.0
118,12862000.0,12964000.0
119,12724000.0,12976000.0
120,12929000.0,12990000.0
121,12964000.0,12996000.0
122,12819000.0,12997000.0
123,12390000.0,12999000.0
